continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,SVK,Slovakia,2020,3,4,2020-03-06,1.0,1.0,,,0.183,0.183,,,,16.67
Europe,SVK,Slovakia,2020,3,5,2020-03-07,1.0,0.0,,,0.183,0.0,,,,16.67
Europe,SVK,Slovakia,2020,3,6,2020-03-08,3.0,2.0,,,0.549,0.366,,,,16.67
Europe,SVK,Slovakia,2020,3,0,2020-03-09,3.0,0.0,,,0.549,0.0,,,,22.22
Europe,SVK,Slovakia,2020,3,1,2020-03-10,7.0,4.0,,,1.282,0.733,,,,33.33
Europe,SVK,Slovakia,2020,3,2,2020-03-11,10.0,3.0,,,1.832,0.549,,,,33.33
Europe,SVK,Slovakia,2020,3,3,2020-03-12,16.0,6.0,,,2.931,1.099,,,,45.37
Europe,SVK,Slovakia,2020,3,4,2020-03-13,32.0,16.0,,,5.861,2.931,,,,58.33
Europe,SVK,Slovakia,2020,3,5,2020-03-14,44.0,12.0,,,8.059,2.198,,,,63.89
Europe,SVK,Slovakia,2020,3,6,2020-03-15,54.0,10.0,,,9.891,1.832,,,,63.89
Europe,SVK,Slovakia,2020,3,0,2020-03-16,63.0,9.0,,,11.539,1.648,,,,75.0
Europe,SVK,Slovakia,2020,3,1,2020-03-17,72.0,9.0,,,13.188,1.648,,,,75.0
Europe,SVK,Slovakia,2020,3,2,2020-03-18,105.0,33.0,,,19.232,6.044,,,,75.0
Europe,SVK,Slovakia,2020,3,3,2020-03-19,123.0,18.0,,,22.529,3.297,,,1.19,75.0
Europe,SVK,Slovakia,2020,3,4,2020-03-20,137.0,14.0,,,25.093,2.564,,,1.19,75.0
Europe,SVK,Slovakia,2020,3,5,2020-03-21,178.0,41.0,,,32.603,7.51,,,1.19,75.0
Europe,SVK,Slovakia,2020,3,6,2020-03-22,185.0,7.0,,,33.885,1.282,,,1.18,75.0
Europe,SVK,Slovakia,2020,3,0,2020-03-23,186.0,1.0,,,34.068,0.183,,,1.18,75.0
Europe,SVK,Slovakia,2020,3,1,2020-03-24,204.0,18.0,,,37.365,3.297,,,1.18,75.0
Europe,SVK,Slovakia,2020,3,2,2020-03-25,216.0,12.0,,,39.563,2.198,,,1.19,75.0
