continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,SVN,Slovenia,2020,2,6,2020-02-02,,,,,,,,,,0.0
Europe,SVN,Slovenia,2020,2,0,2020-02-03,,,,,,,,,,0.0
Europe,SVN,Slovenia,2020,2,1,2020-02-04,,,,,,,,,,0.0
Europe,SVN,Slovenia,2020,2,2,2020-02-05,,,,,,,,,,0.0
Europe,SVN,Slovenia,2020,2,3,2020-02-06,,,,,,,,,,0.0
Europe,SVN,Slovenia,2020,2,4,2020-02-07,,,,,,,,,,0.0
Europe,SVN,Slovenia,2020,2,5,2020-02-08,,,,,,,,,,0.0
Europe,SVN,Slovenia,2020,2,6,2020-02-09,,,,,,,,,,0.0
Europe,SVN,Slovenia,2020,2,0,2020-02-10,,,,,,,,,,0.0
Europe,SVN,Slovenia,2020,2,1,2020-02-11,,,,,,,,,,0.0
Europe,SVN,Slovenia,2020,2,2,2020-02-12,,,,,,,,,,0.0
Europe,SVN,Slovenia,2020,2,3,2020-02-13,,,,,,,,,,0.0
Europe,SVN,Slovenia,2020,2,4,2020-02-14,,,,,,,,,,0.0
Europe,SVN,Slovenia,2020,2,5,2020-02-15,,,,,,,,,,0.0
Europe,SVN,Slovenia,2020,2,6,2020-02-16,,,,,,,,,,0.0
Europe,SVN,Slovenia,2020,2,0,2020-02-17,,,,,,,,,,0.0
Europe,SVN,Slovenia,2020,2,1,2020-02-18,,,,,,,,,,0.0
Europe,SVN,Slovenia,2020,2,2,2020-02-19,,,,,,,,,,0.0
Europe,SVN,Slovenia,2020,2,3,2020-02-20,,,,,,,,,,0.0
Europe,SVN,Slovenia,2020,2,4,2020-02-21,,,,,,,,,,0.0
Europe,SVN,Slovenia,2020,2,5,2020-02-22,,,,,,,,,,0.0
Europe,SVN,Slovenia,2020,2,6,2020-02-23,,,,,,,,,,0.0
Europe,SVN,Slovenia,2020,2,0,2020-02-24,,,,,,,,,,0.0
Europe,SVN,Slovenia,2020,2,1,2020-02-25,,,,,,,,,,0.0
