continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,SWE,Sweden,2020,2,5,2020-02-01,1.0,1.0,,,0.099,0.099,,,,0.0
Europe,SWE,Sweden,2020,2,6,2020-02-02,1.0,0.0,,,0.099,0.0,,,,0.0
Europe,SWE,Sweden,2020,2,0,2020-02-03,1.0,0.0,,,0.099,0.0,,,,0.0
Europe,SWE,Sweden,2020,2,1,2020-02-04,1.0,0.0,,,0.099,0.0,,,,0.0
Europe,SWE,Sweden,2020,2,2,2020-02-05,1.0,0.0,,,0.099,0.0,,,,0.0
Europe,SWE,Sweden,2020,2,3,2020-02-06,1.0,0.0,,,0.099,0.0,,,,0.0
Europe,SWE,Sweden,2020,2,4,2020-02-07,1.0,0.0,,,0.099,0.0,,,,0.0
Europe,SWE,Sweden,2020,2,5,2020-02-08,1.0,0.0,,,0.099,0.0,,,,0.0
Europe,SWE,Sweden,2020,2,6,2020-02-09,1.0,0.0,,,0.099,0.0,,,,0.0
Europe,SWE,Sweden,2020,2,0,2020-02-10,1.0,0.0,,,0.099,0.0,,,,0.0
Europe,SWE,Sweden,2020,2,1,2020-02-11,1.0,0.0,,,0.099,0.0,,,,0.0
Europe,SWE,Sweden,2020,2,2,2020-02-12,1.0,0.0,,,0.099,0.0,,,,0.0
Europe,SWE,Sweden,2020,2,3,2020-02-13,1.0,0.0,,,0.099,0.0,,,,0.0
Europe,SWE,Sweden,2020,2,4,2020-02-14,1.0,0.0,,,0.099,0.0,,,,0.0
Europe,SWE,Sweden,2020,2,5,2020-02-15,1.0,0.0,,,0.099,0.0,,,,0.0
Europe,SWE,Sweden,2020,2,6,2020-02-16,1.0,0.0,,,0.099,0.0,,,,0.0
Europe,SWE,Sweden,2020,2,0,2020-02-17,1.0,0.0,,,0.099,0.0,,,,0.0
Europe,SWE,Sweden,2020,2,1,2020-02-18,1.0,0.0,,,0.099,0.0,,,,0.0
Europe,SWE,Sweden,2020,2,2,2020-02-19,1.0,0.0,,,0.099,0.0,,,,0.0
Europe,SWE,Sweden,2020,2,3,2020-02-20,1.0,0.0,,,0.099,0.0,,,,0.0
Europe,SWE,Sweden,2020,2,4,2020-02-21,1.0,0.0,,,0.099,0.0,,,,0.0
Europe,SWE,Sweden,2020,2,5,2020-02-22,1.0,0.0,,,0.099,0.0,,,,0.0
Europe,SWE,Sweden,2020,2,6,2020-02-23,1.0,0.0,,,0.099,0.0,,,,0.0
Europe,SWE,Sweden,2020,2,0,2020-02-24,1.0,0.0,,,0.099,0.0,,,,0.0
Europe,SWE,Sweden,2020,2,1,2020-02-25,1.0,0.0,,,0.099,0.0,,,,0.0
Europe,SWE,Sweden,2020,2,2,2020-02-26,2.0,1.0,,,0.198,0.099,,,,0.0
Europe,SWE,Sweden,2020,2,3,2020-02-27,3.0,1.0,,,0.297,0.099,,,,0.0
Europe,SWE,Sweden,2020,2,4,2020-02-28,11.0,8.0,,,1.089,0.792,,,,0.0
Europe,SWE,Sweden,2020,2,5,2020-02-29,14.0,3.0,,,1.386,0.297,,,,0.0
Europe,SWE,Sweden,2020,3,6,2020-03-01,14.0,0.0,,,1.386,0.0,,,,0.0
Europe,SWE,Sweden,2020,3,0,2020-03-02,19.0,5.0,,,1.881,0.495,,,,0.0
Europe,SWE,Sweden,2020,3,1,2020-03-03,32.0,13.0,,,3.169,1.287,,,,0.0
Europe,SWE,Sweden,2020,3,2,2020-03-04,62.0,30.0,,,6.139,2.971,,,,0.0
Europe,SWE,Sweden,2020,3,3,2020-03-05,87.0,25.0,,,8.614,2.475,,,,0.0
Europe,SWE,Sweden,2020,3,4,2020-03-06,146.0,59.0,,,14.456,5.842,,,,0.0
Europe,SWE,Sweden,2020,3,5,2020-03-07,179.0,33.0,,,17.724,3.268,,,1.23,0.0
Europe,SWE,Sweden,2020,3,6,2020-03-08,225.0,46.0,,,22.279,4.555,,,1.23,0.0
Europe,SWE,Sweden,2020,3,0,2020-03-09,326.0,101.0,,,32.28,10.001,,,1.23,11.11
Europe,SWE,Sweden,2020,3,1,2020-03-10,424.0,98.0,1.0,1.0,41.983,9.704,0.099,0.099,1.23,11.11
Europe,SWE,Sweden,2020,3,2,2020-03-11,620.0,196.0,1.0,0.0,61.391,19.407,0.099,0.0,1.23,11.11
Europe,SWE,Sweden,2020,3,3,2020-03-12,771.0,151.0,2.0,1.0,76.342,14.952,0.198,0.099,1.23,27.78
Europe,SWE,Sweden,2020,3,4,2020-03-13,923.0,152.0,3.0,1.0,91.393,15.051,0.297,0.099,1.23,27.78
Europe,SWE,Sweden,2020,3,5,2020-03-14,994.0,71.0,5.0,2.0,98.423,7.03,0.495,0.198,1.23,27.78
Europe,SWE,Sweden,2020,3,6,2020-03-15,1063.0,69.0,7.0,2.0,105.255,6.832,0.693,0.198,1.22,27.78
Europe,SWE,Sweden,2020,3,0,2020-03-16,1146.0,83.0,8.0,1.0,113.474,8.218,0.792,0.099,1.22,27.78
Europe,SWE,Sweden,2020,3,1,2020-03-17,1265.0,119.0,14.0,6.0,125.257,11.783,1.386,0.594,1.22,35.19
Europe,SWE,Sweden,2020,3,2,2020-03-18,1410.0,145.0,21.0,7.0,139.614,14.357,2.079,0.693,1.22,35.19
Europe,SWE,Sweden,2020,3,3,2020-03-19,1553.0,143.0,30.0,9.0,153.773,14.159,2.971,0.891,1.22,43.52
Europe,SWE,Sweden,2020,3,4,2020-03-20,1733.0,180.0,38.0,8.0,171.597,17.823,3.763,0.792,1.22,43.52
Europe,SWE,Sweden,2020,3,5,2020-03-21,1868.0,135.0,49.0,11.0,184.964,13.367,4.852,1.089,1.22,43.52
Europe,SWE,Sweden,2020,3,6,2020-03-22,1986.0,118.0,60.0,11.0,196.648,11.684,5.941,1.089,1.22,43.52
Europe,SWE,Sweden,2020,3,0,2020-03-23,2168.0,182.0,81.0,21.0,214.669,18.021,8.02,2.079,1.22,43.52
Europe,SWE,Sweden,2020,3,1,2020-03-24,2398.0,230.0,103.0,22.0,237.443,22.774,10.199,2.178,1.22,43.52
Europe,SWE,Sweden,2020,3,2,2020-03-25,2712.0,314.0,134.0,31.0,268.534,31.091,13.268,3.07,1.22,50.93
Europe,SWE,Sweden,2020,3,3,2020-03-26,2998.0,286.0,166.0,32.0,296.853,28.319,16.437,3.169,1.21,50.93
Europe,SWE,Sweden,2020,3,4,2020-03-27,3363.0,365.0,201.0,35.0,332.994,36.141,19.902,3.466,1.21,50.93
Europe,SWE,Sweden,2020,3,5,2020-03-28,3663.0,300.0,239.0,38.0,362.699,29.705,23.665,3.763,1.21,50.93
Europe,SWE,Sweden,2020,3,6,2020-03-29,3943.0,280.0,284.0,45.0,390.424,27.725,28.121,4.456,1.21,53.7
Europe,SWE,Sweden,2020,3,0,2020-03-30,4359.0,416.0,332.0,48.0,431.615,41.191,32.874,4.753,1.21,53.7
Europe,SWE,Sweden,2020,3,1,2020-03-31,4834.0,475.0,385.0,53.0,478.648,47.033,38.122,5.248,1.21,53.7
Europe,SWE,Sweden,2020,4,2,2020-04-01,5320.0,486.0,455.0,70.0,526.771,48.122,45.053,6.931,1.21,59.26
Europe,SWE,Sweden,2020,4,3,2020-04-02,5874.0,554.0,535.0,80.0,581.626,54.855,52.974,7.921,1.21,59.26
Europe,SWE,Sweden,2020,4,4,2020-04-03,6475.0,601.0,605.0,70.0,641.135,59.509,59.905,6.931,1.2,59.26
Europe,SWE,Sweden,2020,4,5,2020-04-04,6832.0,357.0,373.0,-232.0,676.485,35.349,36.933,-22.972,1.2,64.81
Europe,SWE,Sweden,2020,4,6,2020-04-05,7172.0,340.0,401.0,28.0,710.15,33.666,39.706,2.772,1.2,64.81
Europe,SWE,Sweden,2020,4,0,2020-04-06,7561.0,389.0,477.0,76.0,748.668,38.518,47.231,7.525,1.2,64.81
Europe,SWE,Sweden,2020,4,1,2020-04-07,8299.0,738.0,591.0,114.0,821.743,73.075,58.519,11.288,1.2,64.81
Europe,SWE,Sweden,2020,4,2,2020-04-08,8954.0,655.0,687.0,96.0,886.599,64.856,68.025,9.506,1.2,64.81
Europe,SWE,Sweden,2020,4,3,2020-04-09,9599.0,645.0,793.0,106.0,950.465,63.866,78.521,10.496,1.2,64.81
Europe,SWE,Sweden,2020,4,4,2020-04-10,10053.0,454.0,870.0,77.0,995.418,44.954,86.145,7.624,1.2,64.81
Europe,SWE,Sweden,2020,4,5,2020-04-11,10448.0,395.0,887.0,17.0,1034.53,39.112,87.828,1.683,1.19,64.81
Europe,SWE,Sweden,2020,4,6,2020-04-12,10912.0,464.0,899.0,12.0,1080.474,45.944,89.016,1.188,1.19,64.81
Europe,SWE,Sweden,2020,4,0,2020-04-13,11349.0,437.0,919.0,20.0,1123.745,43.27,90.997,1.98,1.19,64.81
Europe,SWE,Sweden,2020,4,1,2020-04-14,11828.0,479.0,1033.0,114.0,1171.174,47.429,102.285,11.288,1.19,64.81
Europe,SWE,Sweden,2020,4,2,2020-04-15,12432.0,604.0,1203.0,170.0,1230.98,59.806,119.118,16.833,1.19,64.81
Europe,SWE,Sweden,2020,4,3,2020-04-16,13055.0,623.0,1333.0,130.0,1292.668,61.688,131.99,12.872,1.19,64.81
Europe,SWE,Sweden,2020,4,4,2020-04-17,13743.0,688.0,1400.0,67.0,1360.791,68.124,138.624,6.634,1.19,64.81
Europe,SWE,Sweden,2020,4,5,2020-04-18,14275.0,532.0,1511.0,111.0,1413.468,52.677,149.615,10.991,1.19,64.81
Europe,SWE,Sweden,2020,4,6,2020-04-19,14663.0,388.0,1540.0,29.0,1451.887,38.419,152.486,2.871,1.18,64.81
Europe,SWE,Sweden,2020,4,0,2020-04-20,15124.0,461.0,1580.0,40.0,1497.534,45.647,156.447,3.961,1.18,64.81
Europe,SWE,Sweden,2020,4,1,2020-04-21,15831.0,707.0,1765.0,185.0,1567.539,70.005,174.765,18.318,1.18,64.81
Europe,SWE,Sweden,2020,4,2,2020-04-22,16553.0,722.0,1937.0,172.0,1639.029,71.49,191.796,17.031,1.18,64.81
Europe,SWE,Sweden,2020,4,3,2020-04-23,17311.0,758.0,2021.0,84.0,1714.084,75.055,200.113,8.317,1.18,64.81
Europe,SWE,Sweden,2020,4,4,2020-04-24,18090.0,779.0,2152.0,131.0,1791.219,77.134,213.085,12.971,1.18,64.81
Europe,SWE,Sweden,2020,4,5,2020-04-25,18563.0,473.0,2192.0,40.0,1838.054,46.835,217.045,3.961,1.18,64.81
Europe,SWE,Sweden,2020,4,6,2020-04-26,18863.0,300.0,2194.0,2.0,1867.759,29.705,217.243,0.198,1.18,64.81
Europe,SWE,Sweden,2020,4,0,2020-04-27,19426.0,563.0,2274.0,80.0,1923.505,55.747,225.165,7.921,1.18,64.81
Europe,SWE,Sweden,2020,4,1,2020-04-28,20168.0,742.0,2355.0,81.0,1996.976,73.471,233.185,8.02,1.18,64.81
Europe,SWE,Sweden,2020,4,2,2020-04-29,20966.0,798.0,2462.0,107.0,2075.992,79.016,243.78,10.595,1.17,64.81
Europe,SWE,Sweden,2020,4,3,2020-04-30,21601.0,635.0,2586.0,124.0,2138.867,62.876,256.058,12.278,1.17,64.81
Europe,SWE,Sweden,2020,5,4,2020-05-01,22133.0,532.0,2653.0,67.0,2191.545,52.677,262.692,6.634,1.17,64.81
Europe,SWE,Sweden,2020,5,5,2020-05-02,22432.0,299.0,2669.0,16.0,2221.151,29.606,264.277,1.584,1.17,64.81
Europe,SWE,Sweden,2020,5,6,2020-05-03,22693.0,261.0,2679.0,10.0,2246.994,25.843,265.267,0.99,1.17,64.81
Europe,SWE,Sweden,2020,5,0,2020-05-04,23169.0,476.0,2769.0,90.0,2294.126,47.132,274.178,8.912,1.17,64.81
