continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,SYC,Seychelles,2020,3,5,2020-03-14,2.0,2.0,,,20.338,20.338,,,,19.44
Africa,SYC,Seychelles,2020,3,6,2020-03-15,2.0,0.0,,,20.338,0.0,,,,25.0
Africa,SYC,Seychelles,2020,3,0,2020-03-16,3.0,1.0,,,30.506,10.169,,,,34.26
Africa,SYC,Seychelles,2020,3,1,2020-03-17,4.0,1.0,,,40.675,10.169,,,,34.26
Africa,SYC,Seychelles,2020,3,2,2020-03-18,4.0,0.0,,,40.675,0.0,,,,34.26
Africa,SYC,Seychelles,2020,3,3,2020-03-19,6.0,2.0,,,61.013,20.338,,,,34.26
Africa,SYC,Seychelles,2020,3,4,2020-03-20,7.0,1.0,,,71.182,10.169,,,,34.26
Africa,SYC,Seychelles,2020,3,5,2020-03-21,7.0,0.0,,,71.182,0.0,,,,34.26
Africa,SYC,Seychelles,2020,3,6,2020-03-22,7.0,0.0,,,71.182,0.0,,,,39.81
Africa,SYC,Seychelles,2020,3,0,2020-03-23,7.0,0.0,,,71.182,0.0,,,,41.67
Africa,SYC,Seychelles,2020,3,1,2020-03-24,7.0,0.0,,,71.182,0.0,,,,41.67
Africa,SYC,Seychelles,2020,3,2,2020-03-25,7.0,0.0,,,71.182,0.0,,,,41.67
Africa,SYC,Seychelles,2020,3,3,2020-03-26,7.0,0.0,,,71.182,0.0,,,,41.67
Africa,SYC,Seychelles,2020,3,4,2020-03-27,7.0,0.0,,,71.182,0.0,,,,41.67
Africa,SYC,Seychelles,2020,3,5,2020-03-28,8.0,1.0,,,81.35,10.169,,,,41.67
Africa,SYC,Seychelles,2020,3,6,2020-03-29,8.0,0.0,,,81.35,0.0,,,,41.67
Africa,SYC,Seychelles,2020,3,0,2020-03-30,8.0,0.0,,,81.35,0.0,,,,52.78
Africa,SYC,Seychelles,2020,3,1,2020-03-31,10.0,2.0,,,101.688,20.338,,,,52.78
Africa,SYC,Seychelles,2020,4,2,2020-04-01,10.0,0.0,,,101.688,0.0,,,,52.78
Africa,SYC,Seychelles,2020,4,3,2020-04-02,10.0,0.0,,,101.688,0.0,,,,52.78
Africa,SYC,Seychelles,2020,4,4,2020-04-03,10.0,0.0,,,101.688,0.0,,,,52.78
Africa,SYC,Seychelles,2020,4,5,2020-04-04,10.0,0.0,,,101.688,0.0,,,,52.78
Africa,SYC,Seychelles,2020,4,6,2020-04-05,10.0,0.0,,,101.688,0.0,,,,52.78
Africa,SYC,Seychelles,2020,4,0,2020-04-06,11.0,1.0,,,111.857,10.169,,,,52.78
Africa,SYC,Seychelles,2020,4,1,2020-04-07,11.0,0.0,,,111.857,0.0,,,,52.78
Africa,SYC,Seychelles,2020,4,2,2020-04-08,11.0,0.0,,,111.857,0.0,,,,82.41
Africa,SYC,Seychelles,2020,4,3,2020-04-09,11.0,0.0,,,111.857,0.0,,,,93.52
Africa,SYC,Seychelles,2020,4,4,2020-04-10,11.0,0.0,,,111.857,0.0,,,,93.52
Africa,SYC,Seychelles,2020,4,5,2020-04-11,11.0,0.0,,,111.857,0.0,,,,93.52
Africa,SYC,Seychelles,2020,4,6,2020-04-12,11.0,0.0,,,111.857,0.0,,,,93.52
Africa,SYC,Seychelles,2020,4,0,2020-04-13,11.0,0.0,,,111.857,0.0,,,,93.52
Africa,SYC,Seychelles,2020,4,1,2020-04-14,11.0,0.0,,,111.857,0.0,,,,93.52
Africa,SYC,Seychelles,2020,4,2,2020-04-15,11.0,0.0,,,111.857,0.0,,,,93.52
Africa,SYC,Seychelles,2020,4,3,2020-04-16,11.0,0.0,,,111.857,0.0,,,,93.52
Africa,SYC,Seychelles,2020,4,4,2020-04-17,11.0,0.0,,,111.857,0.0,,,,93.52
Africa,SYC,Seychelles,2020,4,5,2020-04-18,11.0,0.0,,,111.857,0.0,,,,93.52
Africa,SYC,Seychelles,2020,4,6,2020-04-19,11.0,0.0,,,111.857,0.0,,,,93.52
Africa,SYC,Seychelles,2020,4,0,2020-04-20,11.0,0.0,,,111.857,0.0,,,,93.52
Africa,SYC,Seychelles,2020,4,1,2020-04-21,11.0,0.0,,,111.857,0.0,,,,93.52
Africa,SYC,Seychelles,2020,4,2,2020-04-22,11.0,0.0,,,111.857,0.0,,,,93.52
Africa,SYC,Seychelles,2020,4,3,2020-04-23,11.0,0.0,,,111.857,0.0,,,,93.52
Africa,SYC,Seychelles,2020,4,4,2020-04-24,11.0,0.0,,,111.857,0.0,,,,93.52
Africa,SYC,Seychelles,2020,4,5,2020-04-25,11.0,0.0,,,111.857,0.0,,,,93.52
Africa,SYC,Seychelles,2020,4,6,2020-04-26,11.0,0.0,,,111.857,0.0,,,,93.52
Africa,SYC,Seychelles,2020,4,0,2020-04-27,11.0,0.0,,,111.857,0.0,,,,93.52
Africa,SYC,Seychelles,2020,4,1,2020-04-28,11.0,0.0,,,111.857,0.0,,,,93.52
Africa,SYC,Seychelles,2020,4,2,2020-04-29,11.0,0.0,,,111.857,0.0,,,,93.52
Africa,SYC,Seychelles,2020,4,3,2020-04-30,11.0,0.0,,,111.857,0.0,,,,93.52
Africa,SYC,Seychelles,2020,5,4,2020-05-01,11.0,0.0,,,111.857,0.0,,,,93.52
Africa,SYC,Seychelles,2020,5,5,2020-05-02,11.0,0.0,,,111.857,0.0,,,,93.52
Africa,SYC,Seychelles,2020,5,6,2020-05-03,11.0,0.0,,,111.857,0.0,,,,93.52
Africa,SYC,Seychelles,2020,5,0,2020-05-04,11.0,0.0,,,111.857,0.0,,,,66.67
Africa,SYC,Seychelles,2020,5,1,2020-05-05,11.0,0.0,,,111.857,0.0,,,,66.67
Africa,SYC,Seychelles,2020,5,2,2020-05-06,11.0,0.0,,,111.857,0.0,,,,66.67
Africa,SYC,Seychelles,2020,5,3,2020-05-07,11.0,0.0,,,111.857,0.0,,,,66.67
Africa,SYC,Seychelles,2020,5,4,2020-05-08,11.0,0.0,,,111.857,0.0,,,,66.67
Africa,SYC,Seychelles,2020,5,5,2020-05-09,11.0,0.0,,,111.857,0.0,,,,66.67
Africa,SYC,Seychelles,2020,5,6,2020-05-10,11.0,0.0,,,111.857,0.0,,,,66.67
Africa,SYC,Seychelles,2020,5,0,2020-05-11,11.0,0.0,,,111.857,0.0,,,,66.67
Africa,SYC,Seychelles,2020,5,1,2020-05-12,11.0,0.0,,,111.857,0.0,,,,66.67
Africa,SYC,Seychelles,2020,5,2,2020-05-13,11.0,0.0,,,111.857,0.0,,,,66.67
Africa,SYC,Seychelles,2020,5,3,2020-05-14,11.0,0.0,,,111.857,0.0,,,,66.67
Africa,SYC,Seychelles,2020,5,4,2020-05-15,11.0,0.0,,,111.857,0.0,,,,66.67
Africa,SYC,Seychelles,2020,5,5,2020-05-16,11.0,0.0,,,111.857,0.0,,,,66.67
Africa,SYC,Seychelles,2020,5,6,2020-05-17,11.0,0.0,,,111.857,0.0,,,,66.67
Africa,SYC,Seychelles,2020,5,0,2020-05-18,11.0,0.0,,,111.857,0.0,,,,59.26
Africa,SYC,Seychelles,2020,5,1,2020-05-19,11.0,0.0,,,111.857,0.0,,,,59.26
Africa,SYC,Seychelles,2020,5,2,2020-05-20,11.0,0.0,,,111.857,0.0,,,,59.26
Africa,SYC,Seychelles,2020,5,3,2020-05-21,11.0,0.0,,,111.857,0.0,,,,59.26
Africa,SYC,Seychelles,2020,5,4,2020-05-22,11.0,0.0,,,111.857,0.0,,,,59.26
Africa,SYC,Seychelles,2020,5,5,2020-05-23,11.0,0.0,,,111.857,0.0,,,,59.26
Africa,SYC,Seychelles,2020,5,6,2020-05-24,11.0,0.0,,,111.857,0.0,,,,59.26
Africa,SYC,Seychelles,2020,5,0,2020-05-25,11.0,0.0,,,111.857,0.0,,,,59.26
Africa,SYC,Seychelles,2020,5,1,2020-05-26,11.0,0.0,,,111.857,0.0,,,,59.26
Africa,SYC,Seychelles,2020,5,2,2020-05-27,11.0,0.0,,,111.857,0.0,,,,59.26
Africa,SYC,Seychelles,2020,5,3,2020-05-28,11.0,0.0,,,111.857,0.0,,,,59.26
Africa,SYC,Seychelles,2020,5,4,2020-05-29,11.0,0.0,,,111.857,0.0,,,,59.26
Africa,SYC,Seychelles,2020,5,5,2020-05-30,11.0,0.0,,,111.857,0.0,,,,59.26
Africa,SYC,Seychelles,2020,5,6,2020-05-31,11.0,0.0,,,111.857,0.0,,,,59.26
Africa,SYC,Seychelles,2020,6,0,2020-06-01,11.0,0.0,,,111.857,0.0,,,,23.15
Africa,SYC,Seychelles,2020,6,1,2020-06-02,11.0,0.0,,,111.857,0.0,,,,23.15
Africa,SYC,Seychelles,2020,6,2,2020-06-03,11.0,0.0,,,111.857,0.0,,,,23.15
Africa,SYC,Seychelles,2020,6,3,2020-06-04,11.0,0.0,,,111.857,0.0,,,,23.15
Africa,SYC,Seychelles,2020,6,4,2020-06-05,11.0,0.0,,,111.857,0.0,,,,23.15
Africa,SYC,Seychelles,2020,6,5,2020-06-06,11.0,0.0,,,111.857,0.0,,,,23.15
Africa,SYC,Seychelles,2020,6,6,2020-06-07,11.0,0.0,,,111.857,0.0,,,,23.15
Africa,SYC,Seychelles,2020,6,0,2020-06-08,11.0,0.0,,,111.857,0.0,,,,23.15
Africa,SYC,Seychelles,2020,6,1,2020-06-09,11.0,0.0,,,111.857,0.0,,,,23.15
Africa,SYC,Seychelles,2020,6,2,2020-06-10,11.0,0.0,,,111.857,0.0,,,,23.15
Africa,SYC,Seychelles,2020,6,3,2020-06-11,11.0,0.0,,,111.857,0.0,,,,23.15
Africa,SYC,Seychelles,2020,6,4,2020-06-12,11.0,0.0,,,111.857,0.0,,,,23.15
Africa,SYC,Seychelles,2020,6,5,2020-06-13,11.0,0.0,,,111.857,0.0,,,,23.15
Africa,SYC,Seychelles,2020,6,6,2020-06-14,11.0,0.0,,,111.857,0.0,,,,23.15
Africa,SYC,Seychelles,2020,6,0,2020-06-15,11.0,0.0,,,111.857,0.0,,,,23.15
Africa,SYC,Seychelles,2020,6,1,2020-06-16,11.0,0.0,,,111.857,0.0,,,,23.15
Africa,SYC,Seychelles,2020,6,2,2020-06-17,11.0,0.0,,,111.857,0.0,,,,23.15
Africa,SYC,Seychelles,2020,6,3,2020-06-18,11.0,0.0,,,111.857,0.0,,,,23.15
Africa,SYC,Seychelles,2020,6,4,2020-06-19,11.0,0.0,,,111.857,0.0,,,,23.15
Africa,SYC,Seychelles,2020,6,5,2020-06-20,11.0,0.0,,,111.857,0.0,,,,23.15
Africa,SYC,Seychelles,2020,6,6,2020-06-21,11.0,0.0,,,111.857,0.0,,,,23.15
Africa,SYC,Seychelles,2020,6,0,2020-06-22,11.0,0.0,,,111.857,0.0,,,,23.15
Africa,SYC,Seychelles,2020,6,1,2020-06-23,11.0,0.0,,,111.857,0.0,,,,23.15
Africa,SYC,Seychelles,2020,6,2,2020-06-24,11.0,0.0,,,111.857,0.0,,,,23.15
Africa,SYC,Seychelles,2020,6,3,2020-06-25,11.0,0.0,,,111.857,0.0,,,,23.15
Africa,SYC,Seychelles,2020,6,4,2020-06-26,11.0,0.0,,,111.857,0.0,,,,23.15
Africa,SYC,Seychelles,2020,6,5,2020-06-27,20.0,9.0,,,203.376,91.519,,,,23.15
Africa,SYC,Seychelles,2020,6,6,2020-06-28,70.0,50.0,,,711.816,508.44,,,,23.15
Africa,SYC,Seychelles,2020,6,0,2020-06-29,77.0,7.0,,,782.998,71.182,,,,23.15
Africa,SYC,Seychelles,2020,6,1,2020-06-30,81.0,4.0,,,823.673,40.675,,,,23.15
Africa,SYC,Seychelles,2020,7,2,2020-07-01,81.0,0.0,,,823.673,0.0,,,,23.15
Africa,SYC,Seychelles,2020,7,3,2020-07-02,81.0,0.0,,,823.673,0.0,,,,23.15
Africa,SYC,Seychelles,2020,7,4,2020-07-03,81.0,0.0,,,823.673,0.0,,,,23.15
Africa,SYC,Seychelles,2020,7,5,2020-07-04,81.0,0.0,,,823.673,0.0,,,,23.15
Africa,SYC,Seychelles,2020,7,6,2020-07-05,81.0,0.0,,,823.673,0.0,,,,23.15
Africa,SYC,Seychelles,2020,7,0,2020-07-06,81.0,0.0,,,823.673,0.0,,,,23.15
Africa,SYC,Seychelles,2020,7,1,2020-07-07,81.0,0.0,,,823.673,0.0,,,,23.15
Africa,SYC,Seychelles,2020,7,2,2020-07-08,91.0,10.0,,,925.361,101.688,,,,23.15
Africa,SYC,Seychelles,2020,7,3,2020-07-09,94.0,3.0,,,955.867,30.506,,,,23.15
Africa,SYC,Seychelles,2020,7,4,2020-07-10,100.0,6.0,,,1016.88,61.013,,,,23.15
Africa,SYC,Seychelles,2020,7,5,2020-07-11,100.0,0.0,,,1016.88,0.0,,,0.17,23.15
Africa,SYC,Seychelles,2020,7,6,2020-07-12,100.0,0.0,,,1016.88,0.0,,,0.17,23.15
Africa,SYC,Seychelles,2020,7,0,2020-07-13,100.0,0.0,,,1016.88,0.0,,,0.17,23.15
Africa,SYC,Seychelles,2020,7,1,2020-07-14,100.0,0.0,,,1016.88,0.0,,,0.18,23.15
Africa,SYC,Seychelles,2020,7,2,2020-07-15,100.0,0.0,,,1016.88,0.0,,,0.18,23.15
Africa,SYC,Seychelles,2020,7,3,2020-07-16,108.0,8.0,,,1098.231,81.35,,,0.19,23.15
Africa,SYC,Seychelles,2020,7,4,2020-07-17,108.0,0.0,,,1098.231,0.0,,,0.18,23.15
Africa,SYC,Seychelles,2020,7,5,2020-07-18,108.0,0.0,,,1098.231,0.0,,,0.18,23.15
