continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,TCD,Chad,2020,3,3,2020-03-19,1.0,1.0,,,0.061,0.061,,,,27.78
Africa,TCD,Chad,2020,3,4,2020-03-20,1.0,0.0,,,0.061,0.0,,,,27.78
Africa,TCD,Chad,2020,3,5,2020-03-21,1.0,0.0,,,0.061,0.0,,,,27.78
Africa,TCD,Chad,2020,3,6,2020-03-22,1.0,0.0,,,0.061,0.0,,,,27.78
Africa,TCD,Chad,2020,3,0,2020-03-23,1.0,0.0,,,0.061,0.0,,,,27.78
Africa,TCD,Chad,2020,3,1,2020-03-24,3.0,2.0,,,0.183,0.122,,,,27.78
Africa,TCD,Chad,2020,3,2,2020-03-25,3.0,0.0,,,0.183,0.0,,,,27.78
Africa,TCD,Chad,2020,3,3,2020-03-26,3.0,0.0,,,0.183,0.0,,,,27.78
Africa,TCD,Chad,2020,3,4,2020-03-27,3.0,0.0,,,0.183,0.0,,,,27.78
Africa,TCD,Chad,2020,3,5,2020-03-28,3.0,0.0,,,0.183,0.0,,,,27.78
Africa,TCD,Chad,2020,3,6,2020-03-29,3.0,0.0,,,0.183,0.0,,,,27.78
Africa,TCD,Chad,2020,3,0,2020-03-30,5.0,2.0,,,0.304,0.122,,,,27.78
Africa,TCD,Chad,2020,3,1,2020-03-31,7.0,2.0,,,0.426,0.122,,,,27.78
Africa,TCD,Chad,2020,4,2,2020-04-01,7.0,0.0,,,0.426,0.0,,,,27.78
Africa,TCD,Chad,2020,4,3,2020-04-02,8.0,1.0,,,0.487,0.061,,,,33.33
Africa,TCD,Chad,2020,4,4,2020-04-03,8.0,0.0,,,0.487,0.0,,,,33.33
Africa,TCD,Chad,2020,4,5,2020-04-04,9.0,1.0,,,0.548,0.061,,,,33.33
Africa,TCD,Chad,2020,4,6,2020-04-05,9.0,0.0,,,0.548,0.0,,,,33.33
Africa,TCD,Chad,2020,4,0,2020-04-06,9.0,0.0,,,0.548,0.0,,,,33.33
Africa,TCD,Chad,2020,4,1,2020-04-07,10.0,1.0,,,0.609,0.061,,,,33.33
Africa,TCD,Chad,2020,4,2,2020-04-08,10.0,0.0,,,0.609,0.0,,,,33.33
Africa,TCD,Chad,2020,4,3,2020-04-09,11.0,1.0,,,0.67,0.061,,,,33.33
Africa,TCD,Chad,2020,4,4,2020-04-10,11.0,0.0,,,0.67,0.0,,,,33.33
Africa,TCD,Chad,2020,4,5,2020-04-11,11.0,0.0,,,0.67,0.0,,,,33.33
Africa,TCD,Chad,2020,4,6,2020-04-12,18.0,7.0,,,1.096,0.426,,,,33.33
Africa,TCD,Chad,2020,4,0,2020-04-13,23.0,5.0,,,1.4,0.304,,,,88.89
Africa,TCD,Chad,2020,4,1,2020-04-14,23.0,0.0,,,1.4,0.0,,,,88.89
Africa,TCD,Chad,2020,4,2,2020-04-15,23.0,0.0,,,1.4,0.0,,,,88.89
Africa,TCD,Chad,2020,4,3,2020-04-16,27.0,4.0,,,1.644,0.244,,,,88.89
Africa,TCD,Chad,2020,4,4,2020-04-17,27.0,0.0,,,1.644,0.0,,,,88.89
Africa,TCD,Chad,2020,4,5,2020-04-18,33.0,6.0,,,2.009,0.365,,,,88.89
Africa,TCD,Chad,2020,4,6,2020-04-19,33.0,0.0,,,2.009,0.0,,,,88.89
Africa,TCD,Chad,2020,4,0,2020-04-20,33.0,0.0,,,2.009,0.0,,,,88.89
Africa,TCD,Chad,2020,4,1,2020-04-21,33.0,0.0,,,2.009,0.0,,,,88.89
Africa,TCD,Chad,2020,4,2,2020-04-22,33.0,0.0,,,2.009,0.0,,,,88.89
Africa,TCD,Chad,2020,4,3,2020-04-23,33.0,0.0,,,2.009,0.0,,,,88.89
Africa,TCD,Chad,2020,4,4,2020-04-24,40.0,7.0,,,2.435,0.426,,,,88.89
Africa,TCD,Chad,2020,4,5,2020-04-25,46.0,6.0,,,2.8,0.365,,,,88.89
Africa,TCD,Chad,2020,4,6,2020-04-26,46.0,0.0,,,2.8,0.0,,,,88.89
Africa,TCD,Chad,2020,4,0,2020-04-27,46.0,0.0,,,2.8,0.0,,,,88.89
Africa,TCD,Chad,2020,4,1,2020-04-28,52.0,6.0,2.0,2.0,3.166,0.365,0.122,0.122,,88.89
Africa,TCD,Chad,2020,4,2,2020-04-29,52.0,0.0,2.0,0.0,3.166,0.0,0.122,0.0,,88.89
Africa,TCD,Chad,2020,4,3,2020-04-30,73.0,21.0,5.0,3.0,4.444,1.278,0.304,0.183,,88.89
Africa,TCD,Chad,2020,5,4,2020-05-01,73.0,0.0,5.0,0.0,4.444,0.0,0.304,0.0,,88.89
Africa,TCD,Chad,2020,5,5,2020-05-02,117.0,44.0,10.0,5.0,7.123,2.679,0.609,0.304,,88.89
Africa,TCD,Chad,2020,5,6,2020-05-03,117.0,0.0,10.0,0.0,7.123,0.0,0.609,0.0,1.04,88.89
Africa,TCD,Chad,2020,5,0,2020-05-04,117.0,0.0,10.0,0.0,7.123,0.0,0.609,0.0,1.04,88.89
Africa,TCD,Chad,2020,5,1,2020-05-05,170.0,53.0,17.0,7.0,10.35,3.227,1.035,0.426,1.05,88.89
Africa,TCD,Chad,2020,5,2,2020-05-06,170.0,0.0,17.0,0.0,10.35,0.0,1.035,0.0,1.04,88.89
Africa,TCD,Chad,2020,5,3,2020-05-07,253.0,83.0,27.0,10.0,15.403,5.053,1.644,0.609,1.04,88.89
Africa,TCD,Chad,2020,5,4,2020-05-08,260.0,7.0,28.0,1.0,15.829,0.426,1.705,0.061,1.03,88.89
Africa,TCD,Chad,2020,5,5,2020-05-09,322.0,62.0,31.0,3.0,19.603,3.775,1.887,0.183,1.02,88.89
Africa,TCD,Chad,2020,5,6,2020-05-10,322.0,0.0,31.0,0.0,19.603,0.0,1.887,0.0,1.01,88.89
Africa,TCD,Chad,2020,5,0,2020-05-11,322.0,0.0,31.0,0.0,19.603,0.0,1.887,0.0,1.0,88.89
Africa,TCD,Chad,2020,5,1,2020-05-12,357.0,35.0,40.0,9.0,21.734,2.131,2.435,0.548,0.99,87.04
Africa,TCD,Chad,2020,5,2,2020-05-13,372.0,15.0,42.0,2.0,22.647,0.913,2.557,0.122,0.98,87.04
Africa,TCD,Chad,2020,5,3,2020-05-14,399.0,27.0,46.0,4.0,24.291,1.644,2.8,0.244,0.98,87.04
Africa,TCD,Chad,2020,5,4,2020-05-15,428.0,29.0,48.0,2.0,26.056,1.766,2.922,0.122,0.97,87.04
Africa,TCD,Chad,2020,5,5,2020-05-16,474.0,46.0,50.0,2.0,28.857,2.8,3.044,0.122,0.96,87.04
Africa,TCD,Chad,2020,5,6,2020-05-17,503.0,29.0,53.0,3.0,30.622,1.766,3.227,0.183,0.94,87.04
Africa,TCD,Chad,2020,5,0,2020-05-18,519.0,16.0,53.0,0.0,31.597,0.974,3.227,0.0,0.93,74.07
Africa,TCD,Chad,2020,5,1,2020-05-19,545.0,26.0,56.0,3.0,33.179,1.583,3.409,0.183,0.92,74.07
Africa,TCD,Chad,2020,5,2,2020-05-20,565.0,20.0,57.0,1.0,34.397,1.218,3.47,0.061,0.91,74.07
Africa,TCD,Chad,2020,5,3,2020-05-21,588.0,23.0,58.0,1.0,35.797,1.4,3.531,0.061,0.9,74.07
Africa,TCD,Chad,2020,5,4,2020-05-22,611.0,23.0,58.0,0.0,37.197,1.4,3.531,0.0,0.89,74.07
Africa,TCD,Chad,2020,5,5,2020-05-23,648.0,37.0,60.0,2.0,39.45,2.253,3.653,0.122,0.88,74.07
Africa,TCD,Chad,2020,5,6,2020-05-24,675.0,27.0,60.0,0.0,41.094,1.644,3.653,0.0,0.86,74.07
Africa,TCD,Chad,2020,5,0,2020-05-25,687.0,12.0,61.0,1.0,41.824,0.731,3.714,0.061,0.85,74.07
Africa,TCD,Chad,2020,5,1,2020-05-26,700.0,13.0,62.0,1.0,42.616,0.791,3.775,0.061,0.84,74.07
Africa,TCD,Chad,2020,5,2,2020-05-27,715.0,15.0,64.0,2.0,43.529,0.913,3.896,0.122,0.83,74.07
Africa,TCD,Chad,2020,5,3,2020-05-28,726.0,11.0,65.0,1.0,44.199,0.67,3.957,0.061,0.82,74.07
Africa,TCD,Chad,2020,5,4,2020-05-29,759.0,33.0,65.0,0.0,46.208,2.009,3.957,0.0,0.81,74.07
Africa,TCD,Chad,2020,5,5,2020-05-30,759.0,0.0,65.0,0.0,46.208,0.0,3.957,0.0,0.79,74.07
Africa,TCD,Chad,2020,5,6,2020-05-31,778.0,19.0,65.0,0.0,47.364,1.157,3.957,0.0,0.78,74.07
Africa,TCD,Chad,2020,6,0,2020-06-01,790.0,12.0,66.0,1.0,48.095,0.731,4.018,0.061,0.77,74.07
Africa,TCD,Chad,2020,6,1,2020-06-02,803.0,13.0,66.0,0.0,48.886,0.791,4.018,0.0,0.76,74.07
Africa,TCD,Chad,2020,6,2,2020-06-03,820.0,17.0,66.0,0.0,49.921,1.035,4.018,0.0,0.75,74.07
Africa,TCD,Chad,2020,6,3,2020-06-04,828.0,8.0,66.0,0.0,50.408,0.487,4.018,0.0,0.74,74.07
Africa,TCD,Chad,2020,6,4,2020-06-05,836.0,8.0,68.0,2.0,50.895,0.487,4.14,0.122,0.73,74.07
Africa,TCD,Chad,2020,6,5,2020-06-06,836.0,0.0,69.0,1.0,50.895,0.0,4.201,0.061,0.71,74.07
Africa,TCD,Chad,2020,6,6,2020-06-07,837.0,1.0,69.0,0.0,50.956,0.061,4.201,0.0,0.71,74.07
Africa,TCD,Chad,2020,6,0,2020-06-08,839.0,2.0,70.0,1.0,51.078,0.122,4.262,0.061,0.7,74.07
Africa,TCD,Chad,2020,6,1,2020-06-09,844.0,5.0,71.0,1.0,51.382,0.304,4.322,0.061,0.69,74.07
Africa,TCD,Chad,2020,6,2,2020-06-10,846.0,2.0,72.0,1.0,51.504,0.122,4.383,0.061,0.69,74.07
Africa,TCD,Chad,2020,6,3,2020-06-11,848.0,2.0,72.0,0.0,51.626,0.122,4.383,0.0,0.68,74.07
Africa,TCD,Chad,2020,6,4,2020-06-12,848.0,0.0,72.0,0.0,51.626,0.0,4.383,0.0,0.67,74.07
Africa,TCD,Chad,2020,6,5,2020-06-13,848.0,0.0,72.0,0.0,51.626,0.0,4.383,0.0,0.67,74.07
Africa,TCD,Chad,2020,6,6,2020-06-14,850.0,2.0,73.0,1.0,51.748,0.122,4.444,0.061,0.67,74.07
Africa,TCD,Chad,2020,6,0,2020-06-15,850.0,0.0,73.0,0.0,51.748,0.0,4.444,0.0,0.67,74.07
Africa,TCD,Chad,2020,6,1,2020-06-16,853.0,3.0,74.0,1.0,51.93,0.183,4.505,0.061,0.67,74.07
Africa,TCD,Chad,2020,6,2,2020-06-17,854.0,1.0,74.0,0.0,51.991,0.061,4.505,0.0,0.67,74.07
Africa,TCD,Chad,2020,6,3,2020-06-18,854.0,0.0,74.0,0.0,51.991,0.0,4.505,0.0,0.67,74.07
Africa,TCD,Chad,2020,6,4,2020-06-19,858.0,4.0,74.0,0.0,52.235,0.244,4.505,0.0,0.67,74.07
Africa,TCD,Chad,2020,6,5,2020-06-20,858.0,0.0,74.0,0.0,52.235,0.0,4.505,0.0,0.67,74.07
Africa,TCD,Chad,2020,6,6,2020-06-21,858.0,0.0,74.0,0.0,52.235,0.0,4.505,0.0,0.68,74.07
Africa,TCD,Chad,2020,6,0,2020-06-22,858.0,0.0,74.0,0.0,52.235,0.0,4.505,0.0,0.68,74.07
Africa,TCD,Chad,2020,6,1,2020-06-23,860.0,2.0,74.0,0.0,52.356,0.122,4.505,0.0,0.68,74.07
Africa,TCD,Chad,2020,6,2,2020-06-24,860.0,0.0,74.0,0.0,52.356,0.0,4.505,0.0,0.69,74.07
Africa,TCD,Chad,2020,6,3,2020-06-25,863.0,3.0,74.0,0.0,52.539,0.183,4.505,0.0,0.69,67.59
Africa,TCD,Chad,2020,6,4,2020-06-26,865.0,2.0,74.0,0.0,52.661,0.122,4.505,0.0,0.7,67.59
Africa,TCD,Chad,2020,6,5,2020-06-27,865.0,0.0,74.0,0.0,52.661,0.0,4.505,0.0,0.7,67.59
Africa,TCD,Chad,2020,6,6,2020-06-28,866.0,1.0,74.0,0.0,52.722,0.061,4.505,0.0,0.7,67.59
Africa,TCD,Chad,2020,6,0,2020-06-29,866.0,0.0,74.0,0.0,52.722,0.0,4.505,0.0,0.7,67.59
Africa,TCD,Chad,2020,6,1,2020-06-30,866.0,0.0,74.0,0.0,52.722,0.0,4.505,0.0,0.71,67.59
Africa,TCD,Chad,2020,7,2,2020-07-01,866.0,0.0,74.0,0.0,52.722,0.0,4.505,0.0,0.72,67.59
Africa,TCD,Chad,2020,7,3,2020-07-02,868.0,2.0,74.0,0.0,52.844,0.122,4.505,0.0,0.73,67.59
Africa,TCD,Chad,2020,7,4,2020-07-03,871.0,3.0,74.0,0.0,53.026,0.183,4.505,0.0,0.73,67.59
Africa,TCD,Chad,2020,7,5,2020-07-04,871.0,0.0,74.0,0.0,53.026,0.0,4.505,0.0,0.73,67.59
Africa,TCD,Chad,2020,7,6,2020-07-05,872.0,1.0,74.0,0.0,53.087,0.061,4.505,0.0,0.73,67.59
Africa,TCD,Chad,2020,7,0,2020-07-06,872.0,0.0,74.0,0.0,53.087,0.0,4.505,0.0,0.73,67.59
Africa,TCD,Chad,2020,7,1,2020-07-07,873.0,1.0,74.0,0.0,53.148,0.061,4.505,0.0,0.73,67.59
Africa,TCD,Chad,2020,7,2,2020-07-08,873.0,0.0,74.0,0.0,53.148,0.0,4.505,0.0,0.73,67.59
Africa,TCD,Chad,2020,7,3,2020-07-09,873.0,0.0,74.0,0.0,53.148,0.0,4.505,0.0,0.74,67.59
Africa,TCD,Chad,2020,7,4,2020-07-10,874.0,1.0,74.0,0.0,53.209,0.061,4.505,0.0,0.74,67.59
Africa,TCD,Chad,2020,7,5,2020-07-11,874.0,0.0,74.0,0.0,53.209,0.0,4.505,0.0,0.74,67.59
Africa,TCD,Chad,2020,7,6,2020-07-12,880.0,6.0,75.0,1.0,53.574,0.365,4.566,0.061,0.75,67.59
Africa,TCD,Chad,2020,7,0,2020-07-13,880.0,0.0,75.0,0.0,53.574,0.0,4.566,0.0,0.76,67.59
Africa,TCD,Chad,2020,7,1,2020-07-14,884.0,4.0,75.0,0.0,53.818,0.244,4.566,0.0,0.76,67.59
Africa,TCD,Chad,2020,7,2,2020-07-15,885.0,1.0,75.0,0.0,53.878,0.061,4.566,0.0,0.76,67.59
Africa,TCD,Chad,2020,7,3,2020-07-16,886.0,1.0,75.0,0.0,53.939,0.061,4.566,0.0,0.76,67.59
Africa,TCD,Chad,2020,7,4,2020-07-17,887.0,1.0,75.0,0.0,54.0,0.061,4.566,0.0,0.76,67.59
Africa,TCD,Chad,2020,7,5,2020-07-18,889.0,2.0,75.0,0.0,54.122,0.122,4.566,0.0,0.76,67.59
Africa,TCD,Chad,2020,7,6,2020-07-19,889.0,0.0,75.0,0.0,54.122,0.0,4.566,0.0,0.76,67.59
Africa,TCD,Chad,2020,7,0,2020-07-20,889.0,0.0,75.0,0.0,54.122,0.0,4.566,0.0,0.76,67.59
Africa,TCD,Chad,2020,7,1,2020-07-21,889.0,0.0,75.0,0.0,54.122,0.0,4.566,0.0,0.76,67.59
Africa,TCD,Chad,2020,7,2,2020-07-22,889.0,0.0,75.0,0.0,54.122,0.0,4.566,0.0,0.76,67.59
Africa,TCD,Chad,2020,7,3,2020-07-23,915.0,26.0,75.0,0.0,55.705,1.583,4.566,0.0,0.77,67.59
Africa,TCD,Chad,2020,7,4,2020-07-24,915.0,0.0,75.0,0.0,55.705,0.0,4.566,0.0,0.78,67.59
Africa,TCD,Chad,2020,7,5,2020-07-25,915.0,0.0,75.0,0.0,55.705,0.0,4.566,0.0,0.78,67.59
