continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,TGO,Togo,2020,3,2,2020-03-04,,,,,,,,,,0.0
Africa,TGO,Togo,2020,3,3,2020-03-05,,,,,,,,,,0.0
Africa,TGO,Togo,2020,3,4,2020-03-06,1.0,1.0,,,0.121,0.121,,,,0.0
Africa,TGO,Togo,2020,3,5,2020-03-07,1.0,0.0,,,0.121,0.0,,,,0.0
Africa,TGO,Togo,2020,3,6,2020-03-08,1.0,0.0,,,0.121,0.0,,,,0.0
Africa,TGO,Togo,2020,3,0,2020-03-09,1.0,0.0,,,0.121,0.0,,,,0.0
Africa,TGO,Togo,2020,3,1,2020-03-10,1.0,0.0,,,0.121,0.0,,,,0.0
Africa,TGO,Togo,2020,3,2,2020-03-11,1.0,0.0,,,0.121,0.0,,,,0.0
Africa,TGO,Togo,2020,3,3,2020-03-12,1.0,0.0,,,0.121,0.0,,,,0.0
Africa,TGO,Togo,2020,3,4,2020-03-13,1.0,0.0,,,0.121,0.0,,,,0.0
Africa,TGO,Togo,2020,3,5,2020-03-14,1.0,0.0,,,0.121,0.0,,,,0.0
Africa,TGO,Togo,2020,3,6,2020-03-15,1.0,0.0,,,0.121,0.0,,,,0.0
Africa,TGO,Togo,2020,3,0,2020-03-16,1.0,0.0,,,0.121,0.0,,,,22.22
Africa,TGO,Togo,2020,3,1,2020-03-17,1.0,0.0,,,0.121,0.0,,,,22.22
Africa,TGO,Togo,2020,3,2,2020-03-18,1.0,0.0,,,0.121,0.0,,,,22.22
Africa,TGO,Togo,2020,3,3,2020-03-19,1.0,0.0,,,0.121,0.0,,,,27.78
Africa,TGO,Togo,2020,3,4,2020-03-20,9.0,8.0,,,1.087,0.966,,,,61.11
Africa,TGO,Togo,2020,3,5,2020-03-21,16.0,7.0,,,1.933,0.846,,,,69.44
Africa,TGO,Togo,2020,3,6,2020-03-22,16.0,0.0,,,1.933,0.0,,,,69.44
Africa,TGO,Togo,2020,3,0,2020-03-23,18.0,2.0,,,2.174,0.242,,,,69.44
Africa,TGO,Togo,2020,3,1,2020-03-24,20.0,2.0,,,2.416,0.242,,,,69.44
Africa,TGO,Togo,2020,3,2,2020-03-25,23.0,3.0,,,2.778,0.362,,,,69.44
