continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,THA,Thailand,2020,1,5,2020-01-04,,,,,,,,,,0.0
Asia,THA,Thailand,2020,1,6,2020-01-05,,,,,,,,,,0.0
Asia,THA,Thailand,2020,1,0,2020-01-06,,,,,,,,,,0.0
Asia,THA,Thailand,2020,1,1,2020-01-07,,,,,,,,,,0.0
Asia,THA,Thailand,2020,1,2,2020-01-08,,,,,,,,,,0.0
Asia,THA,Thailand,2020,1,3,2020-01-09,,,,,,,,,,0.0
Asia,THA,Thailand,2020,1,4,2020-01-10,,,,,,,,,,0.0
Asia,THA,Thailand,2020,1,5,2020-01-11,,,,,,,,,,0.0
Asia,THA,Thailand,2020,1,6,2020-01-12,,,,,,,,,,0.0
Asia,THA,Thailand,2020,1,0,2020-01-13,,,,,,,,,,0.0
Asia,THA,Thailand,2020,1,1,2020-01-14,,,,,,,,,,0.0
Asia,THA,Thailand,2020,1,2,2020-01-15,,,,,,,,,,0.0
Asia,THA,Thailand,2020,1,3,2020-01-16,,,,,,,,,,0.0
Asia,THA,Thailand,2020,1,4,2020-01-17,,,,,,,,,,0.0
Asia,THA,Thailand,2020,1,5,2020-01-18,,,,,,,,,,0.0
Asia,THA,Thailand,2020,1,6,2020-01-19,,,,,,,,,,0.0
Asia,THA,Thailand,2020,1,0,2020-01-20,,,,,,,,,,0.0
Asia,THA,Thailand,2020,1,1,2020-01-21,,,,,,,,,,0.0
Asia,THA,Thailand,2020,1,2,2020-01-22,4.0,,,,0.057,,,,,0.0
Asia,THA,Thailand,2020,1,3,2020-01-23,4.0,0.0,,,0.057,0.0,,,,0.0
Asia,THA,Thailand,2020,1,4,2020-01-24,5.0,1.0,,,0.072,0.014,,,,0.0
Asia,THA,Thailand,2020,1,5,2020-01-25,6.0,1.0,,,0.086,0.014,,,,0.0
Asia,THA,Thailand,2020,1,6,2020-01-26,8.0,2.0,,,0.115,0.029,,,,0.0
Asia,THA,Thailand,2020,1,0,2020-01-27,8.0,0.0,,,0.115,0.0,,,,0.0
Asia,THA,Thailand,2020,1,1,2020-01-28,14.0,6.0,,,0.201,0.086,,,,0.0
Asia,THA,Thailand,2020,1,2,2020-01-29,14.0,0.0,,,0.201,0.0,,,,0.0
Asia,THA,Thailand,2020,1,3,2020-01-30,14.0,0.0,,,0.201,0.0,,,,0.0
Asia,THA,Thailand,2020,1,4,2020-01-31,19.0,5.0,,,0.272,0.072,,,,0.0
Asia,THA,Thailand,2020,2,5,2020-02-01,19.0,0.0,,,0.272,0.0,,,,0.0
Asia,THA,Thailand,2020,2,6,2020-02-02,19.0,0.0,,,0.272,0.0,,,,0.0
Asia,THA,Thailand,2020,2,0,2020-02-03,19.0,0.0,,,0.272,0.0,,,,0.0
Asia,THA,Thailand,2020,2,1,2020-02-04,25.0,6.0,,,0.358,0.086,,,,0.0
Asia,THA,Thailand,2020,2,2,2020-02-05,25.0,0.0,,,0.358,0.0,,,,0.0
Asia,THA,Thailand,2020,2,3,2020-02-06,25.0,0.0,,,0.358,0.0,,,,0.0
Asia,THA,Thailand,2020,2,4,2020-02-07,25.0,0.0,,,0.358,0.0,,,,0.0
Asia,THA,Thailand,2020,2,5,2020-02-08,32.0,7.0,,,0.458,0.1,,,,0.0
Asia,THA,Thailand,2020,2,6,2020-02-09,32.0,0.0,,,0.458,0.0,,,,0.0
Asia,THA,Thailand,2020,2,0,2020-02-10,32.0,0.0,,,0.458,0.0,,,,0.0
Asia,THA,Thailand,2020,2,1,2020-02-11,33.0,1.0,,,0.473,0.014,,,,0.0
Asia,THA,Thailand,2020,2,2,2020-02-12,33.0,0.0,,,0.473,0.0,,,,0.0
Asia,THA,Thailand,2020,2,3,2020-02-13,33.0,0.0,,,0.473,0.0,,,,0.0
Asia,THA,Thailand,2020,2,4,2020-02-14,33.0,0.0,,,0.473,0.0,,,,0.0
Asia,THA,Thailand,2020,2,5,2020-02-15,34.0,1.0,,,0.487,0.014,,,,0.0
Asia,THA,Thailand,2020,2,6,2020-02-16,34.0,0.0,,,0.487,0.0,,,,0.0
Asia,THA,Thailand,2020,2,0,2020-02-17,35.0,1.0,,,0.501,0.014,,,,0.0
Asia,THA,Thailand,2020,2,1,2020-02-18,35.0,0.0,,,0.501,0.0,,,,0.0
Asia,THA,Thailand,2020,2,2,2020-02-19,35.0,0.0,,,0.501,0.0,,,,0.0
Asia,THA,Thailand,2020,2,3,2020-02-20,35.0,0.0,,,0.501,0.0,,,,0.0
Asia,THA,Thailand,2020,2,4,2020-02-21,35.0,0.0,,,0.501,0.0,,,,0.0
Asia,THA,Thailand,2020,2,5,2020-02-22,35.0,0.0,,,0.501,0.0,,,,0.0
Asia,THA,Thailand,2020,2,6,2020-02-23,35.0,0.0,,,0.501,0.0,,,,0.0
Asia,THA,Thailand,2020,2,0,2020-02-24,35.0,0.0,,,0.501,0.0,,,,0.0
Asia,THA,Thailand,2020,2,1,2020-02-25,37.0,2.0,,,0.53,0.029,,,,0.0
Asia,THA,Thailand,2020,2,2,2020-02-26,40.0,3.0,,,0.573,0.043,,,,0.0
Asia,THA,Thailand,2020,2,3,2020-02-27,40.0,0.0,,,0.573,0.0,,,,0.0
Asia,THA,Thailand,2020,2,4,2020-02-28,41.0,1.0,,,0.587,0.014,,,,0.0
Asia,THA,Thailand,2020,2,5,2020-02-29,42.0,1.0,,,0.602,0.014,,,,0.0
Asia,THA,Thailand,2020,3,6,2020-03-01,42.0,0.0,1.0,1.0,0.602,0.0,0.014,0.014,,0.0
Asia,THA,Thailand,2020,3,0,2020-03-02,43.0,1.0,1.0,0.0,0.616,0.014,0.014,0.0,,0.0
Asia,THA,Thailand,2020,3,1,2020-03-03,43.0,0.0,1.0,0.0,0.616,0.0,0.014,0.0,,0.0
Asia,THA,Thailand,2020,3,2,2020-03-04,43.0,0.0,1.0,0.0,0.616,0.0,0.014,0.0,,0.0
Asia,THA,Thailand,2020,3,3,2020-03-05,47.0,4.0,1.0,0.0,0.673,0.057,0.014,0.0,,0.0
Asia,THA,Thailand,2020,3,4,2020-03-06,48.0,1.0,1.0,0.0,0.688,0.014,0.014,0.0,,16.67
Asia,THA,Thailand,2020,3,5,2020-03-07,50.0,2.0,1.0,0.0,0.716,0.029,0.014,0.0,,16.67
Asia,THA,Thailand,2020,3,6,2020-03-08,50.0,0.0,1.0,0.0,0.716,0.0,0.014,0.0,,16.67
Asia,THA,Thailand,2020,3,0,2020-03-09,50.0,0.0,1.0,0.0,0.716,0.0,0.014,0.0,,16.67
Asia,THA,Thailand,2020,3,1,2020-03-10,53.0,3.0,1.0,0.0,0.759,0.043,0.014,0.0,,25.0
Asia,THA,Thailand,2020,3,2,2020-03-11,59.0,6.0,1.0,0.0,0.845,0.086,0.014,0.0,,25.0
Asia,THA,Thailand,2020,3,3,2020-03-12,70.0,11.0,1.0,0.0,1.003,0.158,0.014,0.0,,25.0
Asia,THA,Thailand,2020,3,4,2020-03-13,75.0,5.0,1.0,0.0,1.074,0.072,0.014,0.0,,25.0
Asia,THA,Thailand,2020,3,5,2020-03-14,82.0,7.0,1.0,0.0,1.175,0.1,0.014,0.0,,25.0
Asia,THA,Thailand,2020,3,6,2020-03-15,114.0,32.0,1.0,0.0,1.633,0.458,0.014,0.0,,26.85
Asia,THA,Thailand,2020,3,0,2020-03-16,147.0,33.0,1.0,0.0,2.106,0.473,0.014,0.0,1.85,33.8
Asia,THA,Thailand,2020,3,1,2020-03-17,177.0,30.0,1.0,0.0,2.536,0.43,0.014,0.0,1.85,39.35
Asia,THA,Thailand,2020,3,2,2020-03-18,212.0,35.0,1.0,0.0,3.037,0.501,0.014,0.0,1.85,48.61
Asia,THA,Thailand,2020,3,3,2020-03-19,272.0,60.0,1.0,0.0,3.897,0.86,0.014,0.0,1.86,48.61
Asia,THA,Thailand,2020,3,4,2020-03-20,322.0,50.0,1.0,0.0,4.613,0.716,0.014,0.0,1.85,48.61
