continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
North America,TTO,Trinidad and Tobago,2020,3,5,2020-03-14,2.0,2.0,,,1.429,1.429,,,,31.48
North America,TTO,Trinidad and Tobago,2020,3,6,2020-03-15,2.0,0.0,,,1.429,0.0,,,,31.48
North America,TTO,Trinidad and Tobago,2020,3,0,2020-03-16,4.0,2.0,,,2.858,1.429,,,,45.37
North America,TTO,Trinidad and Tobago,2020,3,1,2020-03-17,5.0,1.0,,,3.573,0.715,,,,49.07
North America,TTO,Trinidad and Tobago,2020,3,2,2020-03-18,7.0,2.0,,,5.002,1.429,,,,49.07
North America,TTO,Trinidad and Tobago,2020,3,3,2020-03-19,9.0,2.0,,,6.431,1.429,,,,49.07
North America,TTO,Trinidad and Tobago,2020,3,4,2020-03-20,9.0,0.0,,,6.431,0.0,,,,49.07
North America,TTO,Trinidad and Tobago,2020,3,5,2020-03-21,49.0,40.0,,,35.013,28.582,,,,54.63
North America,TTO,Trinidad and Tobago,2020,3,6,2020-03-22,50.0,1.0,,,35.727,0.715,,,,54.63
North America,TTO,Trinidad and Tobago,2020,3,0,2020-03-23,51.0,1.0,,,36.442,0.715,,,,60.19
North America,TTO,Trinidad and Tobago,2020,3,1,2020-03-24,57.0,6.0,,,40.729,4.287,,,,60.19
North America,TTO,Trinidad and Tobago,2020,3,2,2020-03-25,60.0,3.0,1.0,1.0,42.873,2.144,0.715,0.715,,60.19
North America,TTO,Trinidad and Tobago,2020,3,3,2020-03-26,65.0,5.0,1.0,0.0,46.445,3.573,0.715,0.0,,60.19
North America,TTO,Trinidad and Tobago,2020,3,4,2020-03-27,66.0,1.0,2.0,1.0,47.16,0.715,1.429,0.715,,60.19
North America,TTO,Trinidad and Tobago,2020,3,5,2020-03-28,74.0,8.0,3.0,1.0,52.876,5.716,2.144,0.715,,60.19
North America,TTO,Trinidad and Tobago,2020,3,6,2020-03-29,78.0,4.0,3.0,0.0,55.735,2.858,2.144,0.0,,65.74
North America,TTO,Trinidad and Tobago,2020,3,0,2020-03-30,82.0,4.0,3.0,0.0,58.593,2.858,2.144,0.0,,76.85
North America,TTO,Trinidad and Tobago,2020,3,1,2020-03-31,87.0,5.0,3.0,0.0,62.165,3.573,2.144,0.0,,79.63
North America,TTO,Trinidad and Tobago,2020,4,2,2020-04-01,90.0,3.0,5.0,2.0,64.309,2.144,3.573,1.429,,79.63
North America,TTO,Trinidad and Tobago,2020,4,3,2020-04-02,94.0,4.0,5.0,0.0,67.167,2.858,3.573,0.0,,79.63
North America,TTO,Trinidad and Tobago,2020,4,4,2020-04-03,98.0,4.0,6.0,1.0,70.025,2.858,4.287,0.715,,79.63
North America,TTO,Trinidad and Tobago,2020,4,5,2020-04-04,103.0,5.0,6.0,0.0,73.598,3.573,4.287,0.0,,79.63
North America,TTO,Trinidad and Tobago,2020,4,6,2020-04-05,104.0,1.0,7.0,1.0,74.313,0.715,5.002,0.715,0.13,79.63
North America,TTO,Trinidad and Tobago,2020,4,0,2020-04-06,105.0,1.0,8.0,1.0,75.027,0.715,5.716,0.715,0.13,79.63
North America,TTO,Trinidad and Tobago,2020,4,1,2020-04-07,107.0,2.0,8.0,0.0,76.456,1.429,5.716,0.0,0.13,79.63
North America,TTO,Trinidad and Tobago,2020,4,2,2020-04-08,107.0,0.0,8.0,0.0,76.456,0.0,5.716,0.0,0.13,79.63
North America,TTO,Trinidad and Tobago,2020,4,3,2020-04-09,109.0,2.0,8.0,0.0,77.885,1.429,5.716,0.0,0.13,79.63
North America,TTO,Trinidad and Tobago,2020,4,4,2020-04-10,109.0,0.0,8.0,0.0,77.885,0.0,5.716,0.0,0.13,79.63
North America,TTO,Trinidad and Tobago,2020,4,5,2020-04-11,112.0,3.0,8.0,0.0,80.029,2.144,5.716,0.0,0.13,79.63
North America,TTO,Trinidad and Tobago,2020,4,6,2020-04-12,113.0,1.0,8.0,0.0,80.744,0.715,5.716,0.0,0.13,79.63
North America,TTO,Trinidad and Tobago,2020,4,0,2020-04-13,113.0,0.0,8.0,0.0,80.744,0.0,5.716,0.0,0.12,79.63
North America,TTO,Trinidad and Tobago,2020,4,1,2020-04-14,113.0,0.0,8.0,0.0,80.744,0.0,5.716,0.0,0.11,79.63
North America,TTO,Trinidad and Tobago,2020,4,2,2020-04-15,114.0,1.0,8.0,0.0,81.458,0.715,5.716,0.0,0.11,79.63
North America,TTO,Trinidad and Tobago,2020,4,3,2020-04-16,114.0,0.0,8.0,0.0,81.458,0.0,5.716,0.0,0.11,79.63
North America,TTO,Trinidad and Tobago,2020,4,4,2020-04-17,114.0,0.0,8.0,0.0,81.458,0.0,5.716,0.0,0.11,79.63
North America,TTO,Trinidad and Tobago,2020,4,5,2020-04-18,114.0,0.0,8.0,0.0,81.458,0.0,5.716,0.0,0.11,79.63
North America,TTO,Trinidad and Tobago,2020,4,6,2020-04-19,114.0,0.0,8.0,0.0,81.458,0.0,5.716,0.0,0.11,79.63
North America,TTO,Trinidad and Tobago,2020,4,0,2020-04-20,114.0,0.0,8.0,0.0,81.458,0.0,5.716,0.0,0.12,79.63
North America,TTO,Trinidad and Tobago,2020,4,1,2020-04-21,115.0,1.0,8.0,0.0,82.173,0.715,5.716,0.0,0.12,79.63
North America,TTO,Trinidad and Tobago,2020,4,2,2020-04-22,115.0,0.0,8.0,0.0,82.173,0.0,5.716,0.0,0.12,79.63
North America,TTO,Trinidad and Tobago,2020,4,3,2020-04-23,115.0,0.0,8.0,0.0,82.173,0.0,5.716,0.0,0.12,79.63
North America,TTO,Trinidad and Tobago,2020,4,4,2020-04-24,115.0,0.0,8.0,0.0,82.173,0.0,5.716,0.0,0.12,79.63
North America,TTO,Trinidad and Tobago,2020,4,5,2020-04-25,115.0,0.0,8.0,0.0,82.173,0.0,5.716,0.0,0.13,79.63
North America,TTO,Trinidad and Tobago,2020,4,6,2020-04-26,115.0,0.0,8.0,0.0,82.173,0.0,5.716,0.0,0.13,79.63
North America,TTO,Trinidad and Tobago,2020,4,0,2020-04-27,116.0,1.0,8.0,0.0,82.887,0.715,5.716,0.0,0.14,90.74
North America,TTO,Trinidad and Tobago,2020,4,1,2020-04-28,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.12,90.74
North America,TTO,Trinidad and Tobago,2020,4,2,2020-04-29,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.11,90.74
North America,TTO,Trinidad and Tobago,2020,4,3,2020-04-30,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.09,90.74
North America,TTO,Trinidad and Tobago,2020,5,4,2020-05-01,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.08,90.74
North America,TTO,Trinidad and Tobago,2020,5,5,2020-05-02,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.07,90.74
North America,TTO,Trinidad and Tobago,2020,5,6,2020-05-03,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.06,90.74
North America,TTO,Trinidad and Tobago,2020,5,0,2020-05-04,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.05,90.74
North America,TTO,Trinidad and Tobago,2020,5,1,2020-05-05,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.04,90.74
North America,TTO,Trinidad and Tobago,2020,5,2,2020-05-06,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.04,90.74
North America,TTO,Trinidad and Tobago,2020,5,3,2020-05-07,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.03,90.74
North America,TTO,Trinidad and Tobago,2020,5,4,2020-05-08,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.03,90.74
North America,TTO,Trinidad and Tobago,2020,5,5,2020-05-09,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.02,90.74
North America,TTO,Trinidad and Tobago,2020,5,6,2020-05-10,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.02,90.74
North America,TTO,Trinidad and Tobago,2020,5,0,2020-05-11,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.02,90.74
North America,TTO,Trinidad and Tobago,2020,5,1,2020-05-12,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.02,90.74
North America,TTO,Trinidad and Tobago,2020,5,2,2020-05-13,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.02,90.74
North America,TTO,Trinidad and Tobago,2020,5,3,2020-05-14,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.01,90.74
North America,TTO,Trinidad and Tobago,2020,5,4,2020-05-15,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.01,90.74
North America,TTO,Trinidad and Tobago,2020,5,5,2020-05-16,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.01,90.74
North America,TTO,Trinidad and Tobago,2020,5,6,2020-05-17,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.01,90.74
North America,TTO,Trinidad and Tobago,2020,5,0,2020-05-18,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.01,90.74
North America,TTO,Trinidad and Tobago,2020,5,1,2020-05-19,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.01,90.74
North America,TTO,Trinidad and Tobago,2020,5,2,2020-05-20,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.01,90.74
North America,TTO,Trinidad and Tobago,2020,5,3,2020-05-21,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.01,87.04
North America,TTO,Trinidad and Tobago,2020,5,4,2020-05-22,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.01,87.04
North America,TTO,Trinidad and Tobago,2020,5,5,2020-05-23,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.01,87.04
North America,TTO,Trinidad and Tobago,2020,5,6,2020-05-24,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.01,87.04
North America,TTO,Trinidad and Tobago,2020,5,0,2020-05-25,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.01,87.04
North America,TTO,Trinidad and Tobago,2020,5,1,2020-05-26,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.01,87.04
North America,TTO,Trinidad and Tobago,2020,5,2,2020-05-27,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.01,87.04
North America,TTO,Trinidad and Tobago,2020,5,3,2020-05-28,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.0,87.04
North America,TTO,Trinidad and Tobago,2020,5,4,2020-05-29,116.0,0.0,8.0,0.0,82.887,0.0,5.716,0.0,0.0,87.04
North America,TTO,Trinidad and Tobago,2020,5,5,2020-05-30,117.0,1.0,8.0,0.0,83.602,0.715,5.716,0.0,0.0,87.04
North America,TTO,Trinidad and Tobago,2020,5,6,2020-05-31,117.0,0.0,8.0,0.0,83.602,0.0,5.716,0.0,0.0,87.04
North America,TTO,Trinidad and Tobago,2020,6,0,2020-06-01,117.0,0.0,8.0,0.0,83.602,0.0,5.716,0.0,0.0,87.04
North America,TTO,Trinidad and Tobago,2020,6,1,2020-06-02,117.0,0.0,8.0,0.0,83.602,0.0,5.716,0.0,0.0,87.04
North America,TTO,Trinidad and Tobago,2020,6,2,2020-06-03,117.0,0.0,8.0,0.0,83.602,0.0,5.716,0.0,0.0,87.04
North America,TTO,Trinidad and Tobago,2020,6,3,2020-06-04,117.0,0.0,8.0,0.0,83.602,0.0,5.716,0.0,0.0,87.04
North America,TTO,Trinidad and Tobago,2020,6,4,2020-06-05,117.0,0.0,8.0,0.0,83.602,0.0,5.716,0.0,0.0,87.04
North America,TTO,Trinidad and Tobago,2020,6,5,2020-06-06,117.0,0.0,8.0,0.0,83.602,0.0,5.716,0.0,0.0,87.04
North America,TTO,Trinidad and Tobago,2020,6,6,2020-06-07,117.0,0.0,8.0,0.0,83.602,0.0,5.716,0.0,0.01,87.04
North America,TTO,Trinidad and Tobago,2020,6,0,2020-06-08,117.0,0.0,8.0,0.0,83.602,0.0,5.716,0.0,0.01,83.33
North America,TTO,Trinidad and Tobago,2020,6,1,2020-06-09,117.0,0.0,8.0,0.0,83.602,0.0,5.716,0.0,0.01,77.78
North America,TTO,Trinidad and Tobago,2020,6,2,2020-06-10,117.0,0.0,8.0,0.0,83.602,0.0,5.716,0.0,0.01,77.78
North America,TTO,Trinidad and Tobago,2020,6,3,2020-06-11,117.0,0.0,8.0,0.0,83.602,0.0,5.716,0.0,0.01,77.78
North America,TTO,Trinidad and Tobago,2020,6,4,2020-06-12,117.0,0.0,8.0,0.0,83.602,0.0,5.716,0.0,0.01,77.78
North America,TTO,Trinidad and Tobago,2020,6,5,2020-06-13,117.0,0.0,8.0,0.0,83.602,0.0,5.716,0.0,0.01,77.78
North America,TTO,Trinidad and Tobago,2020,6,6,2020-06-14,123.0,6.0,8.0,0.0,87.889,4.287,5.716,0.0,0.01,77.78
North America,TTO,Trinidad and Tobago,2020,6,0,2020-06-15,123.0,0.0,8.0,0.0,87.889,0.0,5.716,0.0,0.01,77.78
North America,TTO,Trinidad and Tobago,2020,6,1,2020-06-16,123.0,0.0,8.0,0.0,87.889,0.0,5.716,0.0,0.01,77.78
North America,TTO,Trinidad and Tobago,2020,6,2,2020-06-17,123.0,0.0,8.0,0.0,87.889,0.0,5.716,0.0,0.01,77.78
North America,TTO,Trinidad and Tobago,2020,6,3,2020-06-18,123.0,0.0,8.0,0.0,87.889,0.0,5.716,0.0,0.02,77.78
North America,TTO,Trinidad and Tobago,2020,6,4,2020-06-19,123.0,0.0,8.0,0.0,87.889,0.0,5.716,0.0,0.02,77.78
North America,TTO,Trinidad and Tobago,2020,6,5,2020-06-20,123.0,0.0,8.0,0.0,87.889,0.0,5.716,0.0,0.02,77.78
North America,TTO,Trinidad and Tobago,2020,6,6,2020-06-21,123.0,0.0,8.0,0.0,87.889,0.0,5.716,0.0,0.03,77.78
North America,TTO,Trinidad and Tobago,2020,6,0,2020-06-22,123.0,0.0,8.0,0.0,87.889,0.0,5.716,0.0,0.03,60.19
North America,TTO,Trinidad and Tobago,2020,6,1,2020-06-23,123.0,0.0,8.0,0.0,87.889,0.0,5.716,0.0,0.03,60.19
North America,TTO,Trinidad and Tobago,2020,6,2,2020-06-24,123.0,0.0,8.0,0.0,87.889,0.0,5.716,0.0,0.04,60.19
North America,TTO,Trinidad and Tobago,2020,6,3,2020-06-25,123.0,0.0,8.0,0.0,87.889,0.0,5.716,0.0,0.04,60.19
North America,TTO,Trinidad and Tobago,2020,6,4,2020-06-26,124.0,1.0,8.0,0.0,88.604,0.715,5.716,0.0,0.05,60.19
North America,TTO,Trinidad and Tobago,2020,6,5,2020-06-27,126.0,2.0,8.0,0.0,90.033,1.429,5.716,0.0,0.06,60.19
North America,TTO,Trinidad and Tobago,2020,6,6,2020-06-28,126.0,0.0,8.0,0.0,90.033,0.0,5.716,0.0,0.07,60.19
North America,TTO,Trinidad and Tobago,2020,6,0,2020-06-29,126.0,0.0,8.0,0.0,90.033,0.0,5.716,0.0,0.07,60.19
North America,TTO,Trinidad and Tobago,2020,6,1,2020-06-30,130.0,4.0,8.0,0.0,92.891,2.858,5.716,0.0,0.08,60.19
North America,TTO,Trinidad and Tobago,2020,7,2,2020-07-01,130.0,0.0,8.0,0.0,92.891,0.0,5.716,0.0,0.09,60.19
North America,TTO,Trinidad and Tobago,2020,7,3,2020-07-02,130.0,0.0,8.0,0.0,92.891,0.0,5.716,0.0,0.1,60.19
North America,TTO,Trinidad and Tobago,2020,7,4,2020-07-03,130.0,0.0,8.0,0.0,92.891,0.0,5.716,0.0,0.12,60.19
North America,TTO,Trinidad and Tobago,2020,7,5,2020-07-04,130.0,0.0,8.0,0.0,92.891,0.0,5.716,0.0,0.13,60.19
North America,TTO,Trinidad and Tobago,2020,7,6,2020-07-05,133.0,3.0,8.0,0.0,95.035,2.144,5.716,0.0,0.15,60.19
North America,TTO,Trinidad and Tobago,2020,7,0,2020-07-06,133.0,0.0,8.0,0.0,95.035,0.0,5.716,0.0,0.17,60.19
North America,TTO,Trinidad and Tobago,2020,7,1,2020-07-07,133.0,0.0,8.0,0.0,95.035,0.0,5.716,0.0,0.19,60.19
North America,TTO,Trinidad and Tobago,2020,7,2,2020-07-08,133.0,0.0,8.0,0.0,95.035,0.0,5.716,0.0,0.22,60.19
North America,TTO,Trinidad and Tobago,2020,7,3,2020-07-09,133.0,0.0,8.0,0.0,95.035,0.0,5.716,0.0,0.25,60.19
North America,TTO,Trinidad and Tobago,2020,7,4,2020-07-10,133.0,0.0,8.0,0.0,95.035,0.0,5.716,0.0,0.28,60.19
North America,TTO,Trinidad and Tobago,2020,7,5,2020-07-11,133.0,0.0,8.0,0.0,95.035,0.0,5.716,0.0,0.33,60.19
North America,TTO,Trinidad and Tobago,2020,7,6,2020-07-12,133.0,0.0,8.0,0.0,95.035,0.0,5.716,0.0,0.38,60.19
North America,TTO,Trinidad and Tobago,2020,7,0,2020-07-13,133.0,0.0,8.0,0.0,95.035,0.0,5.716,0.0,0.44,60.19
North America,TTO,Trinidad and Tobago,2020,7,1,2020-07-14,133.0,0.0,8.0,0.0,95.035,0.0,5.716,0.0,0.51,60.19
North America,TTO,Trinidad and Tobago,2020,7,2,2020-07-15,133.0,0.0,8.0,0.0,95.035,0.0,5.716,0.0,0.59,60.19
North America,TTO,Trinidad and Tobago,2020,7,3,2020-07-16,133.0,0.0,8.0,0.0,95.035,0.0,5.716,0.0,0.69,60.19
North America,TTO,Trinidad and Tobago,2020,7,4,2020-07-17,136.0,3.0,8.0,0.0,97.178,2.144,5.716,0.0,0.8,60.19
North America,TTO,Trinidad and Tobago,2020,7,5,2020-07-18,137.0,1.0,8.0,0.0,97.893,0.715,5.716,0.0,0.92,60.19
North America,TTO,Trinidad and Tobago,2020,7,6,2020-07-19,137.0,0.0,8.0,0.0,97.893,0.0,5.716,0.0,1.01,60.19
