continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,TUN,Tunisia,2020,3,2,2020-03-04,1.0,1.0,,,0.085,0.085,,,,13.89
Africa,TUN,Tunisia,2020,3,3,2020-03-05,1.0,0.0,,,0.085,0.0,,,,13.89
Africa,TUN,Tunisia,2020,3,4,2020-03-06,1.0,0.0,,,0.085,0.0,,,,13.89
Africa,TUN,Tunisia,2020,3,5,2020-03-07,1.0,0.0,,,0.085,0.0,,,,13.89
Africa,TUN,Tunisia,2020,3,6,2020-03-08,2.0,1.0,,,0.169,0.085,,,,13.89
Africa,TUN,Tunisia,2020,3,0,2020-03-09,2.0,0.0,,,0.169,0.0,,,,16.67
Africa,TUN,Tunisia,2020,3,1,2020-03-10,5.0,3.0,,,0.423,0.254,,,,16.67
Africa,TUN,Tunisia,2020,3,2,2020-03-11,7.0,2.0,,,0.592,0.169,,,,16.67
Africa,TUN,Tunisia,2020,3,3,2020-03-12,7.0,0.0,,,0.592,0.0,,,,27.78
Africa,TUN,Tunisia,2020,3,4,2020-03-13,16.0,9.0,,,1.354,0.762,,,,33.33
Africa,TUN,Tunisia,2020,3,5,2020-03-14,18.0,2.0,,,1.523,0.169,,,,33.33
Africa,TUN,Tunisia,2020,3,6,2020-03-15,18.0,0.0,,,1.523,0.0,,,,33.33
Africa,TUN,Tunisia,2020,3,0,2020-03-16,20.0,2.0,,,1.692,0.169,,,,38.89
Africa,TUN,Tunisia,2020,3,1,2020-03-17,24.0,4.0,,,2.031,0.338,,,,38.89
Africa,TUN,Tunisia,2020,3,2,2020-03-18,29.0,5.0,,,2.454,0.423,,,,48.15
Africa,TUN,Tunisia,2020,3,3,2020-03-19,39.0,10.0,1.0,1.0,3.3,0.846,0.085,0.085,,48.15
Africa,TUN,Tunisia,2020,3,4,2020-03-20,54.0,15.0,1.0,0.0,4.569,1.269,0.085,0.0,,77.78
Africa,TUN,Tunisia,2020,3,5,2020-03-21,60.0,6.0,1.0,0.0,5.077,0.508,0.085,0.0,,77.78
Africa,TUN,Tunisia,2020,3,6,2020-03-22,75.0,15.0,3.0,2.0,6.346,1.269,0.254,0.169,,90.74
Africa,TUN,Tunisia,2020,3,0,2020-03-23,89.0,14.0,3.0,0.0,7.53,1.185,0.254,0.0,,90.74
Africa,TUN,Tunisia,2020,3,1,2020-03-24,114.0,25.0,4.0,1.0,9.646,2.115,0.338,0.085,,90.74
Africa,TUN,Tunisia,2020,3,2,2020-03-25,173.0,59.0,5.0,1.0,14.638,4.992,0.423,0.085,1.2,90.74
Africa,TUN,Tunisia,2020,3,3,2020-03-26,197.0,24.0,6.0,1.0,16.669,2.031,0.508,0.085,1.19,90.74
Africa,TUN,Tunisia,2020,3,4,2020-03-27,227.0,30.0,6.0,0.0,19.207,2.538,0.508,0.0,1.18,90.74
Africa,TUN,Tunisia,2020,3,5,2020-03-28,278.0,51.0,8.0,2.0,23.522,4.315,0.677,0.169,1.17,90.74
Africa,TUN,Tunisia,2020,3,6,2020-03-29,312.0,34.0,8.0,0.0,26.399,2.877,0.677,0.0,1.15,90.74
Africa,TUN,Tunisia,2020,3,0,2020-03-30,312.0,0.0,8.0,0.0,26.399,0.0,0.677,0.0,1.13,90.74
Africa,TUN,Tunisia,2020,3,1,2020-03-31,394.0,82.0,10.0,2.0,33.337,6.938,0.846,0.169,1.12,90.74
Africa,TUN,Tunisia,2020,4,2,2020-04-01,423.0,29.0,12.0,2.0,35.791,2.454,1.015,0.169,1.1,90.74
Africa,TUN,Tunisia,2020,4,3,2020-04-02,455.0,32.0,14.0,2.0,38.499,2.708,1.185,0.169,1.08,90.74
Africa,TUN,Tunisia,2020,4,4,2020-04-03,495.0,40.0,18.0,4.0,41.883,3.384,1.523,0.338,1.06,90.74
Africa,TUN,Tunisia,2020,4,5,2020-04-04,553.0,58.0,18.0,0.0,46.791,4.908,1.523,0.0,1.04,90.74
Africa,TUN,Tunisia,2020,4,6,2020-04-05,574.0,21.0,22.0,4.0,48.567,1.777,1.861,0.338,1.02,90.74
Africa,TUN,Tunisia,2020,4,0,2020-04-06,596.0,22.0,22.0,0.0,50.429,1.861,1.861,0.0,1.0,90.74
Africa,TUN,Tunisia,2020,4,1,2020-04-07,623.0,27.0,23.0,1.0,52.713,2.285,1.946,0.085,0.98,90.74
Africa,TUN,Tunisia,2020,4,2,2020-04-08,628.0,5.0,24.0,1.0,53.137,0.423,2.031,0.085,0.96,90.74
Africa,TUN,Tunisia,2020,4,3,2020-04-09,643.0,15.0,25.0,1.0,54.406,1.269,2.115,0.085,0.95,90.74
Africa,TUN,Tunisia,2020,4,4,2020-04-10,671.0,28.0,25.0,0.0,56.775,2.369,2.115,0.0,0.93,90.74
Africa,TUN,Tunisia,2020,4,5,2020-04-11,685.0,14.0,28.0,3.0,57.959,1.185,2.369,0.254,0.92,90.74
Africa,TUN,Tunisia,2020,4,6,2020-04-12,707.0,22.0,31.0,3.0,59.821,1.861,2.623,0.254,0.91,90.74
Africa,TUN,Tunisia,2020,4,0,2020-04-13,726.0,19.0,34.0,3.0,61.429,1.608,2.877,0.254,0.9,90.74
Africa,TUN,Tunisia,2020,4,1,2020-04-14,747.0,21.0,34.0,0.0,63.205,1.777,2.877,0.0,0.89,90.74
Africa,TUN,Tunisia,2020,4,2,2020-04-15,780.0,33.0,35.0,1.0,65.998,2.792,2.961,0.085,0.88,90.74
Africa,TUN,Tunisia,2020,4,3,2020-04-16,822.0,42.0,37.0,2.0,69.551,3.554,3.131,0.169,0.86,90.74
Africa,TUN,Tunisia,2020,4,4,2020-04-17,864.0,42.0,37.0,0.0,73.105,3.554,3.131,0.0,0.85,90.74
