continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,TUR,Turkey,2020,3,2,2020-03-11,1.0,1.0,,,0.012,0.012,,,,23.15
Asia,TUR,Turkey,2020,3,3,2020-03-12,1.0,0.0,,,0.012,0.0,,,,23.15
Asia,TUR,Turkey,2020,3,4,2020-03-13,5.0,4.0,,,0.059,0.047,,,,23.15
Asia,TUR,Turkey,2020,3,5,2020-03-14,5.0,0.0,,,0.059,0.0,,,,23.15
Asia,TUR,Turkey,2020,3,6,2020-03-15,6.0,1.0,,,0.071,0.012,,,,23.15
Asia,TUR,Turkey,2020,3,0,2020-03-16,18.0,12.0,,,0.213,0.142,,,,52.78
Asia,TUR,Turkey,2020,3,1,2020-03-17,47.0,29.0,1.0,1.0,0.557,0.344,0.012,0.012,,52.78
Asia,TUR,Turkey,2020,3,2,2020-03-18,98.0,51.0,1.0,0.0,1.162,0.605,0.012,0.0,,58.33
Asia,TUR,Turkey,2020,3,3,2020-03-19,192.0,94.0,3.0,2.0,2.277,1.115,0.036,0.024,,58.33
Asia,TUR,Turkey,2020,3,4,2020-03-20,359.0,167.0,4.0,1.0,4.257,1.98,0.047,0.012,6.07,58.33
Asia,TUR,Turkey,2020,3,5,2020-03-21,670.0,311.0,9.0,5.0,7.944,3.687,0.107,0.059,6.14,62.04
Asia,TUR,Turkey,2020,3,6,2020-03-22,1236.0,566.0,30.0,21.0,14.655,6.711,0.356,0.249,5.57,62.04
Asia,TUR,Turkey,2020,3,0,2020-03-23,1529.0,293.0,37.0,7.0,18.129,3.474,0.439,0.083,3.08,62.04
Asia,TUR,Turkey,2020,3,1,2020-03-24,1872.0,343.0,44.0,7.0,22.196,4.067,0.522,0.083,2.62,67.59
Asia,TUR,Turkey,2020,3,2,2020-03-25,2433.0,561.0,59.0,15.0,28.848,6.652,0.7,0.178,3.17,67.59
Asia,TUR,Turkey,2020,3,3,2020-03-26,3629.0,1196.0,75.0,16.0,43.029,14.181,0.889,0.19,4.25,67.59
Asia,TUR,Turkey,2020,3,4,2020-03-27,5698.0,2069.0,92.0,17.0,67.561,24.532,1.091,0.202,4.46,70.37
