continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,TWN,Taiwan,2020,1,3,2020-01-16,,,,,,,,,,8.33
Asia,TWN,Taiwan,2020,1,4,2020-01-17,,,,,,,,,,8.33
Asia,TWN,Taiwan,2020,1,5,2020-01-18,,,,,,,,,,8.33
Asia,TWN,Taiwan,2020,1,6,2020-01-19,,,,,,,,,,8.33
Asia,TWN,Taiwan,2020,1,0,2020-01-20,,,,,,,,,,13.89
Asia,TWN,Taiwan,2020,1,1,2020-01-21,,,,,,,,,,13.89
Asia,TWN,Taiwan,2020,1,2,2020-01-22,1.0,,,,0.042,,,,,13.89
Asia,TWN,Taiwan,2020,1,3,2020-01-23,1.0,0.0,,,0.042,0.0,,,,19.44
Asia,TWN,Taiwan,2020,1,4,2020-01-24,3.0,2.0,,,0.126,0.084,,,,19.44
Asia,TWN,Taiwan,2020,1,5,2020-01-25,3.0,0.0,,,0.126,0.0,,,,19.44
Asia,TWN,Taiwan,2020,1,6,2020-01-26,4.0,1.0,,,0.168,0.042,,,,19.44
Asia,TWN,Taiwan,2020,1,0,2020-01-27,5.0,1.0,,,0.21,0.042,,,,19.44
Asia,TWN,Taiwan,2020,1,1,2020-01-28,8.0,3.0,,,0.336,0.126,,,,19.44
Asia,TWN,Taiwan,2020,1,2,2020-01-29,8.0,0.0,,,0.336,0.0,,,,19.44
Asia,TWN,Taiwan,2020,1,3,2020-01-30,9.0,1.0,,,0.378,0.042,,,,19.44
Asia,TWN,Taiwan,2020,1,4,2020-01-31,10.0,1.0,,,0.42,0.042,,,,19.44
Asia,TWN,Taiwan,2020,2,5,2020-02-01,10.0,0.0,,,0.42,0.0,,,,19.44
Asia,TWN,Taiwan,2020,2,6,2020-02-02,10.0,0.0,,,0.42,0.0,,,,30.56
Asia,TWN,Taiwan,2020,2,0,2020-02-03,10.0,0.0,,,0.42,0.0,,,,30.56
Asia,TWN,Taiwan,2020,2,1,2020-02-04,11.0,1.0,,,0.462,0.042,,,,30.56
Asia,TWN,Taiwan,2020,2,2,2020-02-05,11.0,0.0,,,0.462,0.0,,,,30.56
Asia,TWN,Taiwan,2020,2,3,2020-02-06,16.0,5.0,,,0.672,0.21,,,,30.56
Asia,TWN,Taiwan,2020,2,4,2020-02-07,16.0,0.0,,,0.672,0.0,,,,30.56
Asia,TWN,Taiwan,2020,2,5,2020-02-08,17.0,1.0,,,0.714,0.042,,,,30.56
Asia,TWN,Taiwan,2020,2,6,2020-02-09,18.0,1.0,,,0.756,0.042,,,,30.56
Asia,TWN,Taiwan,2020,2,0,2020-02-10,18.0,0.0,,,0.756,0.0,,,,30.56
Asia,TWN,Taiwan,2020,2,1,2020-02-11,18.0,0.0,,,0.756,0.0,,,,30.56
Asia,TWN,Taiwan,2020,2,2,2020-02-12,18.0,0.0,,,0.756,0.0,,,,30.56
Asia,TWN,Taiwan,2020,2,3,2020-02-13,18.0,0.0,,,0.756,0.0,,,,30.56
Asia,TWN,Taiwan,2020,2,4,2020-02-14,18.0,0.0,,,0.756,0.0,,,,30.56
Asia,TWN,Taiwan,2020,2,5,2020-02-15,18.0,0.0,,,0.756,0.0,,,,30.56
Asia,TWN,Taiwan,2020,2,6,2020-02-16,20.0,2.0,1.0,1.0,0.84,0.084,0.042,0.042,,30.56
Asia,TWN,Taiwan,2020,2,0,2020-02-17,22.0,2.0,1.0,0.0,0.924,0.084,0.042,0.0,,30.56
Asia,TWN,Taiwan,2020,2,1,2020-02-18,22.0,0.0,1.0,0.0,0.924,0.0,0.042,0.0,,30.56
