continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,TZA,Tanzania,2020,3,0,2020-03-16,1.0,1.0,,,0.017,0.017,,,,8.33
Africa,TZA,Tanzania,2020,3,1,2020-03-17,1.0,0.0,,,0.017,0.0,,,,32.41
Africa,TZA,Tanzania,2020,3,2,2020-03-18,3.0,2.0,,,0.05,0.033,,,,36.11
Africa,TZA,Tanzania,2020,3,3,2020-03-19,6.0,3.0,,,0.1,0.05,,,,36.11
Africa,TZA,Tanzania,2020,3,4,2020-03-20,6.0,0.0,,,0.1,0.0,,,,36.11
Africa,TZA,Tanzania,2020,3,5,2020-03-21,6.0,0.0,,,0.1,0.0,,,,36.11
Africa,TZA,Tanzania,2020,3,6,2020-03-22,12.0,6.0,,,0.201,0.1,,,,36.11
Africa,TZA,Tanzania,2020,3,0,2020-03-23,12.0,0.0,,,0.201,0.0,,,,36.11
Africa,TZA,Tanzania,2020,3,1,2020-03-24,12.0,0.0,,,0.201,0.0,,,,36.11
Africa,TZA,Tanzania,2020,3,2,2020-03-25,12.0,0.0,,,0.201,0.0,,,,36.11
Africa,TZA,Tanzania,2020,3,3,2020-03-26,13.0,1.0,,,0.218,0.017,,,,44.44
Africa,TZA,Tanzania,2020,3,4,2020-03-27,13.0,0.0,,,0.218,0.0,,,,47.22
Africa,TZA,Tanzania,2020,3,5,2020-03-28,14.0,1.0,,,0.234,0.017,,,,47.22
Africa,TZA,Tanzania,2020,3,6,2020-03-29,14.0,0.0,,,0.234,0.0,,,,47.22
Africa,TZA,Tanzania,2020,3,0,2020-03-30,19.0,5.0,,,0.318,0.084,,,,47.22
Africa,TZA,Tanzania,2020,3,1,2020-03-31,19.0,0.0,1.0,1.0,0.318,0.0,0.017,0.017,,47.22
Africa,TZA,Tanzania,2020,4,2,2020-04-01,20.0,1.0,1.0,0.0,0.335,0.017,0.017,0.0,,47.22
Africa,TZA,Tanzania,2020,4,3,2020-04-02,20.0,0.0,1.0,0.0,0.335,0.0,0.017,0.0,,47.22
Africa,TZA,Tanzania,2020,4,4,2020-04-03,20.0,0.0,1.0,0.0,0.335,0.0,0.017,0.0,,47.22
Africa,TZA,Tanzania,2020,4,5,2020-04-04,20.0,0.0,1.0,0.0,0.335,0.0,0.017,0.0,,47.22
Africa,TZA,Tanzania,2020,4,6,2020-04-05,22.0,2.0,1.0,0.0,0.368,0.033,0.017,0.0,,47.22
Africa,TZA,Tanzania,2020,4,0,2020-04-06,24.0,2.0,1.0,0.0,0.402,0.033,0.017,0.0,,47.22
Africa,TZA,Tanzania,2020,4,1,2020-04-07,24.0,0.0,1.0,0.0,0.402,0.0,0.017,0.0,,47.22
Africa,TZA,Tanzania,2020,4,2,2020-04-08,25.0,1.0,1.0,0.0,0.419,0.017,0.017,0.0,,47.22
Africa,TZA,Tanzania,2020,4,3,2020-04-09,25.0,0.0,1.0,0.0,0.419,0.0,0.017,0.0,,47.22
Africa,TZA,Tanzania,2020,4,4,2020-04-10,32.0,7.0,3.0,2.0,0.536,0.117,0.05,0.033,,47.22
Africa,TZA,Tanzania,2020,4,5,2020-04-11,32.0,0.0,3.0,0.0,0.536,0.0,0.05,0.0,,47.22
Africa,TZA,Tanzania,2020,4,6,2020-04-12,32.0,0.0,3.0,0.0,0.536,0.0,0.05,0.0,,50.0
Africa,TZA,Tanzania,2020,4,0,2020-04-13,49.0,17.0,3.0,0.0,0.82,0.285,0.05,0.0,,50.0
Africa,TZA,Tanzania,2020,4,1,2020-04-14,53.0,4.0,3.0,0.0,0.887,0.067,0.05,0.0,,50.0
Africa,TZA,Tanzania,2020,4,2,2020-04-15,88.0,35.0,4.0,1.0,1.473,0.586,0.067,0.017,,50.0
