continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Europe,UKR,Ukraine,2020,3,1,2020-03-03,1.0,1.0,,,0.023,0.023,,,,11.11
Europe,UKR,Ukraine,2020,3,2,2020-03-04,1.0,0.0,,,0.023,0.0,,,,11.11
Europe,UKR,Ukraine,2020,3,3,2020-03-05,1.0,0.0,,,0.023,0.0,,,,11.11
Europe,UKR,Ukraine,2020,3,4,2020-03-06,1.0,0.0,,,0.023,0.0,,,,11.11
Europe,UKR,Ukraine,2020,3,5,2020-03-07,1.0,0.0,,,0.023,0.0,,,,11.11
Europe,UKR,Ukraine,2020,3,6,2020-03-08,1.0,0.0,,,0.023,0.0,,,,11.11
Europe,UKR,Ukraine,2020,3,0,2020-03-09,1.0,0.0,,,0.023,0.0,,,,11.11
Europe,UKR,Ukraine,2020,3,1,2020-03-10,1.0,0.0,,,0.023,0.0,,,,11.11
Europe,UKR,Ukraine,2020,3,2,2020-03-11,1.0,0.0,,,0.023,0.0,,,,11.11
Europe,UKR,Ukraine,2020,3,3,2020-03-12,1.0,0.0,,,0.023,0.0,,,,50.0
Europe,UKR,Ukraine,2020,3,4,2020-03-13,3.0,2.0,1.0,1.0,0.069,0.046,0.023,0.023,,50.0
Europe,UKR,Ukraine,2020,3,5,2020-03-14,3.0,0.0,1.0,0.0,0.069,0.0,0.023,0.0,,50.0
Europe,UKR,Ukraine,2020,3,6,2020-03-15,3.0,0.0,1.0,0.0,0.069,0.0,0.023,0.0,,50.0
Europe,UKR,Ukraine,2020,3,0,2020-03-16,7.0,4.0,1.0,0.0,0.16,0.091,0.023,0.0,,64.81
Europe,UKR,Ukraine,2020,3,1,2020-03-17,14.0,7.0,2.0,1.0,0.32,0.16,0.046,0.023,,77.78
Europe,UKR,Ukraine,2020,3,2,2020-03-18,14.0,0.0,2.0,0.0,0.32,0.0,0.046,0.0,,88.89
Europe,UKR,Ukraine,2020,3,3,2020-03-19,16.0,2.0,2.0,0.0,0.366,0.046,0.046,0.0,,88.89
Europe,UKR,Ukraine,2020,3,4,2020-03-20,29.0,13.0,3.0,1.0,0.663,0.297,0.069,0.023,,88.89
Europe,UKR,Ukraine,2020,3,5,2020-03-21,47.0,18.0,3.0,0.0,1.075,0.412,0.069,0.0,,88.89
