continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
South America,URY,Uruguay,2020,3,4,2020-03-13,4.0,4.0,,,1.152,1.152,,,,25.93
South America,URY,Uruguay,2020,3,5,2020-03-14,6.0,2.0,,,1.727,0.576,,,,48.15
South America,URY,Uruguay,2020,3,6,2020-03-15,8.0,2.0,,,2.303,0.576,,,,51.85
South America,URY,Uruguay,2020,3,0,2020-03-16,29.0,21.0,,,8.348,6.045,,,,54.63
South America,URY,Uruguay,2020,3,1,2020-03-17,50.0,21.0,,,14.394,6.045,,,,54.63
South America,URY,Uruguay,2020,3,2,2020-03-18,79.0,29.0,,,22.742,8.348,,,,54.63
South America,URY,Uruguay,2020,3,3,2020-03-19,94.0,15.0,,,27.06,4.318,,,,54.63
South America,URY,Uruguay,2020,3,4,2020-03-20,110.0,16.0,,,31.666,4.606,,,,54.63
South America,URY,Uruguay,2020,3,5,2020-03-21,135.0,25.0,,,38.863,7.197,,,1.05,54.63
South America,URY,Uruguay,2020,3,6,2020-03-22,158.0,23.0,,,45.484,6.621,,,1.05,54.63
South America,URY,Uruguay,2020,3,0,2020-03-23,162.0,4.0,,,46.636,1.152,,,1.04,54.63
South America,URY,Uruguay,2020,3,1,2020-03-24,189.0,27.0,,,54.408,7.773,,,1.04,57.41
South America,URY,Uruguay,2020,3,2,2020-03-25,217.0,28.0,,,62.469,8.061,,,1.04,57.41
South America,URY,Uruguay,2020,3,3,2020-03-26,238.0,21.0,,,68.514,6.045,,,1.03,57.41
South America,URY,Uruguay,2020,3,4,2020-03-27,274.0,36.0,,,78.878,10.364,,,1.02,62.96
South America,URY,Uruguay,2020,3,5,2020-03-28,303.0,29.0,1.0,1.0,87.226,8.348,0.288,0.288,1.01,62.96
South America,URY,Uruguay,2020,3,6,2020-03-29,309.0,6.0,1.0,0.0,88.953,1.727,0.288,0.0,0.99,62.96
South America,URY,Uruguay,2020,3,0,2020-03-30,320.0,11.0,1.0,0.0,92.12,3.167,0.288,0.0,0.98,62.96
South America,URY,Uruguay,2020,3,1,2020-03-31,338.0,18.0,1.0,0.0,97.302,5.182,0.288,0.0,0.98,62.96
South America,URY,Uruguay,2020,4,2,2020-04-01,350.0,12.0,2.0,1.0,100.756,3.455,0.576,0.288,0.97,68.52
South America,URY,Uruguay,2020,4,3,2020-04-02,369.0,19.0,4.0,2.0,106.226,5.47,1.152,0.576,0.96,72.22
South America,URY,Uruguay,2020,4,4,2020-04-03,386.0,17.0,4.0,0.0,111.12,4.894,1.152,0.0,0.96,72.22
South America,URY,Uruguay,2020,4,5,2020-04-04,400.0,14.0,5.0,1.0,115.15,4.03,1.439,0.288,0.95,72.22
South America,URY,Uruguay,2020,4,6,2020-04-05,406.0,6.0,6.0,1.0,116.877,1.727,1.727,0.288,0.95,72.22
South America,URY,Uruguay,2020,4,0,2020-04-06,415.0,9.0,6.0,0.0,119.468,2.591,1.727,0.0,0.95,72.22
South America,URY,Uruguay,2020,4,1,2020-04-07,424.0,9.0,7.0,1.0,122.059,2.591,2.015,0.288,0.96,72.22
South America,URY,Uruguay,2020,4,2,2020-04-08,456.0,32.0,7.0,0.0,131.271,9.212,2.015,0.0,0.96,72.22
South America,URY,Uruguay,2020,4,3,2020-04-09,473.0,17.0,7.0,0.0,136.165,4.894,2.015,0.0,0.96,72.22
South America,URY,Uruguay,2020,4,4,2020-04-10,494.0,21.0,7.0,0.0,142.21,6.045,2.015,0.0,0.95,72.22
South America,URY,Uruguay,2020,4,5,2020-04-11,501.0,7.0,7.0,0.0,144.225,2.015,2.015,0.0,0.94,72.22
South America,URY,Uruguay,2020,4,6,2020-04-12,480.0,-21.0,7.0,0.0,138.18,-6.045,2.015,0.0,0.94,72.22
South America,URY,Uruguay,2020,4,0,2020-04-13,483.0,3.0,8.0,1.0,139.044,0.864,2.303,0.288,0.93,62.96
South America,URY,Uruguay,2020,4,1,2020-04-14,492.0,9.0,8.0,0.0,141.635,2.591,2.303,0.0,0.93,62.96
South America,URY,Uruguay,2020,4,2,2020-04-15,493.0,1.0,9.0,1.0,141.922,0.288,2.591,0.288,0.92,62.96
South America,URY,Uruguay,2020,4,3,2020-04-16,502.0,9.0,9.0,0.0,144.513,2.591,2.591,0.0,0.93,62.96
South America,URY,Uruguay,2020,4,4,2020-04-17,508.0,6.0,9.0,0.0,146.241,1.727,2.591,0.0,0.93,62.96
South America,URY,Uruguay,2020,4,5,2020-04-18,517.0,9.0,9.0,0.0,148.831,2.591,2.591,0.0,0.94,62.96
South America,URY,Uruguay,2020,4,6,2020-04-19,528.0,11.0,10.0,1.0,151.998,3.167,2.879,0.288,0.94,62.96
South America,URY,Uruguay,2020,4,0,2020-04-20,535.0,7.0,10.0,0.0,154.013,2.015,2.879,0.0,0.94,62.96
South America,URY,Uruguay,2020,4,1,2020-04-21,543.0,8.0,12.0,2.0,156.316,2.303,3.455,0.576,0.95,62.96
South America,URY,Uruguay,2020,4,2,2020-04-22,549.0,6.0,12.0,0.0,158.044,1.727,3.455,0.0,0.96,61.11
South America,URY,Uruguay,2020,4,3,2020-04-23,557.0,8.0,12.0,0.0,160.347,2.303,3.455,0.0,0.96,61.11
South America,URY,Uruguay,2020,4,4,2020-04-24,563.0,6.0,12.0,0.0,162.074,1.727,3.455,0.0,0.97,61.11
South America,URY,Uruguay,2020,4,5,2020-04-25,596.0,33.0,14.0,2.0,171.574,9.5,4.03,0.576,0.98,61.11
South America,URY,Uruguay,2020,4,6,2020-04-26,606.0,10.0,15.0,1.0,174.452,2.879,4.318,0.288,0.97,61.11
South America,URY,Uruguay,2020,4,0,2020-04-27,620.0,14.0,15.0,0.0,178.483,4.03,4.318,0.0,0.96,61.11
South America,URY,Uruguay,2020,4,1,2020-04-28,625.0,5.0,15.0,0.0,179.922,1.439,4.318,0.0,0.94,61.11
South America,URY,Uruguay,2020,4,2,2020-04-29,630.0,5.0,15.0,0.0,181.361,1.439,4.318,0.0,0.93,61.11
South America,URY,Uruguay,2020,4,3,2020-04-30,643.0,13.0,17.0,2.0,185.104,3.742,4.894,0.576,0.92,61.11
South America,URY,Uruguay,2020,5,4,2020-05-01,648.0,5.0,17.0,0.0,186.543,1.439,4.894,0.0,0.91,61.11
South America,URY,Uruguay,2020,5,5,2020-05-02,652.0,4.0,17.0,0.0,187.695,1.152,4.894,0.0,0.91,61.11
South America,URY,Uruguay,2020,5,6,2020-05-03,655.0,3.0,17.0,0.0,188.558,0.864,4.894,0.0,0.91,61.11
South America,URY,Uruguay,2020,5,0,2020-05-04,657.0,2.0,17.0,0.0,189.134,0.576,4.894,0.0,0.91,61.11
South America,URY,Uruguay,2020,5,1,2020-05-05,670.0,13.0,17.0,0.0,192.876,3.742,4.894,0.0,0.91,61.11
South America,URY,Uruguay,2020,5,2,2020-05-06,673.0,3.0,17.0,0.0,193.74,0.864,4.894,0.0,0.91,61.11
South America,URY,Uruguay,2020,5,3,2020-05-07,684.0,11.0,17.0,0.0,196.907,3.167,4.894,0.0,0.92,61.11
South America,URY,Uruguay,2020,5,4,2020-05-08,694.0,10.0,18.0,1.0,199.785,2.879,5.182,0.288,0.91,61.11
South America,URY,Uruguay,2020,5,5,2020-05-09,702.0,8.0,18.0,0.0,202.088,2.303,5.182,0.0,0.91,61.11
South America,URY,Uruguay,2020,5,6,2020-05-10,707.0,5.0,19.0,1.0,203.528,1.439,5.47,0.288,0.9,61.11
South America,URY,Uruguay,2020,5,0,2020-05-11,711.0,4.0,19.0,0.0,204.679,1.152,5.47,0.0,0.9,61.11
South America,URY,Uruguay,2020,5,1,2020-05-12,717.0,6.0,19.0,0.0,206.407,1.727,5.47,0.0,0.9,61.11
South America,URY,Uruguay,2020,5,2,2020-05-13,719.0,2.0,19.0,0.0,206.982,0.576,5.47,0.0,0.9,61.11
South America,URY,Uruguay,2020,5,3,2020-05-14,724.0,5.0,19.0,0.0,208.422,1.439,5.47,0.0,0.9,61.11
South America,URY,Uruguay,2020,5,4,2020-05-15,732.0,8.0,19.0,0.0,210.725,2.303,5.47,0.0,0.9,61.11
South America,URY,Uruguay,2020,5,5,2020-05-16,733.0,1.0,19.0,0.0,211.013,0.288,5.47,0.0,0.9,61.11
South America,URY,Uruguay,2020,5,6,2020-05-17,734.0,1.0,20.0,1.0,211.3,0.288,5.758,0.288,0.91,61.11
South America,URY,Uruguay,2020,5,0,2020-05-18,737.0,3.0,20.0,0.0,212.164,0.864,5.758,0.0,0.92,61.11
South America,URY,Uruguay,2020,5,1,2020-05-19,738.0,1.0,20.0,0.0,212.452,0.288,5.758,0.0,0.93,61.11
South America,URY,Uruguay,2020,5,2,2020-05-20,746.0,8.0,20.0,0.0,214.755,2.303,5.758,0.0,0.95,61.11
South America,URY,Uruguay,2020,5,3,2020-05-21,749.0,3.0,20.0,0.0,215.619,0.864,5.758,0.0,0.96,61.11
South America,URY,Uruguay,2020,5,4,2020-05-22,753.0,4.0,20.0,0.0,216.77,1.152,5.758,0.0,0.97,61.11
South America,URY,Uruguay,2020,5,5,2020-05-23,764.0,11.0,22.0,2.0,219.937,3.167,6.333,0.576,0.99,61.11
South America,URY,Uruguay,2020,5,6,2020-05-24,769.0,5.0,22.0,0.0,221.376,1.439,6.333,0.0,0.99,61.11
South America,URY,Uruguay,2020,5,0,2020-05-25,787.0,18.0,22.0,0.0,226.558,5.182,6.333,0.0,1.0,61.11
South America,URY,Uruguay,2020,5,1,2020-05-26,789.0,2.0,22.0,0.0,227.134,0.576,6.333,0.0,0.98,61.11
South America,URY,Uruguay,2020,5,2,2020-05-27,803.0,14.0,22.0,0.0,231.164,4.03,6.333,0.0,0.97,61.11
South America,URY,Uruguay,2020,5,3,2020-05-28,811.0,8.0,22.0,0.0,233.467,2.303,6.333,0.0,0.95,61.11
South America,URY,Uruguay,2020,5,4,2020-05-29,816.0,5.0,22.0,0.0,234.906,1.439,6.333,0.0,0.93,61.11
South America,URY,Uruguay,2020,5,5,2020-05-30,821.0,5.0,22.0,0.0,236.346,1.439,6.333,0.0,0.91,61.11
South America,URY,Uruguay,2020,5,6,2020-05-31,823.0,2.0,22.0,0.0,236.921,0.576,6.333,0.0,0.9,61.11
South America,URY,Uruguay,2020,6,0,2020-06-01,825.0,2.0,23.0,1.0,237.497,0.576,6.621,0.288,0.89,61.11
South America,URY,Uruguay,2020,6,1,2020-06-02,826.0,1.0,23.0,0.0,237.785,0.288,6.621,0.0,0.88,61.11
South America,URY,Uruguay,2020,6,2,2020-06-03,828.0,2.0,23.0,0.0,238.361,0.576,6.621,0.0,0.87,61.11
South America,URY,Uruguay,2020,6,3,2020-06-04,832.0,4.0,23.0,0.0,239.512,1.152,6.621,0.0,0.87,61.11
South America,URY,Uruguay,2020,6,4,2020-06-05,834.0,2.0,23.0,0.0,240.088,0.576,6.621,0.0,0.87,61.11
South America,URY,Uruguay,2020,6,5,2020-06-06,845.0,11.0,23.0,0.0,243.255,3.167,6.621,0.0,0.87,61.11
South America,URY,Uruguay,2020,6,6,2020-06-07,845.0,0.0,23.0,0.0,243.255,0.0,6.621,0.0,0.86,61.11
South America,URY,Uruguay,2020,6,0,2020-06-08,845.0,0.0,23.0,0.0,243.255,0.0,6.621,0.0,0.85,61.11
