continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,UZB,Uzbekistan,2020,3,6,2020-03-15,1.0,1.0,,,0.03,0.03,,,,16.67
Asia,UZB,Uzbekistan,2020,3,0,2020-03-16,6.0,5.0,,,0.179,0.149,,,,60.19
Asia,UZB,Uzbekistan,2020,3,1,2020-03-17,10.0,4.0,,,0.299,0.12,,,,60.19
Asia,UZB,Uzbekistan,2020,3,2,2020-03-18,15.0,5.0,,,0.448,0.149,,,,60.19
Asia,UZB,Uzbekistan,2020,3,3,2020-03-19,23.0,8.0,,,0.687,0.239,,,,60.19
Asia,UZB,Uzbekistan,2020,3,4,2020-03-20,33.0,10.0,,,0.986,0.299,,,,60.19
Asia,UZB,Uzbekistan,2020,3,5,2020-03-21,43.0,10.0,,,1.285,0.299,,,,63.89
Asia,UZB,Uzbekistan,2020,3,6,2020-03-22,43.0,0.0,,,1.285,0.0,,,,63.89
Asia,UZB,Uzbekistan,2020,3,0,2020-03-23,46.0,3.0,,,1.374,0.09,,,,72.22
Asia,UZB,Uzbekistan,2020,3,1,2020-03-24,50.0,4.0,,,1.494,0.12,,,,80.56
Asia,UZB,Uzbekistan,2020,3,2,2020-03-25,60.0,10.0,,,1.793,0.299,,,,80.56
Asia,UZB,Uzbekistan,2020,3,3,2020-03-26,75.0,15.0,,,2.241,0.448,,,,80.56
Asia,UZB,Uzbekistan,2020,3,4,2020-03-27,88.0,13.0,1.0,1.0,2.629,0.388,0.03,0.03,,90.74
Asia,UZB,Uzbekistan,2020,3,5,2020-03-28,104.0,16.0,2.0,1.0,3.107,0.478,0.06,0.03,,90.74
Asia,UZB,Uzbekistan,2020,3,6,2020-03-29,144.0,40.0,2.0,0.0,4.302,1.195,0.06,0.0,1.56,90.74
Asia,UZB,Uzbekistan,2020,3,0,2020-03-30,149.0,5.0,2.0,0.0,4.452,0.149,0.06,0.0,1.54,90.74
Asia,UZB,Uzbekistan,2020,3,1,2020-03-31,172.0,23.0,2.0,0.0,5.139,0.687,0.06,0.0,1.55,90.74
Asia,UZB,Uzbekistan,2020,4,2,2020-04-01,181.0,9.0,2.0,0.0,5.408,0.269,0.06,0.0,1.55,90.74
Asia,UZB,Uzbekistan,2020,4,3,2020-04-02,205.0,24.0,2.0,0.0,6.125,0.717,0.06,0.0,1.57,90.74
Asia,UZB,Uzbekistan,2020,4,4,2020-04-03,227.0,22.0,2.0,0.0,6.782,0.657,0.06,0.0,1.59,90.74
Asia,UZB,Uzbekistan,2020,4,5,2020-04-04,266.0,39.0,2.0,0.0,7.948,1.165,0.06,0.0,1.62,90.74
