continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
North America,VCT,Saint Vincent and the Grenadines,2020,3,5,2020-03-14,1.0,1.0,,,9.013,9.013,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,3,6,2020-03-15,1.0,0.0,,,9.013,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,3,0,2020-03-16,1.0,0.0,,,9.013,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,3,1,2020-03-17,1.0,0.0,,,9.013,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,3,2,2020-03-18,1.0,0.0,,,9.013,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,3,3,2020-03-19,1.0,0.0,,,9.013,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,3,4,2020-03-20,1.0,0.0,,,9.013,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,3,5,2020-03-21,1.0,0.0,,,9.013,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,3,6,2020-03-22,1.0,0.0,,,9.013,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,3,0,2020-03-23,1.0,0.0,,,9.013,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,3,1,2020-03-24,1.0,0.0,,,9.013,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,3,2,2020-03-25,1.0,0.0,,,9.013,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,3,3,2020-03-26,1.0,0.0,,,9.013,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,3,4,2020-03-27,1.0,0.0,,,9.013,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,3,5,2020-03-28,1.0,0.0,,,9.013,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,3,6,2020-03-29,1.0,0.0,,,9.013,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,3,0,2020-03-30,1.0,0.0,,,9.013,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,3,1,2020-03-31,1.0,0.0,,,9.013,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,2,2020-04-01,1.0,0.0,,,9.013,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,3,2020-04-02,2.0,1.0,,,18.027,9.013,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,4,2020-04-03,3.0,1.0,,,27.04,9.013,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,5,2020-04-04,7.0,4.0,,,63.093,36.053,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,6,2020-04-05,7.0,0.0,,,63.093,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,0,2020-04-06,7.0,0.0,,,63.093,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,1,2020-04-07,8.0,1.0,,,72.107,9.013,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,2,2020-04-08,8.0,0.0,,,72.107,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,3,2020-04-09,12.0,4.0,,,108.16,36.053,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,4,2020-04-10,12.0,0.0,,,108.16,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,5,2020-04-11,12.0,0.0,,,108.16,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,6,2020-04-12,12.0,0.0,,,108.16,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,0,2020-04-13,12.0,0.0,,,108.16,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,1,2020-04-14,12.0,0.0,,,108.16,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,2,2020-04-15,12.0,0.0,,,108.16,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,3,2020-04-16,12.0,0.0,,,108.16,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,4,2020-04-17,12.0,0.0,,,108.16,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,5,2020-04-18,12.0,0.0,,,108.16,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,6,2020-04-19,12.0,0.0,,,108.16,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,0,2020-04-20,12.0,0.0,,,108.16,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,1,2020-04-21,12.0,0.0,,,108.16,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,2,2020-04-22,13.0,1.0,,,117.173,9.013,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,3,2020-04-23,13.0,0.0,,,117.173,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,4,2020-04-24,14.0,1.0,,,126.186,9.013,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,5,2020-04-25,14.0,0.0,,,126.186,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,6,2020-04-26,14.0,0.0,,,126.186,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,0,2020-04-27,15.0,1.0,,,135.2,9.013,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,1,2020-04-28,15.0,0.0,,,135.2,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,2,2020-04-29,16.0,1.0,,,144.213,9.013,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,4,3,2020-04-30,16.0,0.0,,,144.213,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,4,2020-05-01,16.0,0.0,,,144.213,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,5,2020-05-02,16.0,0.0,,,144.213,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,6,2020-05-03,16.0,0.0,,,144.213,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,0,2020-05-04,17.0,1.0,,,153.226,9.013,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,1,2020-05-05,17.0,0.0,,,153.226,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,2,2020-05-06,17.0,0.0,,,153.226,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,3,2020-05-07,17.0,0.0,,,153.226,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,4,2020-05-08,17.0,0.0,,,153.226,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,5,2020-05-09,17.0,0.0,,,153.226,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,6,2020-05-10,17.0,0.0,,,153.226,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,0,2020-05-11,17.0,0.0,,,153.226,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,1,2020-05-12,17.0,0.0,,,153.226,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,2,2020-05-13,17.0,0.0,,,153.226,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,3,2020-05-14,17.0,0.0,,,153.226,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,4,2020-05-15,17.0,0.0,,,153.226,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,5,2020-05-16,17.0,0.0,,,153.226,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,6,2020-05-17,17.0,0.0,,,153.226,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,0,2020-05-18,17.0,0.0,,,153.226,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,1,2020-05-19,17.0,0.0,,,153.226,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,2,2020-05-20,18.0,1.0,,,162.24,9.013,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,3,2020-05-21,18.0,0.0,,,162.24,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,4,2020-05-22,18.0,0.0,,,162.24,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,5,2020-05-23,18.0,0.0,,,162.24,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,6,2020-05-24,18.0,0.0,,,162.24,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,0,2020-05-25,18.0,0.0,,,162.24,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,1,2020-05-26,18.0,0.0,,,162.24,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,2,2020-05-27,18.0,0.0,,,162.24,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,3,2020-05-28,25.0,7.0,,,225.333,63.093,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,4,2020-05-29,26.0,1.0,,,234.346,9.013,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,5,2020-05-30,26.0,0.0,,,234.346,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,5,6,2020-05-31,26.0,0.0,,,234.346,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,0,2020-06-01,26.0,0.0,,,234.346,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,1,2020-06-02,26.0,0.0,,,234.346,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,2,2020-06-03,26.0,0.0,,,234.346,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,3,2020-06-04,26.0,0.0,,,234.346,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,4,2020-06-05,26.0,0.0,,,234.346,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,5,2020-06-06,26.0,0.0,,,234.346,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,6,2020-06-07,27.0,1.0,,,243.359,9.013,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,0,2020-06-08,27.0,0.0,,,243.359,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,1,2020-06-09,27.0,0.0,,,243.359,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,2,2020-06-10,27.0,0.0,,,243.359,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,3,2020-06-11,27.0,0.0,,,243.359,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,4,2020-06-12,27.0,0.0,,,243.359,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,5,2020-06-13,27.0,0.0,,,243.359,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,6,2020-06-14,27.0,0.0,,,243.359,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,0,2020-06-15,27.0,0.0,,,243.359,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,1,2020-06-16,29.0,2.0,,,261.386,18.027,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,2,2020-06-17,29.0,0.0,,,261.386,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,3,2020-06-18,29.0,0.0,,,261.386,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,4,2020-06-19,29.0,0.0,,,261.386,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,5,2020-06-20,29.0,0.0,,,261.386,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,6,2020-06-21,29.0,0.0,,,261.386,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,0,2020-06-22,29.0,0.0,,,261.386,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,1,2020-06-23,29.0,0.0,,,261.386,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,2,2020-06-24,29.0,0.0,,,261.386,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,3,2020-06-25,29.0,0.0,,,261.386,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,4,2020-06-26,29.0,0.0,,,261.386,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,5,2020-06-27,29.0,0.0,,,261.386,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,6,2020-06-28,29.0,0.0,,,261.386,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,0,2020-06-29,29.0,0.0,,,261.386,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,6,1,2020-06-30,29.0,0.0,,,261.386,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,2,2020-07-01,29.0,0.0,,,261.386,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,3,2020-07-02,29.0,0.0,,,261.386,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,4,2020-07-03,29.0,0.0,,,261.386,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,5,2020-07-04,29.0,0.0,,,261.386,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,6,2020-07-05,29.0,0.0,,,261.386,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,0,2020-07-06,29.0,0.0,,,261.386,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,1,2020-07-07,29.0,0.0,,,261.386,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,2,2020-07-08,29.0,0.0,,,261.386,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,3,2020-07-09,29.0,0.0,,,261.386,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,4,2020-07-10,29.0,0.0,,,261.386,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,5,2020-07-11,29.0,0.0,,,261.386,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,6,2020-07-12,35.0,6.0,,,315.466,54.08,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,0,2020-07-13,35.0,0.0,,,315.466,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,1,2020-07-14,35.0,0.0,,,315.466,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,2,2020-07-15,35.0,0.0,,,315.466,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,3,2020-07-16,35.0,0.0,,,315.466,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,4,2020-07-17,35.0,0.0,,,315.466,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,5,2020-07-18,38.0,3.0,,,342.506,27.04,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,6,2020-07-19,44.0,6.0,,,396.586,54.08,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,0,2020-07-20,50.0,6.0,,,450.666,54.08,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,1,2020-07-21,50.0,0.0,,,450.666,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,2,2020-07-22,52.0,2.0,,,468.692,18.027,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,3,2020-07-23,52.0,0.0,,,468.692,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,4,2020-07-24,52.0,0.0,,,468.692,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,5,2020-07-25,52.0,0.0,,,468.692,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,6,2020-07-26,52.0,0.0,,,468.692,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,0,2020-07-27,52.0,0.0,,,468.692,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,1,2020-07-28,52.0,0.0,,,468.692,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,2,2020-07-29,52.0,0.0,,,468.692,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,3,2020-07-30,52.0,0.0,,,468.692,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,7,4,2020-07-31,54.0,2.0,,,486.719,18.027,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,5,2020-08-01,54.0,0.0,,,486.719,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,6,2020-08-02,55.0,1.0,,,495.732,9.013,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,0,2020-08-03,55.0,0.0,,,495.732,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,1,2020-08-04,55.0,0.0,,,495.732,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,2,2020-08-05,56.0,1.0,,,504.746,9.013,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,3,2020-08-06,56.0,0.0,,,504.746,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,4,2020-08-07,56.0,0.0,,,504.746,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,5,2020-08-08,56.0,0.0,,,504.746,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,6,2020-08-09,57.0,1.0,,,513.759,9.013,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,0,2020-08-10,57.0,0.0,,,513.759,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,1,2020-08-11,57.0,0.0,,,513.759,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,2,2020-08-12,57.0,0.0,,,513.759,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,3,2020-08-13,57.0,0.0,,,513.759,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,4,2020-08-14,57.0,0.0,,,513.759,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,5,2020-08-15,57.0,0.0,,,513.759,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,6,2020-08-16,57.0,0.0,,,513.759,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,0,2020-08-17,58.0,1.0,,,522.772,9.013,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,1,2020-08-18,58.0,0.0,,,522.772,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,2,2020-08-19,58.0,0.0,,,522.772,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,3,2020-08-20,58.0,0.0,,,522.772,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,4,2020-08-21,58.0,0.0,,,522.772,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,5,2020-08-22,58.0,0.0,,,522.772,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,6,2020-08-23,58.0,0.0,,,522.772,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,0,2020-08-24,58.0,0.0,,,522.772,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,1,2020-08-25,58.0,0.0,,,522.772,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,2,2020-08-26,58.0,0.0,,,522.772,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,3,2020-08-27,60.0,2.0,,,540.799,18.027,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,4,2020-08-28,60.0,0.0,,,540.799,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,5,2020-08-29,60.0,0.0,,,540.799,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,6,2020-08-30,60.0,0.0,,,540.799,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,8,0,2020-08-31,60.0,0.0,,,540.799,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,1,2020-09-01,61.0,1.0,,,549.812,9.013,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,2,2020-09-02,61.0,0.0,,,549.812,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,3,2020-09-03,61.0,0.0,,,549.812,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,4,2020-09-04,61.0,0.0,,,549.812,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,5,2020-09-05,61.0,0.0,,,549.812,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,6,2020-09-06,61.0,0.0,,,549.812,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,0,2020-09-07,62.0,1.0,,,558.825,9.013,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,1,2020-09-08,62.0,0.0,,,558.825,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,2,2020-09-09,62.0,0.0,,,558.825,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,3,2020-09-10,62.0,0.0,,,558.825,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,4,2020-09-11,64.0,2.0,,,576.852,18.027,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,5,2020-09-12,64.0,0.0,,,576.852,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,6,2020-09-13,64.0,0.0,,,576.852,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,0,2020-09-14,64.0,0.0,,,576.852,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,1,2020-09-15,64.0,0.0,,,576.852,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,2,2020-09-16,64.0,0.0,,,576.852,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,3,2020-09-17,64.0,0.0,,,576.852,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,4,2020-09-18,64.0,0.0,,,576.852,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,5,2020-09-19,64.0,0.0,,,576.852,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,6,2020-09-20,64.0,0.0,,,576.852,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,0,2020-09-21,64.0,0.0,,,576.852,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,1,2020-09-22,64.0,0.0,,,576.852,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,2,2020-09-23,64.0,0.0,,,576.852,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,3,2020-09-24,64.0,0.0,,,576.852,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,4,2020-09-25,64.0,0.0,,,576.852,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,5,2020-09-26,64.0,0.0,,,576.852,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,6,2020-09-27,64.0,0.0,,,576.852,0.0,,,,
North America,VCT,Saint Vincent and the Grenadines,2020,9,0,2020-09-28,64.0,0.0,,,576.852,0.0,,,,
