continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Asia,VNM,Vietnam,2020,1,3,2020-01-23,2.0,2.0,,,0.021,0.021,,,,0.0
Asia,VNM,Vietnam,2020,1,4,2020-01-24,2.0,0.0,,,0.021,0.0,,,,0.0
Asia,VNM,Vietnam,2020,1,5,2020-01-25,2.0,0.0,,,0.021,0.0,,,,2.78
Asia,VNM,Vietnam,2020,1,6,2020-01-26,2.0,0.0,,,0.021,0.0,,,,2.78
Asia,VNM,Vietnam,2020,1,0,2020-01-27,2.0,0.0,,,0.021,0.0,,,,2.78
Asia,VNM,Vietnam,2020,1,1,2020-01-28,2.0,0.0,,,0.021,0.0,,,,2.78
Asia,VNM,Vietnam,2020,1,2,2020-01-29,2.0,0.0,,,0.021,0.0,,,,23.15
Asia,VNM,Vietnam,2020,1,3,2020-01-30,2.0,0.0,,,0.021,0.0,,,,25.93
Asia,VNM,Vietnam,2020,1,4,2020-01-31,2.0,0.0,,,0.021,0.0,,,,25.93
Asia,VNM,Vietnam,2020,2,5,2020-02-01,6.0,4.0,,,0.062,0.041,,,,28.7
Asia,VNM,Vietnam,2020,2,6,2020-02-02,6.0,0.0,,,0.062,0.0,,,,28.7
Asia,VNM,Vietnam,2020,2,0,2020-02-03,8.0,2.0,,,0.082,0.021,,,,28.7
Asia,VNM,Vietnam,2020,2,1,2020-02-04,8.0,0.0,,,0.082,0.0,,,,28.7
Asia,VNM,Vietnam,2020,2,2,2020-02-05,8.0,0.0,,,0.082,0.0,,,,28.7
Asia,VNM,Vietnam,2020,2,3,2020-02-06,10.0,2.0,,,0.103,0.021,,,,28.7
Asia,VNM,Vietnam,2020,2,4,2020-02-07,10.0,0.0,,,0.103,0.0,,,,28.7
Asia,VNM,Vietnam,2020,2,5,2020-02-08,13.0,3.0,,,0.134,0.031,,,,37.04
Asia,VNM,Vietnam,2020,2,6,2020-02-09,13.0,0.0,,,0.134,0.0,,,,37.04
Asia,VNM,Vietnam,2020,2,0,2020-02-10,14.0,1.0,,,0.144,0.01,,,,37.04
Asia,VNM,Vietnam,2020,2,1,2020-02-11,15.0,1.0,,,0.154,0.01,,,,37.04
