continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Oceania,VUT,Vanuatu,2020,11,1,2020-11-10,1.0,1.0,,,3.256,3.256,,,,22.22
Oceania,VUT,Vanuatu,2020,11,2,2020-11-11,1.0,0.0,,,3.256,0.0,,,,22.22
Oceania,VUT,Vanuatu,2020,11,3,2020-11-12,1.0,0.0,,,3.256,0.0,,,,30.56
Oceania,VUT,Vanuatu,2020,11,4,2020-11-13,1.0,0.0,,,3.256,0.0,,,,30.56
Oceania,VUT,Vanuatu,2020,11,5,2020-11-14,1.0,0.0,,,3.256,0.0,,,,30.56
Oceania,VUT,Vanuatu,2020,11,6,2020-11-15,1.0,0.0,,,3.256,0.0,,,,30.56
Oceania,VUT,Vanuatu,2020,11,0,2020-11-16,1.0,0.0,,,3.256,0.0,,,,30.56
Oceania,VUT,Vanuatu,2020,11,1,2020-11-17,1.0,0.0,,,3.256,0.0,,,,30.56
Oceania,VUT,Vanuatu,2020,11,2,2020-11-18,1.0,0.0,,,3.256,0.0,,,,30.56
Oceania,VUT,Vanuatu,2020,11,3,2020-11-19,1.0,0.0,,,3.256,0.0,,,,30.56
Oceania,VUT,Vanuatu,2020,11,4,2020-11-20,1.0,0.0,,,3.256,0.0,,,,30.56
Oceania,VUT,Vanuatu,2020,11,5,2020-11-21,1.0,0.0,,,3.256,0.0,,,,30.56
Oceania,VUT,Vanuatu,2020,11,6,2020-11-22,1.0,0.0,,,3.256,0.0,,,,30.56
Oceania,VUT,Vanuatu,2020,11,0,2020-11-23,1.0,0.0,,,3.256,0.0,,,,30.56
Oceania,VUT,Vanuatu,2020,11,1,2020-11-24,1.0,0.0,,,3.256,0.0,,,,30.56
Oceania,VUT,Vanuatu,2020,11,2,2020-11-25,1.0,0.0,,,3.256,0.0,,,,30.56
Oceania,VUT,Vanuatu,2020,11,3,2020-11-26,1.0,0.0,,,3.256,0.0,,,,30.56
