continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Oceania,WSM,Samoa,2020,11,2,2020-11-18,1.0,1.0,,,5.04,5.04,,,,
Oceania,WSM,Samoa,2020,11,3,2020-11-19,1.0,0.0,,,5.04,0.0,,,,
Oceania,WSM,Samoa,2020,11,4,2020-11-20,1.0,0.0,,,5.04,0.0,,,,
Oceania,WSM,Samoa,2020,11,5,2020-11-21,1.0,0.0,,,5.04,0.0,,,,
Oceania,WSM,Samoa,2020,11,6,2020-11-22,1.0,0.0,,,5.04,0.0,,,,
Oceania,WSM,Samoa,2020,11,0,2020-11-23,1.0,0.0,,,5.04,0.0,,,,
Oceania,WSM,Samoa,2020,11,1,2020-11-24,1.0,0.0,,,5.04,0.0,,,,
Oceania,WSM,Samoa,2020,11,2,2020-11-25,1.0,0.0,,,5.04,0.0,,,,
Oceania,WSM,Samoa,2020,11,3,2020-11-26,1.0,0.0,,,5.04,0.0,,,,
Oceania,WSM,Samoa,2020,11,4,2020-11-27,2.0,1.0,,,10.08,5.04,,,,
Oceania,WSM,Samoa,2020,11,5,2020-11-28,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,11,6,2020-11-29,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,11,0,2020-11-30,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,1,2020-12-01,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,2,2020-12-02,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,3,2020-12-03,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,4,2020-12-04,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,5,2020-12-05,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,6,2020-12-06,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,0,2020-12-07,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,1,2020-12-08,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,2,2020-12-09,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,3,2020-12-10,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,4,2020-12-11,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,5,2020-12-12,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,6,2020-12-13,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,0,2020-12-14,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,1,2020-12-15,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,2,2020-12-16,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,3,2020-12-17,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,4,2020-12-18,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,5,2020-12-19,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,6,2020-12-20,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,0,2020-12-21,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,1,2020-12-22,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,2,2020-12-23,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,3,2020-12-24,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,4,2020-12-25,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,5,2020-12-26,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,6,2020-12-27,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,0,2020-12-28,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,1,2020-12-29,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,2,2020-12-30,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2020,12,3,2020-12-31,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,4,2021-01-01,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,5,2021-01-02,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,6,2021-01-03,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,0,2021-01-04,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,1,2021-01-05,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,2,2021-01-06,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,3,2021-01-07,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,4,2021-01-08,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,5,2021-01-09,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,6,2021-01-10,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,0,2021-01-11,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,1,2021-01-12,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,2,2021-01-13,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,3,2021-01-14,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,4,2021-01-15,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,5,2021-01-16,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,6,2021-01-17,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,0,2021-01-18,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,1,2021-01-19,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,2,2021-01-20,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,3,2021-01-21,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,4,2021-01-22,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,5,2021-01-23,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,6,2021-01-24,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,0,2021-01-25,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,1,2021-01-26,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,2,2021-01-27,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,3,2021-01-28,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,4,2021-01-29,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,5,2021-01-30,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,1,6,2021-01-31,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,2,0,2021-02-01,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,2,1,2021-02-02,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,2,2,2021-02-03,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,2,3,2021-02-04,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,2,4,2021-02-05,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,2,5,2021-02-06,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,2,6,2021-02-07,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,2,0,2021-02-08,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,2,1,2021-02-09,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,2,2,2021-02-10,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,2,3,2021-02-11,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,2,4,2021-02-12,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,2,5,2021-02-13,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,2,6,2021-02-14,2.0,0.0,,,10.08,0.0,,,,
Oceania,WSM,Samoa,2021,2,0,2021-02-15,3.0,1.0,,,15.12,5.04,,,,
Oceania,WSM,Samoa,2021,2,1,2021-02-16,3.0,0.0,,,15.12,0.0,,,,
Oceania,WSM,Samoa,2021,2,2,2021-02-17,3.0,0.0,,,15.12,0.0,,,,
Oceania,WSM,Samoa,2021,2,3,2021-02-18,3.0,0.0,,,15.12,0.0,,,,
Oceania,WSM,Samoa,2021,2,4,2021-02-19,3.0,0.0,,,15.12,0.0,,,,
Oceania,WSM,Samoa,2021,2,5,2021-02-20,3.0,0.0,,,15.12,0.0,,,,
Oceania,WSM,Samoa,2021,2,6,2021-02-21,3.0,0.0,,,15.12,0.0,,,,
Oceania,WSM,Samoa,2021,2,0,2021-02-22,3.0,0.0,,,15.12,0.0,,,,
Oceania,WSM,Samoa,2021,2,1,2021-02-23,3.0,0.0,,,15.12,0.0,,,,
Oceania,WSM,Samoa,2021,2,2,2021-02-24,3.0,0.0,,,15.12,0.0,,,,
