continent,iso_code,location,year,month,weekday,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,stringency_index
Africa,ZMB,Zambia,2020,3,2,2020-03-18,2.0,2.0,,,0.109,0.109,,,,16.67
Africa,ZMB,Zambia,2020,3,3,2020-03-19,2.0,0.0,,,0.109,0.0,,,,16.67
Africa,ZMB,Zambia,2020,3,4,2020-03-20,2.0,0.0,,,0.109,0.0,,,,27.78
Africa,ZMB,Zambia,2020,3,5,2020-03-21,2.0,0.0,,,0.109,0.0,,,,27.78
Africa,ZMB,Zambia,2020,3,6,2020-03-22,3.0,1.0,,,0.163,0.054,,,,27.78
Africa,ZMB,Zambia,2020,3,0,2020-03-23,3.0,0.0,,,0.163,0.0,,,,27.78
Africa,ZMB,Zambia,2020,3,1,2020-03-24,3.0,0.0,,,0.163,0.0,,,,27.78
Africa,ZMB,Zambia,2020,3,2,2020-03-25,12.0,9.0,,,0.653,0.49,,,,27.78
Africa,ZMB,Zambia,2020,3,3,2020-03-26,16.0,4.0,,,0.87,0.218,,,,36.11
Africa,ZMB,Zambia,2020,3,4,2020-03-27,22.0,6.0,,,1.197,0.326,,,,41.67
Africa,ZMB,Zambia,2020,3,5,2020-03-28,28.0,6.0,,,1.523,0.326,,,,41.67
Africa,ZMB,Zambia,2020,3,6,2020-03-29,29.0,1.0,,,1.577,0.054,,,,47.22
Africa,ZMB,Zambia,2020,3,0,2020-03-30,35.0,6.0,,,1.904,0.326,,,,47.22
Africa,ZMB,Zambia,2020,3,1,2020-03-31,35.0,0.0,,,1.904,0.0,,,,47.22
Africa,ZMB,Zambia,2020,4,2,2020-04-01,36.0,1.0,,,1.958,0.054,,,,47.22
Africa,ZMB,Zambia,2020,4,3,2020-04-02,39.0,3.0,1.0,1.0,2.121,0.163,0.054,0.054,,47.22
Africa,ZMB,Zambia,2020,4,4,2020-04-03,39.0,0.0,1.0,0.0,2.121,0.0,0.054,0.0,,47.22
Africa,ZMB,Zambia,2020,4,5,2020-04-04,39.0,0.0,1.0,0.0,2.121,0.0,0.054,0.0,,47.22
Africa,ZMB,Zambia,2020,4,6,2020-04-05,39.0,0.0,1.0,0.0,2.121,0.0,0.054,0.0,,47.22
Africa,ZMB,Zambia,2020,4,0,2020-04-06,39.0,0.0,1.0,0.0,2.121,0.0,0.054,0.0,,47.22
Africa,ZMB,Zambia,2020,4,1,2020-04-07,39.0,0.0,1.0,0.0,2.121,0.0,0.054,0.0,,47.22
Africa,ZMB,Zambia,2020,4,2,2020-04-08,39.0,0.0,1.0,0.0,2.121,0.0,0.054,0.0,,47.22
Africa,ZMB,Zambia,2020,4,3,2020-04-09,39.0,0.0,1.0,0.0,2.121,0.0,0.054,0.0,,50.93
Africa,ZMB,Zambia,2020,4,4,2020-04-10,40.0,1.0,2.0,1.0,2.176,0.054,0.109,0.054,,50.93
Africa,ZMB,Zambia,2020,4,5,2020-04-11,40.0,0.0,2.0,0.0,2.176,0.0,0.109,0.0,,50.93
Africa,ZMB,Zambia,2020,4,6,2020-04-12,43.0,3.0,2.0,0.0,2.339,0.163,0.109,0.0,,50.93
Africa,ZMB,Zambia,2020,4,0,2020-04-13,45.0,2.0,2.0,0.0,2.448,0.109,0.109,0.0,,50.93
Africa,ZMB,Zambia,2020,4,1,2020-04-14,45.0,0.0,2.0,0.0,2.448,0.0,0.109,0.0,,53.7
