continent,iso_code,location,year,month,weekday,date,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index
North America,AIA,Anguilla,2021,2,3,2021-02-04,,,81.88,
North America,AIA,Anguilla,2021,2,4,2021-02-05,,,81.88,
North America,AIA,Anguilla,2021,2,5,2021-02-06,,,81.88,
North America,AIA,Anguilla,2021,2,6,2021-02-07,,,81.88,
North America,AIA,Anguilla,2021,2,0,2021-02-08,,,81.88,
North America,AIA,Anguilla,2021,2,1,2021-02-09,,,81.88,
North America,AIA,Anguilla,2021,2,2,2021-02-10,,,81.88,
North America,AIA,Anguilla,2021,2,3,2021-02-11,,,81.88,
North America,AIA,Anguilla,2021,2,4,2021-02-12,,,81.88,
North America,AIA,Anguilla,2021,2,5,2021-02-13,,,81.88,
North America,AIA,Anguilla,2021,2,6,2021-02-14,,,81.88,
