continent,iso_code,location,year,month,weekday,date,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index
North America,BMU,Bermuda,2021,1,6,2021-01-10,50669.315,,82.59,
North America,BMU,Bermuda,2021,1,0,2021-01-11,50669.315,,82.59,
North America,BMU,Bermuda,2021,1,1,2021-01-12,50669.315,,82.59,
North America,BMU,Bermuda,2021,1,2,2021-01-13,50669.315,,82.59,
North America,BMU,Bermuda,2021,1,3,2021-01-14,50669.315,,82.59,
North America,BMU,Bermuda,2021,1,4,2021-01-15,50669.315,,82.59,
North America,BMU,Bermuda,2021,1,5,2021-01-16,50669.315,,82.59,
North America,BMU,Bermuda,2021,1,6,2021-01-17,50669.315,,82.59,
North America,BMU,Bermuda,2021,1,0,2021-01-18,50669.315,,82.59,
North America,BMU,Bermuda,2021,1,1,2021-01-19,50669.315,,82.59,
North America,BMU,Bermuda,2021,1,2,2021-01-20,50669.315,,82.59,
North America,BMU,Bermuda,2021,1,3,2021-01-21,50669.315,,82.59,
North America,BMU,Bermuda,2021,1,4,2021-01-22,50669.315,,82.59,
North America,BMU,Bermuda,2021,1,5,2021-01-23,50669.315,,82.59,
North America,BMU,Bermuda,2021,1,6,2021-01-24,50669.315,,82.59,
North America,BMU,Bermuda,2021,1,0,2021-01-25,50669.315,,82.59,
North America,BMU,Bermuda,2021,1,1,2021-01-26,50669.315,,82.59,
North America,BMU,Bermuda,2021,1,2,2021-01-27,50669.315,,82.59,
North America,BMU,Bermuda,2021,1,3,2021-01-28,50669.315,,82.59,
North America,BMU,Bermuda,2021,1,4,2021-01-29,50669.315,,82.59,
North America,BMU,Bermuda,2021,1,5,2021-01-30,50669.315,,82.59,
North America,BMU,Bermuda,2021,1,6,2021-01-31,50669.315,,82.59,
North America,BMU,Bermuda,2021,2,0,2021-02-01,50669.315,,82.59,
North America,BMU,Bermuda,2021,2,1,2021-02-02,50669.315,,82.59,
North America,BMU,Bermuda,2021,2,2,2021-02-03,50669.315,,82.59,
North America,BMU,Bermuda,2021,2,3,2021-02-04,50669.315,,82.59,
North America,BMU,Bermuda,2021,2,4,2021-02-05,50669.315,,82.59,
North America,BMU,Bermuda,2021,2,5,2021-02-06,50669.315,,82.59,
North America,BMU,Bermuda,2021,2,6,2021-02-07,50669.315,,82.59,
North America,BMU,Bermuda,2021,2,0,2021-02-08,50669.315,,82.59,
North America,BMU,Bermuda,2021,2,1,2021-02-09,50669.315,,82.59,
North America,BMU,Bermuda,2021,2,2,2021-02-10,50669.315,,82.59,
North America,BMU,Bermuda,2021,2,3,2021-02-11,50669.315,,82.59,
North America,BMU,Bermuda,2021,2,4,2021-02-12,50669.315,,82.59,
North America,BMU,Bermuda,2021,2,5,2021-02-13,50669.315,,82.59,
North America,BMU,Bermuda,2021,2,6,2021-02-14,50669.315,,82.59,
North America,BMU,Bermuda,2021,2,0,2021-02-15,50669.315,,82.59,
