continent,iso_code,location,year,month,weekday,date,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index
North America,CAN,Canada,2020,1,6,2020-01-26,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,1,0,2020-01-27,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,1,1,2020-01-28,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,1,2,2020-01-29,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,1,3,2020-01-30,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,1,4,2020-01-31,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,5,2020-02-01,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,6,2020-02-02,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,0,2020-02-03,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,1,2020-02-04,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,2,2020-02-05,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,3,2020-02-06,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,4,2020-02-07,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,5,2020-02-08,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,6,2020-02-09,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,0,2020-02-10,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,1,2020-02-11,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,2,2020-02-12,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,3,2020-02-13,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,4,2020-02-14,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,5,2020-02-15,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,6,2020-02-16,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,0,2020-02-17,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,1,2020-02-18,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,2,2020-02-19,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,3,2020-02-20,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,4,2020-02-21,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,5,2020-02-22,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,6,2020-02-23,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,0,2020-02-24,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,1,2020-02-25,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,2,2020-02-26,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,3,2020-02-27,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,4,2020-02-28,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,2,5,2020-02-29,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,3,6,2020-03-01,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,3,0,2020-03-02,44017.591,0.5,82.43,0.929
North America,CAN,Canada,2020,3,1,2020-03-03,44017.591,0.5,82.43,0.929
