continent,iso_code,location,year,month,weekday,date,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index
Europe,CHE,Switzerland,2020,1,4,2020-01-24,57410.166,,83.78,0.955
Europe,CHE,Switzerland,2020,1,5,2020-01-25,57410.166,,83.78,0.955
Europe,CHE,Switzerland,2020,1,6,2020-01-26,57410.166,,83.78,0.955
Europe,CHE,Switzerland,2020,1,0,2020-01-27,57410.166,,83.78,0.955
Europe,CHE,Switzerland,2020,1,1,2020-01-28,57410.166,,83.78,0.955
Europe,CHE,Switzerland,2020,1,2,2020-01-29,57410.166,,83.78,0.955
Europe,CHE,Switzerland,2020,1,3,2020-01-30,57410.166,,83.78,0.955
Europe,CHE,Switzerland,2020,1,4,2020-01-31,57410.166,,83.78,0.955
Europe,CHE,Switzerland,2020,2,5,2020-02-01,57410.166,,83.78,0.955
Europe,CHE,Switzerland,2020,2,6,2020-02-02,57410.166,,83.78,0.955
Europe,CHE,Switzerland,2020,2,0,2020-02-03,57410.166,,83.78,0.955
Europe,CHE,Switzerland,2020,2,1,2020-02-04,57410.166,,83.78,0.955
Europe,CHE,Switzerland,2020,2,2,2020-02-05,57410.166,,83.78,0.955
Europe,CHE,Switzerland,2020,2,3,2020-02-06,57410.166,,83.78,0.955
Europe,CHE,Switzerland,2020,2,4,2020-02-07,57410.166,,83.78,0.955
Europe,CHE,Switzerland,2020,2,5,2020-02-08,57410.166,,83.78,0.955
Europe,CHE,Switzerland,2020,2,6,2020-02-09,57410.166,,83.78,0.955
Europe,CHE,Switzerland,2020,2,0,2020-02-10,57410.166,,83.78,0.955
Europe,CHE,Switzerland,2020,2,1,2020-02-11,57410.166,,83.78,0.955
Europe,CHE,Switzerland,2020,2,2,2020-02-12,57410.166,,83.78,0.955
Europe,CHE,Switzerland,2020,2,3,2020-02-13,57410.166,,83.78,0.955
Europe,CHE,Switzerland,2020,2,4,2020-02-14,57410.166,,83.78,0.955
