continent,iso_code,location,year,month,weekday,date,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index
North America,CYM,Cayman Islands,2020,12,5,2020-12-26,49903.029,,83.92,
North America,CYM,Cayman Islands,2020,12,6,2020-12-27,49903.029,,83.92,
North America,CYM,Cayman Islands,2020,12,0,2020-12-28,49903.029,,83.92,
North America,CYM,Cayman Islands,2020,12,1,2020-12-29,49903.029,,83.92,
North America,CYM,Cayman Islands,2020,12,2,2020-12-30,49903.029,,83.92,
North America,CYM,Cayman Islands,2020,12,3,2020-12-31,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,4,2021-01-01,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,5,2021-01-02,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,6,2021-01-03,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,0,2021-01-04,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,1,2021-01-05,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,2,2021-01-06,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,3,2021-01-07,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,4,2021-01-08,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,5,2021-01-09,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,6,2021-01-10,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,0,2021-01-11,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,1,2021-01-12,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,2,2021-01-13,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,3,2021-01-14,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,4,2021-01-15,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,5,2021-01-16,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,6,2021-01-17,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,0,2021-01-18,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,1,2021-01-19,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,2,2021-01-20,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,3,2021-01-21,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,4,2021-01-22,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,5,2021-01-23,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,6,2021-01-24,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,0,2021-01-25,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,1,2021-01-26,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,2,2021-01-27,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,3,2021-01-28,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,4,2021-01-29,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,5,2021-01-30,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,1,6,2021-01-31,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,2,0,2021-02-01,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,2,1,2021-02-02,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,2,2,2021-02-03,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,2,3,2021-02-04,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,2,4,2021-02-05,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,2,5,2021-02-06,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,2,6,2021-02-07,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,2,0,2021-02-08,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,2,1,2021-02-09,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,2,2,2021-02-10,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,2,3,2021-02-11,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,2,4,2021-02-12,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,2,5,2021-02-13,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,2,6,2021-02-14,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,2,0,2021-02-15,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,2,1,2021-02-16,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,2,2,2021-02-17,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,2,3,2021-02-18,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,2,4,2021-02-19,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,2,5,2021-02-20,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,2,6,2021-02-21,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,2,0,2021-02-22,49903.029,,83.92,
North America,CYM,Cayman Islands,2021,2,1,2021-02-23,49903.029,,83.92,
