continent,iso_code,location,year,month,weekday,date,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index
Europe,FRO,Faeroe Islands,2021,1,4,2021-01-29,,,80.67,
Europe,FRO,Faeroe Islands,2021,1,5,2021-01-30,,,80.67,
Europe,FRO,Faeroe Islands,2021,1,6,2021-01-31,,,80.67,
Europe,FRO,Faeroe Islands,2021,2,0,2021-02-01,,,80.67,
Europe,FRO,Faeroe Islands,2021,2,1,2021-02-02,,,80.67,
Europe,FRO,Faeroe Islands,2021,2,2,2021-02-03,,,80.67,
Europe,FRO,Faeroe Islands,2021,2,3,2021-02-04,,,80.67,
Europe,FRO,Faeroe Islands,2021,2,4,2021-02-05,,,80.67,
Europe,FRO,Faeroe Islands,2021,2,5,2021-02-06,,,80.67,
Europe,FRO,Faeroe Islands,2021,2,6,2021-02-07,,,80.67,
Europe,FRO,Faeroe Islands,2021,2,0,2021-02-08,,,80.67,
Europe,FRO,Faeroe Islands,2021,2,1,2021-02-09,,,80.67,
Europe,FRO,Faeroe Islands,2021,2,2,2021-02-10,,,80.67,
Europe,FRO,Faeroe Islands,2021,2,3,2021-02-11,,,80.67,
Europe,FRO,Faeroe Islands,2021,2,4,2021-02-12,,,80.67,
Europe,FRO,Faeroe Islands,2021,2,5,2021-02-13,,,80.67,
Europe,FRO,Faeroe Islands,2021,2,6,2021-02-14,,,80.67,
Europe,FRO,Faeroe Islands,2021,2,0,2021-02-15,,,80.67,
Europe,FRO,Faeroe Islands,2021,2,1,2021-02-16,,,80.67,
Europe,FRO,Faeroe Islands,2021,2,2,2021-02-17,,,80.67,
Europe,FRO,Faeroe Islands,2021,2,3,2021-02-18,,,80.67,
Europe,FRO,Faeroe Islands,2021,2,4,2021-02-19,,,80.67,
Europe,FRO,Faeroe Islands,2021,2,5,2021-02-20,,,80.67,
Europe,FRO,Faeroe Islands,2021,2,6,2021-02-21,,,80.67,
Europe,FRO,Faeroe Islands,2021,2,0,2021-02-22,,,80.67,
Europe,FRO,Faeroe Islands,2021,2,1,2021-02-23,,,80.67,
