continent,iso_code,location,year,month,weekday,date,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index
Asia,HKG,Hong Kong,2020,1,4,2020-01-31,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,2,5,2020-02-29,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,3,1,2020-03-31,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,4,3,2020-04-30,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,5,6,2020-05-31,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,6,1,2020-06-30,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,7,4,2020-07-31,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,8,0,2020-08-31,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,1,2020-09-01,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,2,2020-09-02,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,3,2020-09-03,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,4,2020-09-04,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,5,2020-09-05,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,6,2020-09-06,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,0,2020-09-07,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,1,2020-09-08,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,2,2020-09-09,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,3,2020-09-10,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,4,2020-09-11,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,5,2020-09-12,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,6,2020-09-13,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,0,2020-09-14,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,1,2020-09-15,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,2,2020-09-16,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,3,2020-09-17,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,4,2020-09-18,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,5,2020-09-19,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,6,2020-09-20,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,0,2020-09-21,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,1,2020-09-22,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,2,2020-09-23,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,3,2020-09-24,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,4,2020-09-25,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,5,2020-09-26,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,6,2020-09-27,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,0,2020-09-28,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,1,2020-09-29,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,9,2,2020-09-30,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,3,2020-10-01,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,4,2020-10-02,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,5,2020-10-03,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,6,2020-10-04,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,0,2020-10-05,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,1,2020-10-06,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,2,2020-10-07,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,3,2020-10-08,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,4,2020-10-09,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,5,2020-10-10,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,6,2020-10-11,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,0,2020-10-12,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,1,2020-10-13,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,2,2020-10-14,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,3,2020-10-15,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,4,2020-10-16,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,5,2020-10-17,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,6,2020-10-18,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,0,2020-10-19,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,1,2020-10-20,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,2,2020-10-21,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,3,2020-10-22,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,4,2020-10-23,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,5,2020-10-24,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,6,2020-10-25,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,0,2020-10-26,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,1,2020-10-27,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,2,2020-10-28,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,3,2020-10-29,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,4,2020-10-30,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,10,5,2020-10-31,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,11,0,2020-11-30,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2020,12,3,2020-12-31,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2021,1,6,2021-01-31,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2021,2,0,2021-02-01,56054.92,,84.86,0.949
Asia,HKG,Hong Kong,2021,2,1,2021-02-02,56054.92,,84.86,0.949
