continent,iso_code,location,year,month,weekday,date,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index
Europe,IMN,Isle of Man,2021,1,3,2021-01-21,,,81.4,
Europe,IMN,Isle of Man,2021,1,4,2021-01-22,,,81.4,
Europe,IMN,Isle of Man,2021,1,5,2021-01-23,,,81.4,
Europe,IMN,Isle of Man,2021,1,6,2021-01-24,,,81.4,
Europe,IMN,Isle of Man,2021,1,0,2021-01-25,,,81.4,
Europe,IMN,Isle of Man,2021,1,1,2021-01-26,,,81.4,
Europe,IMN,Isle of Man,2021,1,2,2021-01-27,,,81.4,
Europe,IMN,Isle of Man,2021,1,3,2021-01-28,,,81.4,
Europe,IMN,Isle of Man,2021,1,4,2021-01-29,,,81.4,
Europe,IMN,Isle of Man,2021,1,5,2021-01-30,,,81.4,
Europe,IMN,Isle of Man,2021,1,6,2021-01-31,,,81.4,
Europe,IMN,Isle of Man,2021,2,0,2021-02-01,,,81.4,
Europe,IMN,Isle of Man,2021,2,1,2021-02-02,,,81.4,
Europe,IMN,Isle of Man,2021,2,2,2021-02-03,,,81.4,
Europe,IMN,Isle of Man,2021,2,3,2021-02-04,,,81.4,
Europe,IMN,Isle of Man,2021,2,4,2021-02-05,,,81.4,
Europe,IMN,Isle of Man,2021,2,5,2021-02-06,,,81.4,
Europe,IMN,Isle of Man,2021,2,6,2021-02-07,,,81.4,
Europe,IMN,Isle of Man,2021,2,0,2021-02-08,,,81.4,
Europe,IMN,Isle of Man,2021,2,1,2021-02-09,,,81.4,
Europe,IMN,Isle of Man,2021,2,2,2021-02-10,,,81.4,
Europe,IMN,Isle of Man,2021,2,3,2021-02-11,,,81.4,
Europe,IMN,Isle of Man,2021,2,4,2021-02-12,,,81.4,
Europe,IMN,Isle of Man,2021,2,5,2021-02-13,,,81.4,
Europe,IMN,Isle of Man,2021,2,6,2021-02-14,,,81.4,
Europe,IMN,Isle of Man,2021,2,0,2021-02-15,,,81.4,
Europe,IMN,Isle of Man,2021,2,1,2021-02-16,,,81.4,
Europe,IMN,Isle of Man,2021,2,2,2021-02-17,,,81.4,
Europe,IMN,Isle of Man,2021,2,3,2021-02-18,,,81.4,
Europe,IMN,Isle of Man,2021,2,4,2021-02-19,,,81.4,
Europe,IMN,Isle of Man,2021,2,5,2021-02-20,,,81.4,
Europe,IMN,Isle of Man,2021,2,6,2021-02-21,,,81.4,
Europe,IMN,Isle of Man,2021,2,0,2021-02-22,,,81.4,
Europe,IMN,Isle of Man,2021,2,1,2021-02-23,,,81.4,
