continent,iso_code,location,year,month,weekday,date,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index
Asia,KHM,Cambodia,2020,1,0,2020-01-27,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,1,1,2020-01-28,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,1,2,2020-01-29,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,1,3,2020-01-30,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,1,4,2020-01-31,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,2,5,2020-02-01,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,2,6,2020-02-02,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,2,0,2020-02-03,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,2,1,2020-02-04,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,2,2,2020-02-05,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,2,3,2020-02-06,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,2,4,2020-02-07,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,2,5,2020-02-08,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,2,6,2020-02-09,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,2,0,2020-02-10,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,2,1,2020-02-11,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,2,2,2020-02-12,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,2,3,2020-02-13,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,2,4,2020-02-14,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,2,5,2020-02-15,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,2,6,2020-02-16,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,2,0,2020-02-17,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,2,1,2020-02-18,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,2,2,2020-02-19,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,2,3,2020-02-20,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,2,4,2020-02-21,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,2,5,2020-02-22,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,2,6,2020-02-23,3645.07,,69.82,0.594
Asia,KHM,Cambodia,2020,2,0,2020-02-24,3645.07,,69.82,0.594
