continent,iso_code,location,year,month,weekday,date,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index
Asia,KOR,South Korea,2020,1,1,2020-01-21,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,1,2,2020-01-22,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,1,3,2020-01-23,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,1,4,2020-01-24,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,1,5,2020-01-25,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,1,6,2020-01-26,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,1,0,2020-01-27,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,1,1,2020-01-28,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,1,2,2020-01-29,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,1,3,2020-01-30,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,1,4,2020-01-31,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,5,2020-02-01,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,6,2020-02-02,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,0,2020-02-03,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,1,2020-02-04,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,2,2020-02-05,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,3,2020-02-06,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,4,2020-02-07,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,5,2020-02-08,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,6,2020-02-09,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,0,2020-02-10,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,1,2020-02-11,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,2,2020-02-12,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,3,2020-02-13,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,4,2020-02-14,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,5,2020-02-15,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,6,2020-02-16,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,0,2020-02-17,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,1,2020-02-18,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,2,2020-02-19,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,3,2020-02-20,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,4,2020-02-21,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,5,2020-02-22,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,6,2020-02-23,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,0,2020-02-24,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,1,2020-02-25,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,2,2020-02-26,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,3,2020-02-27,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,4,2020-02-28,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,2,5,2020-02-29,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,3,6,2020-03-01,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,3,0,2020-03-02,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,3,1,2020-03-03,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,3,2,2020-03-04,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,3,3,2020-03-05,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,3,4,2020-03-06,35938.374,0.2,83.03,0.916
Asia,KOR,South Korea,2020,3,5,2020-03-07,35938.374,0.2,83.03,0.916
