continent,iso_code,location,year,month,weekday,date,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index
Europe,LTU,Lithuania,2020,2,6,2020-02-23,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,2,5,2020-02-29,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,6,2020-03-01,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,0,2020-03-02,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,1,2020-03-03,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,2,2020-03-04,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,3,2020-03-05,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,4,2020-03-06,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,5,2020-03-07,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,6,2020-03-08,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,0,2020-03-09,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,1,2020-03-10,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,2,2020-03-11,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,3,2020-03-12,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,4,2020-03-13,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,5,2020-03-14,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,6,2020-03-15,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,0,2020-03-16,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,1,2020-03-17,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,2,2020-03-18,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,3,2020-03-19,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,4,2020-03-20,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,5,2020-03-21,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,6,2020-03-22,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,0,2020-03-23,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,1,2020-03-24,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,2,2020-03-25,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,3,2020-03-26,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,4,2020-03-27,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,5,2020-03-28,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,6,2020-03-29,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,0,2020-03-30,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,3,1,2020-03-31,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,4,2,2020-04-01,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,4,3,2020-04-02,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,4,4,2020-04-03,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,4,5,2020-04-04,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,4,6,2020-04-05,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,4,0,2020-04-06,29524.265,0.7,75.93,0.882
Europe,LTU,Lithuania,2020,4,1,2020-04-07,29524.265,0.7,75.93,0.882
