continent,iso_code,location,year,month,weekday,date,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index
Europe,LUX,Luxembourg,2020,2,0,2020-02-24,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,2,1,2020-02-25,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,2,2,2020-02-26,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,2,3,2020-02-27,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,2,4,2020-02-28,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,2,5,2020-02-29,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,6,2020-03-01,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,0,2020-03-02,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,1,2020-03-03,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,2,2020-03-04,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,3,2020-03-05,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,4,2020-03-06,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,5,2020-03-07,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,6,2020-03-08,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,0,2020-03-09,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,1,2020-03-10,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,2,2020-03-11,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,3,2020-03-12,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,4,2020-03-13,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,5,2020-03-14,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,6,2020-03-15,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,0,2020-03-16,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,1,2020-03-17,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,2,2020-03-18,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,3,2020-03-19,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,4,2020-03-20,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,5,2020-03-21,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,6,2020-03-22,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,0,2020-03-23,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,1,2020-03-24,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,2,2020-03-25,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,3,2020-03-26,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,4,2020-03-27,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,5,2020-03-28,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,6,2020-03-29,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,0,2020-03-30,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,3,1,2020-03-31,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,4,2,2020-04-01,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,4,3,2020-04-02,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,4,4,2020-04-03,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,4,5,2020-04-04,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,4,6,2020-04-05,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,4,0,2020-04-06,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,4,1,2020-04-07,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,4,2,2020-04-08,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,4,3,2020-04-09,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,4,4,2020-04-10,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,4,5,2020-04-11,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,4,6,2020-04-12,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,4,0,2020-04-13,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,4,1,2020-04-14,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,4,2,2020-04-15,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,4,3,2020-04-16,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,4,4,2020-04-17,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,4,5,2020-04-18,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,4,6,2020-04-19,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,4,0,2020-04-20,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,4,1,2020-04-21,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,4,2,2020-04-22,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,4,3,2020-04-23,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,4,4,2020-04-24,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,4,5,2020-04-25,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,4,6,2020-04-26,94277.965,0.2,82.25,0.916
Europe,LUX,Luxembourg,2020,4,0,2020-04-27,94277.965,0.2,82.25,0.916
