continent,iso_code,location,year,month,weekday,date,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index
Asia,MAC,Macao,2021,2,0,2021-02-08,104861.851,,84.24,
Asia,MAC,Macao,2021,2,1,2021-02-09,104861.851,,84.24,
Asia,MAC,Macao,2021,2,2,2021-02-10,104861.851,,84.24,
Asia,MAC,Macao,2021,2,3,2021-02-11,104861.851,,84.24,
Asia,MAC,Macao,2021,2,4,2021-02-12,104861.851,,84.24,
Asia,MAC,Macao,2021,2,5,2021-02-13,104861.851,,84.24,
Asia,MAC,Macao,2021,2,6,2021-02-14,104861.851,,84.24,
Asia,MAC,Macao,2021,2,0,2021-02-15,104861.851,,84.24,
Asia,MAC,Macao,2021,2,1,2021-02-16,104861.851,,84.24,
Asia,MAC,Macao,2021,2,2,2021-02-17,104861.851,,84.24,
Asia,MAC,Macao,2021,2,3,2021-02-18,104861.851,,84.24,
