continent,iso_code,location,year,month,weekday,date,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index
Oceania,MHL,Marshall Islands,2020,10,2,2020-10-28,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,10,3,2020-10-29,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,10,4,2020-10-30,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,10,5,2020-10-31,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,11,6,2020-11-01,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,11,0,2020-11-02,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,11,1,2020-11-03,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,11,2,2020-11-04,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,11,3,2020-11-05,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,11,4,2020-11-06,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,11,5,2020-11-07,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,11,6,2020-11-08,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,11,0,2020-11-09,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,11,1,2020-11-10,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,11,2,2020-11-11,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,11,3,2020-11-12,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,11,4,2020-11-13,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,11,5,2020-11-14,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,11,6,2020-11-15,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,11,0,2020-11-16,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,11,1,2020-11-17,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,11,2,2020-11-18,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,11,3,2020-11-19,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,11,4,2020-11-20,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,11,5,2020-11-21,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,11,6,2020-11-22,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,11,0,2020-11-23,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,11,1,2020-11-24,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,11,2,2020-11-25,3819.202,,73.7,0.704
Oceania,MHL,Marshall Islands,2020,11,3,2020-11-26,3819.202,,73.7,0.704
