continent,iso_code,location,year,month,weekday,date,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index
,OWID_INT,International,2020,2,4,2020-02-07,,,,
,OWID_INT,International,2020,2,5,2020-02-08,,,,
,OWID_INT,International,2020,2,6,2020-02-09,,,,
,OWID_INT,International,2020,2,0,2020-02-10,,,,
,OWID_INT,International,2020,2,1,2020-02-11,,,,
,OWID_INT,International,2020,2,2,2020-02-12,,,,
,OWID_INT,International,2020,2,3,2020-02-13,,,,
,OWID_INT,International,2020,2,4,2020-02-14,,,,
,OWID_INT,International,2020,2,5,2020-02-15,,,,
,OWID_INT,International,2020,2,6,2020-02-16,,,,
,OWID_INT,International,2020,2,0,2020-02-17,,,,
,OWID_INT,International,2020,2,1,2020-02-18,,,,
,OWID_INT,International,2020,2,2,2020-02-19,,,,
,OWID_INT,International,2020,2,3,2020-02-20,,,,
,OWID_INT,International,2020,2,4,2020-02-21,,,,
,OWID_INT,International,2020,2,5,2020-02-22,,,,
,OWID_INT,International,2020,2,6,2020-02-23,,,,
,OWID_INT,International,2020,2,0,2020-02-24,,,,
,OWID_INT,International,2020,2,1,2020-02-25,,,,
,OWID_INT,International,2020,2,2,2020-02-26,,,,
,OWID_INT,International,2020,2,3,2020-02-27,,,,
,OWID_INT,International,2020,2,4,2020-02-28,,,,
,OWID_INT,International,2020,2,5,2020-02-29,,,,
,OWID_INT,International,2020,3,6,2020-03-01,,,,
,OWID_INT,International,2020,3,0,2020-03-02,,,,
,OWID_INT,International,2020,3,1,2020-03-03,,,,
,OWID_INT,International,2020,3,2,2020-03-04,,,,
,OWID_INT,International,2020,3,3,2020-03-05,,,,
,OWID_INT,International,2020,3,4,2020-03-06,,,,
,OWID_INT,International,2020,3,5,2020-03-07,,,,
,OWID_INT,International,2020,3,6,2020-03-08,,,,
,OWID_INT,International,2020,3,0,2020-03-09,,,,
,OWID_INT,International,2020,3,1,2020-03-10,,,,
,OWID_INT,International,2020,3,2,2020-03-11,,,,
,OWID_INT,International,2020,3,3,2020-03-12,,,,
,OWID_INT,International,2020,3,4,2020-03-13,,,,
,OWID_INT,International,2020,3,5,2020-03-14,,,,
,OWID_INT,International,2020,3,6,2020-03-15,,,,
,OWID_INT,International,2020,3,0,2020-03-16,,,,
,OWID_INT,International,2020,3,1,2020-03-17,,,,
,OWID_INT,International,2020,3,2,2020-03-18,,,,
,OWID_INT,International,2020,3,3,2020-03-19,,,,
,OWID_INT,International,2020,3,4,2020-03-20,,,,
,OWID_INT,International,2020,3,5,2020-03-21,,,,
,OWID_INT,International,2020,3,6,2020-03-22,,,,
,OWID_INT,International,2020,3,0,2020-03-23,,,,
,OWID_INT,International,2020,3,1,2020-03-24,,,,
,OWID_INT,International,2020,3,2,2020-03-25,,,,
,OWID_INT,International,2020,3,3,2020-03-26,,,,
,OWID_INT,International,2020,3,4,2020-03-27,,,,
,OWID_INT,International,2020,3,5,2020-03-28,,,,
,OWID_INT,International,2020,3,6,2020-03-29,,,,
,OWID_INT,International,2020,3,0,2020-03-30,,,,
,OWID_INT,International,2020,3,1,2020-03-31,,,,
,OWID_INT,International,2020,4,2,2020-04-01,,,,
,OWID_INT,International,2020,4,3,2020-04-02,,,,
,OWID_INT,International,2020,4,4,2020-04-03,,,,
,OWID_INT,International,2020,4,5,2020-04-04,,,,
,OWID_INT,International,2020,4,6,2020-04-05,,,,
,OWID_INT,International,2020,4,0,2020-04-06,,,,
,OWID_INT,International,2020,4,1,2020-04-07,,,,
,OWID_INT,International,2020,4,2,2020-04-08,,,,
,OWID_INT,International,2020,4,3,2020-04-09,,,,
,OWID_INT,International,2020,4,4,2020-04-10,,,,
,OWID_INT,International,2020,4,5,2020-04-11,,,,
,OWID_INT,International,2020,4,6,2020-04-12,,,,
,OWID_INT,International,2020,4,0,2020-04-13,,,,
,OWID_INT,International,2020,4,1,2020-04-14,,,,
,OWID_INT,International,2020,4,2,2020-04-15,,,,
,OWID_INT,International,2020,4,3,2020-04-16,,,,
,OWID_INT,International,2020,4,4,2020-04-17,,,,
,OWID_INT,International,2020,4,5,2020-04-18,,,,
,OWID_INT,International,2020,4,6,2020-04-19,,,,
,OWID_INT,International,2020,4,0,2020-04-20,,,,
,OWID_INT,International,2020,4,1,2020-04-21,,,,
,OWID_INT,International,2020,4,2,2020-04-22,,,,
,OWID_INT,International,2020,4,3,2020-04-23,,,,
,OWID_INT,International,2020,4,4,2020-04-24,,,,
,OWID_INT,International,2020,4,5,2020-04-25,,,,
,OWID_INT,International,2020,4,6,2020-04-26,,,,
,OWID_INT,International,2020,4,0,2020-04-27,,,,
,OWID_INT,International,2020,4,1,2020-04-28,,,,
,OWID_INT,International,2020,4,2,2020-04-29,,,,
,OWID_INT,International,2020,4,3,2020-04-30,,,,
,OWID_INT,International,2020,5,4,2020-05-01,,,,
,OWID_INT,International,2020,5,5,2020-05-02,,,,
,OWID_INT,International,2020,5,6,2020-05-03,,,,
,OWID_INT,International,2020,5,0,2020-05-04,,,,
,OWID_INT,International,2020,5,1,2020-05-05,,,,
,OWID_INT,International,2020,5,2,2020-05-06,,,,
,OWID_INT,International,2020,5,3,2020-05-07,,,,
,OWID_INT,International,2020,5,4,2020-05-08,,,,
,OWID_INT,International,2020,5,5,2020-05-09,,,,
,OWID_INT,International,2020,5,6,2020-05-10,,,,
,OWID_INT,International,2020,5,0,2020-05-11,,,,
,OWID_INT,International,2020,5,1,2020-05-12,,,,
,OWID_INT,International,2020,5,2,2020-05-13,,,,
,OWID_INT,International,2020,5,3,2020-05-14,,,,
,OWID_INT,International,2020,5,4,2020-05-15,,,,
,OWID_INT,International,2020,5,5,2020-05-16,,,,
,OWID_INT,International,2020,5,6,2020-05-17,,,,
,OWID_INT,International,2020,5,0,2020-05-18,,,,
,OWID_INT,International,2020,5,1,2020-05-19,,,,
