continent,iso_code,location,year,month,weekday,date,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index
Asia,SGP,Singapore,2020,1,3,2020-01-23,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,1,4,2020-01-24,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,1,5,2020-01-25,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,1,6,2020-01-26,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,1,0,2020-01-27,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,1,1,2020-01-28,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,1,2,2020-01-29,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,1,3,2020-01-30,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,1,4,2020-01-31,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,5,2020-02-01,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,6,2020-02-02,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,0,2020-02-03,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,1,2020-02-04,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,2,2020-02-05,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,3,2020-02-06,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,4,2020-02-07,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,5,2020-02-08,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,6,2020-02-09,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,0,2020-02-10,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,1,2020-02-11,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,2,2020-02-12,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,3,2020-02-13,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,4,2020-02-14,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,5,2020-02-15,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,6,2020-02-16,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,0,2020-02-17,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,1,2020-02-18,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,2,2020-02-19,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,3,2020-02-20,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,4,2020-02-21,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,5,2020-02-22,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,6,2020-02-23,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,0,2020-02-24,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,1,2020-02-25,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,2,2020-02-26,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,3,2020-02-27,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,4,2020-02-28,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,2,5,2020-02-29,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,3,6,2020-03-01,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,3,0,2020-03-02,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,3,1,2020-03-03,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,3,2,2020-03-04,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,3,3,2020-03-05,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,3,4,2020-03-06,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,3,5,2020-03-07,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,3,6,2020-03-08,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,3,0,2020-03-09,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,3,1,2020-03-10,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,3,2,2020-03-11,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,3,3,2020-03-12,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,3,4,2020-03-13,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,3,5,2020-03-14,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,3,6,2020-03-15,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,3,0,2020-03-16,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,3,1,2020-03-17,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,3,2,2020-03-18,85535.383,,83.62,0.938
Asia,SGP,Singapore,2020,3,3,2020-03-19,85535.383,,83.62,0.938
