continent,iso_code,location,year,month,weekday,date,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index
Oceania,WSM,Samoa,2020,11,2,2020-11-18,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,11,3,2020-11-19,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,11,4,2020-11-20,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,11,5,2020-11-21,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,11,6,2020-11-22,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,11,0,2020-11-23,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,11,1,2020-11-24,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,11,2,2020-11-25,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,11,3,2020-11-26,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,11,4,2020-11-27,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,11,5,2020-11-28,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,11,6,2020-11-29,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,11,0,2020-11-30,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,1,2020-12-01,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,2,2020-12-02,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,3,2020-12-03,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,4,2020-12-04,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,5,2020-12-05,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,6,2020-12-06,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,0,2020-12-07,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,1,2020-12-08,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,2,2020-12-09,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,3,2020-12-10,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,4,2020-12-11,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,5,2020-12-12,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,6,2020-12-13,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,0,2020-12-14,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,1,2020-12-15,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,2,2020-12-16,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,3,2020-12-17,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,4,2020-12-18,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,5,2020-12-19,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,6,2020-12-20,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,0,2020-12-21,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,1,2020-12-22,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,2,2020-12-23,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,3,2020-12-24,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,4,2020-12-25,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,5,2020-12-26,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,6,2020-12-27,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,0,2020-12-28,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,1,2020-12-29,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,2,2020-12-30,6021.557,,73.32,0.715
Oceania,WSM,Samoa,2020,12,3,2020-12-31,6021.557,,73.32,0.715
