continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
North America,AIA,Anguilla,2021,2,3,2021-02-04,15002.0,,,,
North America,AIA,Anguilla,2021,2,4,2021-02-05,15002.0,,,,
North America,AIA,Anguilla,2021,2,5,2021-02-06,15002.0,,,,
North America,AIA,Anguilla,2021,2,6,2021-02-07,15002.0,,,,
North America,AIA,Anguilla,2021,2,0,2021-02-08,15002.0,,,,
North America,AIA,Anguilla,2021,2,1,2021-02-09,15002.0,,,,
North America,AIA,Anguilla,2021,2,2,2021-02-10,15002.0,,,,
North America,AIA,Anguilla,2021,2,3,2021-02-11,15002.0,,,,
North America,AIA,Anguilla,2021,2,4,2021-02-12,15002.0,,,,
North America,AIA,Anguilla,2021,2,5,2021-02-13,15002.0,,,,
North America,AIA,Anguilla,2021,2,6,2021-02-14,15002.0,,,,
