continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
Europe,AND,Andorra,2020,3,0,2020-03-02,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,1,2020-03-03,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,2,2020-03-04,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,3,2020-03-05,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,4,2020-03-06,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,5,2020-03-07,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,6,2020-03-08,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,0,2020-03-09,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,1,2020-03-10,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,2,2020-03-11,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,3,2020-03-12,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,4,2020-03-13,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,5,2020-03-14,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,6,2020-03-15,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,0,2020-03-16,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,1,2020-03-17,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,2,2020-03-18,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,3,2020-03-19,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,4,2020-03-20,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,5,2020-03-21,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,6,2020-03-22,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,0,2020-03-23,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,1,2020-03-24,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,2,2020-03-25,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,3,2020-03-26,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,4,2020-03-27,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,5,2020-03-28,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,6,2020-03-29,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,0,2020-03-30,77265.0,163.755,,,
Europe,AND,Andorra,2020,3,1,2020-03-31,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,2,2020-04-01,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,3,2020-04-02,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,4,2020-04-03,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,5,2020-04-04,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,6,2020-04-05,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,0,2020-04-06,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,1,2020-04-07,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,2,2020-04-08,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,3,2020-04-09,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,4,2020-04-10,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,5,2020-04-11,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,6,2020-04-12,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,0,2020-04-13,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,1,2020-04-14,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,2,2020-04-15,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,3,2020-04-16,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,4,2020-04-17,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,5,2020-04-18,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,6,2020-04-19,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,0,2020-04-20,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,1,2020-04-21,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,2,2020-04-22,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,3,2020-04-23,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,4,2020-04-24,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,5,2020-04-25,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,6,2020-04-26,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,0,2020-04-27,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,1,2020-04-28,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,2,2020-04-29,77265.0,163.755,,,
Europe,AND,Andorra,2020,4,3,2020-04-30,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,4,2020-05-01,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,5,2020-05-02,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,6,2020-05-03,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,0,2020-05-04,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,1,2020-05-05,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,2,2020-05-06,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,3,2020-05-07,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,4,2020-05-08,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,5,2020-05-09,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,6,2020-05-10,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,0,2020-05-11,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,1,2020-05-12,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,2,2020-05-13,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,3,2020-05-14,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,4,2020-05-15,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,5,2020-05-16,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,6,2020-05-17,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,0,2020-05-18,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,1,2020-05-19,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,2,2020-05-20,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,3,2020-05-21,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,4,2020-05-22,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,5,2020-05-23,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,6,2020-05-24,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,0,2020-05-25,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,1,2020-05-26,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,2,2020-05-27,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,3,2020-05-28,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,4,2020-05-29,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,5,2020-05-30,77265.0,163.755,,,
Europe,AND,Andorra,2020,5,6,2020-05-31,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,0,2020-06-01,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,1,2020-06-02,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,2,2020-06-03,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,3,2020-06-04,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,4,2020-06-05,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,5,2020-06-06,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,6,2020-06-07,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,0,2020-06-08,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,1,2020-06-09,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,2,2020-06-10,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,3,2020-06-11,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,4,2020-06-12,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,5,2020-06-13,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,6,2020-06-14,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,0,2020-06-15,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,1,2020-06-16,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,2,2020-06-17,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,3,2020-06-18,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,4,2020-06-19,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,5,2020-06-20,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,6,2020-06-21,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,0,2020-06-22,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,1,2020-06-23,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,2,2020-06-24,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,3,2020-06-25,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,4,2020-06-26,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,5,2020-06-27,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,6,2020-06-28,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,0,2020-06-29,77265.0,163.755,,,
Europe,AND,Andorra,2020,6,1,2020-06-30,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,2,2020-07-01,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,3,2020-07-02,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,4,2020-07-03,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,5,2020-07-04,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,6,2020-07-05,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,0,2020-07-06,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,1,2020-07-07,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,2,2020-07-08,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,3,2020-07-09,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,4,2020-07-10,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,5,2020-07-11,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,6,2020-07-12,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,0,2020-07-13,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,1,2020-07-14,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,2,2020-07-15,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,3,2020-07-16,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,4,2020-07-17,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,5,2020-07-18,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,6,2020-07-19,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,0,2020-07-20,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,1,2020-07-21,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,2,2020-07-22,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,3,2020-07-23,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,4,2020-07-24,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,5,2020-07-25,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,6,2020-07-26,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,0,2020-07-27,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,1,2020-07-28,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,2,2020-07-29,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,3,2020-07-30,77265.0,163.755,,,
Europe,AND,Andorra,2020,7,4,2020-07-31,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,5,2020-08-01,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,6,2020-08-02,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,0,2020-08-03,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,1,2020-08-04,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,2,2020-08-05,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,3,2020-08-06,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,4,2020-08-07,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,5,2020-08-08,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,6,2020-08-09,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,0,2020-08-10,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,1,2020-08-11,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,2,2020-08-12,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,3,2020-08-13,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,4,2020-08-14,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,5,2020-08-15,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,6,2020-08-16,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,0,2020-08-17,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,1,2020-08-18,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,2,2020-08-19,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,3,2020-08-20,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,4,2020-08-21,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,5,2020-08-22,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,6,2020-08-23,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,0,2020-08-24,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,1,2020-08-25,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,2,2020-08-26,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,3,2020-08-27,77265.0,163.755,,,
Europe,AND,Andorra,2020,8,4,2020-08-28,77265.0,163.755,,,
