continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
North America,ATG,Antigua and Barbuda,2020,3,4,2020-03-13,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,3,5,2020-03-14,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,3,6,2020-03-15,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,3,0,2020-03-16,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,3,1,2020-03-17,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,3,2,2020-03-18,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,3,3,2020-03-19,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,3,4,2020-03-20,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,3,5,2020-03-21,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,3,6,2020-03-22,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,3,0,2020-03-23,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,3,1,2020-03-24,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,3,2,2020-03-25,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,3,3,2020-03-26,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,3,4,2020-03-27,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,3,5,2020-03-28,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,3,6,2020-03-29,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,3,0,2020-03-30,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,3,1,2020-03-31,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,2,2020-04-01,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,3,2020-04-02,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,4,2020-04-03,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,5,2020-04-04,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,6,2020-04-05,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,0,2020-04-06,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,1,2020-04-07,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,2,2020-04-08,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,3,2020-04-09,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,4,2020-04-10,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,5,2020-04-11,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,6,2020-04-12,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,0,2020-04-13,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,1,2020-04-14,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,2,2020-04-15,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,3,2020-04-16,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,4,2020-04-17,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,5,2020-04-18,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,6,2020-04-19,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,0,2020-04-20,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,1,2020-04-21,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,2,2020-04-22,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,3,2020-04-23,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,4,2020-04-24,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,5,2020-04-25,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,6,2020-04-26,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,0,2020-04-27,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,1,2020-04-28,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,2,2020-04-29,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,4,3,2020-04-30,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,5,4,2020-05-01,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,5,5,2020-05-02,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,5,6,2020-05-03,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,5,0,2020-05-04,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,5,1,2020-05-05,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,5,2,2020-05-06,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,5,3,2020-05-07,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,5,4,2020-05-08,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,5,5,2020-05-09,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,5,6,2020-05-10,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,5,0,2020-05-11,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,5,1,2020-05-12,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,5,2,2020-05-13,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,5,3,2020-05-14,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,5,4,2020-05-15,97928.0,231.845,32.1,6.933,4.631
North America,ATG,Antigua and Barbuda,2020,5,5,2020-05-16,97928.0,231.845,32.1,6.933,4.631
