continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
Africa,BFA,Burkina Faso,2020,3,1,2020-03-10,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,3,2,2020-03-11,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,3,3,2020-03-12,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,3,4,2020-03-13,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,3,5,2020-03-14,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,3,6,2020-03-15,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,3,0,2020-03-16,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,3,1,2020-03-17,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,3,2,2020-03-18,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,3,3,2020-03-19,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,3,4,2020-03-20,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,3,5,2020-03-21,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,3,6,2020-03-22,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,3,0,2020-03-23,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,3,1,2020-03-24,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,3,2,2020-03-25,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,3,3,2020-03-26,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,3,4,2020-03-27,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,3,5,2020-03-28,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,3,6,2020-03-29,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,3,0,2020-03-30,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,3,1,2020-03-31,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,2,2020-04-01,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,3,2020-04-02,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,4,2020-04-03,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,5,2020-04-04,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,6,2020-04-05,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,0,2020-04-06,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,1,2020-04-07,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,2,2020-04-08,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,3,2020-04-09,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,4,2020-04-10,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,5,2020-04-11,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,6,2020-04-12,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,0,2020-04-13,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,1,2020-04-14,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,2,2020-04-15,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,3,2020-04-16,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,4,2020-04-17,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,5,2020-04-18,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,6,2020-04-19,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,0,2020-04-20,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,1,2020-04-21,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,2,2020-04-22,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,3,2020-04-23,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,4,2020-04-24,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,5,2020-04-25,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,6,2020-04-26,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,0,2020-04-27,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,1,2020-04-28,20903278.0,70.151,17.6,2.409,1.358
Africa,BFA,Burkina Faso,2020,4,2,2020-04-29,20903278.0,70.151,17.6,2.409,1.358
