continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
North America,BLZ,Belize,2020,3,0,2020-03-23,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,3,1,2020-03-24,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,3,2,2020-03-25,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,3,3,2020-03-26,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,3,4,2020-03-27,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,3,5,2020-03-28,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,3,6,2020-03-29,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,3,0,2020-03-30,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,3,1,2020-03-31,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,2,2020-04-01,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,3,2020-04-02,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,4,2020-04-03,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,5,2020-04-04,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,6,2020-04-05,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,0,2020-04-06,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,1,2020-04-07,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,2,2020-04-08,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,3,2020-04-09,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,4,2020-04-10,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,5,2020-04-11,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,6,2020-04-12,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,0,2020-04-13,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,1,2020-04-14,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,2,2020-04-15,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,3,2020-04-16,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,4,2020-04-17,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,5,2020-04-18,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,6,2020-04-19,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,0,2020-04-20,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,1,2020-04-21,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,2,2020-04-22,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,3,2020-04-23,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,4,2020-04-24,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,5,2020-04-25,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,6,2020-04-26,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,0,2020-04-27,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,1,2020-04-28,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,2,2020-04-29,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,4,3,2020-04-30,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,4,2020-05-01,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,5,2020-05-02,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,6,2020-05-03,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,0,2020-05-04,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,1,2020-05-05,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,2,2020-05-06,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,3,2020-05-07,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,4,2020-05-08,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,5,2020-05-09,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,6,2020-05-10,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,0,2020-05-11,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,1,2020-05-12,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,2,2020-05-13,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,3,2020-05-14,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,4,2020-05-15,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,5,2020-05-16,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,6,2020-05-17,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,0,2020-05-18,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,1,2020-05-19,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,2,2020-05-20,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,3,2020-05-21,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,4,2020-05-22,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,5,2020-05-23,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,6,2020-05-24,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,0,2020-05-25,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,1,2020-05-26,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,2,2020-05-27,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,3,2020-05-28,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,4,2020-05-29,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,5,2020-05-30,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,5,6,2020-05-31,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,0,2020-06-01,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,1,2020-06-02,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,2,2020-06-03,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,3,2020-06-04,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,4,2020-06-05,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,5,2020-06-06,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,6,2020-06-07,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,0,2020-06-08,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,1,2020-06-09,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,2,2020-06-10,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,3,2020-06-11,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,4,2020-06-12,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,5,2020-06-13,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,6,2020-06-14,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,0,2020-06-15,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,1,2020-06-16,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,2,2020-06-17,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,3,2020-06-18,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,4,2020-06-19,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,5,2020-06-20,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,6,2020-06-21,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,0,2020-06-22,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,1,2020-06-23,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,2,2020-06-24,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,3,2020-06-25,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,4,2020-06-26,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,5,2020-06-27,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,6,2020-06-28,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,0,2020-06-29,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,6,1,2020-06-30,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,7,2,2020-07-01,397621.0,16.426,25.0,3.853,2.279
North America,BLZ,Belize,2020,7,3,2020-07-02,397621.0,16.426,25.0,3.853,2.279
