continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
North America,BMU,Bermuda,2021,1,6,2021-01-10,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,1,0,2021-01-11,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,1,1,2021-01-12,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,1,2,2021-01-13,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,1,3,2021-01-14,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,1,4,2021-01-15,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,1,5,2021-01-16,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,1,6,2021-01-17,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,1,0,2021-01-18,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,1,1,2021-01-19,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,1,2,2021-01-20,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,1,3,2021-01-21,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,1,4,2021-01-22,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,1,5,2021-01-23,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,1,6,2021-01-24,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,1,0,2021-01-25,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,1,1,2021-01-26,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,1,2,2021-01-27,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,1,3,2021-01-28,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,1,4,2021-01-29,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,1,5,2021-01-30,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,1,6,2021-01-31,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,2,0,2021-02-01,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,2,1,2021-02-02,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,2,2,2021-02-03,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,2,3,2021-02-04,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,2,4,2021-02-05,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,2,5,2021-02-06,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,2,6,2021-02-07,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,2,0,2021-02-08,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,2,1,2021-02-09,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,2,2,2021-02-10,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,2,3,2021-02-11,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,2,4,2021-02-12,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,2,5,2021-02-13,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,2,6,2021-02-14,62273.0,1308.82,,,
North America,BMU,Bermuda,2021,2,0,2021-02-15,62273.0,1308.82,,,
