continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
North America,BRB,Barbados,2020,3,1,2020-03-17,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,3,2,2020-03-18,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,3,3,2020-03-19,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,3,4,2020-03-20,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,3,5,2020-03-21,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,3,6,2020-03-22,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,3,0,2020-03-23,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,3,1,2020-03-24,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,3,2,2020-03-25,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,3,3,2020-03-26,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,3,4,2020-03-27,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,3,5,2020-03-28,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,3,6,2020-03-29,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,3,0,2020-03-30,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,3,1,2020-03-31,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,4,2,2020-04-01,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,4,3,2020-04-02,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,4,4,2020-04-03,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,4,5,2020-04-04,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,4,6,2020-04-05,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,4,0,2020-04-06,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,4,1,2020-04-07,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,4,2,2020-04-08,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,4,3,2020-04-09,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,4,4,2020-04-10,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,4,5,2020-04-11,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,4,6,2020-04-12,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,4,0,2020-04-13,287371.0,664.463,39.8,14.952,9.473
North America,BRB,Barbados,2020,4,1,2020-04-14,287371.0,664.463,39.8,14.952,9.473
