continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
Africa,COD,Democratic Republic of Congo,2020,3,2,2020-03-11,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,3,3,2020-03-12,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,3,4,2020-03-13,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,3,5,2020-03-14,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,3,6,2020-03-15,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,3,0,2020-03-16,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,3,1,2020-03-17,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,3,2,2020-03-18,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,3,3,2020-03-19,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,3,4,2020-03-20,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,3,5,2020-03-21,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,3,6,2020-03-22,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,3,0,2020-03-23,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,3,1,2020-03-24,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,3,2,2020-03-25,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,3,3,2020-03-26,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,3,4,2020-03-27,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,3,5,2020-03-28,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,3,6,2020-03-29,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,3,0,2020-03-30,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,3,1,2020-03-31,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,2,2020-04-01,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,3,2020-04-02,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,4,2020-04-03,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,5,2020-04-04,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,6,2020-04-05,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,0,2020-04-06,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,1,2020-04-07,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,2,2020-04-08,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,3,2020-04-09,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,4,2020-04-10,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,5,2020-04-11,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,6,2020-04-12,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,0,2020-04-13,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,1,2020-04-14,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,2,2020-04-15,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,3,2020-04-16,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,4,2020-04-17,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,5,2020-04-18,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,6,2020-04-19,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,0,2020-04-20,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,1,2020-04-21,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,2,2020-04-22,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,3,2020-04-23,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,4,2020-04-24,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,5,2020-04-25,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,6,2020-04-26,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,0,2020-04-27,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,1,2020-04-28,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,2,2020-04-29,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,4,3,2020-04-30,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,4,2020-05-01,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,5,2020-05-02,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,6,2020-05-03,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,0,2020-05-04,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,1,2020-05-05,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,2,2020-05-06,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,3,2020-05-07,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,4,2020-05-08,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,5,2020-05-09,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,6,2020-05-10,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,0,2020-05-11,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,1,2020-05-12,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,2,2020-05-13,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,3,2020-05-14,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,4,2020-05-15,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,5,2020-05-16,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,6,2020-05-17,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,0,2020-05-18,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,1,2020-05-19,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,2,2020-05-20,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,3,2020-05-21,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,4,2020-05-22,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,5,2020-05-23,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,6,2020-05-24,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,0,2020-05-25,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,1,2020-05-26,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,2,2020-05-27,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,3,2020-05-28,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,4,2020-05-29,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,5,2020-05-30,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,5,6,2020-05-31,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,6,0,2020-06-01,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,6,1,2020-06-02,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,6,2,2020-06-03,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,6,3,2020-06-04,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,6,4,2020-06-05,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,6,5,2020-06-06,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,6,6,2020-06-07,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,6,0,2020-06-08,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,6,1,2020-06-09,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,6,2,2020-06-10,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,6,3,2020-06-11,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,6,4,2020-06-12,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,6,5,2020-06-13,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,6,6,2020-06-14,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,6,0,2020-06-15,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,6,1,2020-06-16,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,6,2,2020-06-17,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,6,3,2020-06-18,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,6,4,2020-06-19,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,6,5,2020-06-20,89561404.0,35.879,17.0,3.02,1.745
Africa,COD,Democratic Republic of Congo,2020,6,6,2020-06-21,89561404.0,35.879,17.0,3.02,1.745
