continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
South America,COL,Colombia,2020,3,4,2020-03-06,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,3,5,2020-03-07,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,3,6,2020-03-08,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,3,0,2020-03-09,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,3,1,2020-03-10,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,3,2,2020-03-11,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,3,3,2020-03-12,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,3,4,2020-03-13,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,3,5,2020-03-14,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,3,6,2020-03-15,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,3,0,2020-03-16,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,3,1,2020-03-17,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,3,2,2020-03-18,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,3,3,2020-03-19,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,3,4,2020-03-20,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,3,5,2020-03-21,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,3,6,2020-03-22,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,3,0,2020-03-23,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,3,1,2020-03-24,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,3,2,2020-03-25,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,3,3,2020-03-26,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,3,4,2020-03-27,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,3,5,2020-03-28,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,3,6,2020-03-29,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,3,0,2020-03-30,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,3,1,2020-03-31,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,4,2,2020-04-01,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,4,3,2020-04-02,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,4,4,2020-04-03,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,4,5,2020-04-04,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,4,6,2020-04-05,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,4,0,2020-04-06,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,4,1,2020-04-07,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,4,2,2020-04-08,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,4,3,2020-04-09,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,4,4,2020-04-10,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,4,5,2020-04-11,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,4,6,2020-04-12,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,4,0,2020-04-13,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,4,1,2020-04-14,50882884.0,44.223,32.2,7.646,4.312
South America,COL,Colombia,2020,4,2,2020-04-15,50882884.0,44.223,32.2,7.646,4.312
