continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
Africa,COM,Comoros,2020,4,3,2020-04-30,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,4,2020-05-01,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,5,2020-05-02,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,6,2020-05-03,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,0,2020-05-04,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,1,2020-05-05,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,2,2020-05-06,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,3,2020-05-07,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,4,2020-05-08,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,5,2020-05-09,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,6,2020-05-10,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,0,2020-05-11,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,1,2020-05-12,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,2,2020-05-13,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,3,2020-05-14,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,4,2020-05-15,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,5,2020-05-16,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,6,2020-05-17,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,0,2020-05-18,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,1,2020-05-19,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,2,2020-05-20,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,3,2020-05-21,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,4,2020-05-22,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,5,2020-05-23,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,6,2020-05-24,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,0,2020-05-25,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,1,2020-05-26,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,2,2020-05-27,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,3,2020-05-28,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,4,2020-05-29,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,5,2020-05-30,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,5,6,2020-05-31,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,6,0,2020-06-01,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,6,1,2020-06-02,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,6,2,2020-06-03,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,6,3,2020-06-04,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,6,4,2020-06-05,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,6,5,2020-06-06,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,6,6,2020-06-07,869595.0,437.352,20.4,2.963,1.726
Africa,COM,Comoros,2020,6,0,2020-06-08,869595.0,437.352,20.4,2.963,1.726
