continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
Oceania,FJI,Fiji,2020,1,3,2020-01-30,896444.0,49.562,28.6,6.224,3.284
Oceania,FJI,Fiji,2020,1,4,2020-01-31,896444.0,49.562,28.6,6.224,3.284
Oceania,FJI,Fiji,2020,2,5,2020-02-01,896444.0,49.562,28.6,6.224,3.284
Oceania,FJI,Fiji,2020,2,6,2020-02-02,896444.0,49.562,28.6,6.224,3.284
Oceania,FJI,Fiji,2020,2,0,2020-02-03,896444.0,49.562,28.6,6.224,3.284
Oceania,FJI,Fiji,2020,2,1,2020-02-04,896444.0,49.562,28.6,6.224,3.284
Oceania,FJI,Fiji,2020,2,2,2020-02-05,896444.0,49.562,28.6,6.224,3.284
Oceania,FJI,Fiji,2020,2,3,2020-02-06,896444.0,49.562,28.6,6.224,3.284
Oceania,FJI,Fiji,2020,2,4,2020-02-07,896444.0,49.562,28.6,6.224,3.284
Oceania,FJI,Fiji,2020,2,5,2020-02-08,896444.0,49.562,28.6,6.224,3.284
Oceania,FJI,Fiji,2020,2,6,2020-02-09,896444.0,49.562,28.6,6.224,3.284
Oceania,FJI,Fiji,2020,2,0,2020-02-10,896444.0,49.562,28.6,6.224,3.284
Oceania,FJI,Fiji,2020,2,1,2020-02-11,896444.0,49.562,28.6,6.224,3.284
Oceania,FJI,Fiji,2020,2,2,2020-02-12,896444.0,49.562,28.6,6.224,3.284
Oceania,FJI,Fiji,2020,2,3,2020-02-13,896444.0,49.562,28.6,6.224,3.284
Oceania,FJI,Fiji,2020,2,4,2020-02-14,896444.0,49.562,28.6,6.224,3.284
Oceania,FJI,Fiji,2020,2,5,2020-02-15,896444.0,49.562,28.6,6.224,3.284
Oceania,FJI,Fiji,2020,2,6,2020-02-16,896444.0,49.562,28.6,6.224,3.284
Oceania,FJI,Fiji,2020,2,0,2020-02-17,896444.0,49.562,28.6,6.224,3.284
Oceania,FJI,Fiji,2020,2,1,2020-02-18,896444.0,49.562,28.6,6.224,3.284
Oceania,FJI,Fiji,2020,2,2,2020-02-19,896444.0,49.562,28.6,6.224,3.284
Oceania,FJI,Fiji,2020,2,3,2020-02-20,896444.0,49.562,28.6,6.224,3.284
Oceania,FJI,Fiji,2020,2,4,2020-02-21,896444.0,49.562,28.6,6.224,3.284
Oceania,FJI,Fiji,2020,2,5,2020-02-22,896444.0,49.562,28.6,6.224,3.284
Oceania,FJI,Fiji,2020,2,6,2020-02-23,896444.0,49.562,28.6,6.224,3.284
Oceania,FJI,Fiji,2020,2,0,2020-02-24,896444.0,49.562,28.6,6.224,3.284
Oceania,FJI,Fiji,2020,2,1,2020-02-25,896444.0,49.562,28.6,6.224,3.284
