continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
Europe,FRO,Faeroe Islands,2021,1,4,2021-01-29,48865.0,35.308,,,
Europe,FRO,Faeroe Islands,2021,1,5,2021-01-30,48865.0,35.308,,,
Europe,FRO,Faeroe Islands,2021,1,6,2021-01-31,48865.0,35.308,,,
Europe,FRO,Faeroe Islands,2021,2,0,2021-02-01,48865.0,35.308,,,
Europe,FRO,Faeroe Islands,2021,2,1,2021-02-02,48865.0,35.308,,,
Europe,FRO,Faeroe Islands,2021,2,2,2021-02-03,48865.0,35.308,,,
Europe,FRO,Faeroe Islands,2021,2,3,2021-02-04,48865.0,35.308,,,
Europe,FRO,Faeroe Islands,2021,2,4,2021-02-05,48865.0,35.308,,,
Europe,FRO,Faeroe Islands,2021,2,5,2021-02-06,48865.0,35.308,,,
Europe,FRO,Faeroe Islands,2021,2,6,2021-02-07,48865.0,35.308,,,
Europe,FRO,Faeroe Islands,2021,2,0,2021-02-08,48865.0,35.308,,,
Europe,FRO,Faeroe Islands,2021,2,1,2021-02-09,48865.0,35.308,,,
Europe,FRO,Faeroe Islands,2021,2,2,2021-02-10,48865.0,35.308,,,
Europe,FRO,Faeroe Islands,2021,2,3,2021-02-11,48865.0,35.308,,,
Europe,FRO,Faeroe Islands,2021,2,4,2021-02-12,48865.0,35.308,,,
Europe,FRO,Faeroe Islands,2021,2,5,2021-02-13,48865.0,35.308,,,
Europe,FRO,Faeroe Islands,2021,2,6,2021-02-14,48865.0,35.308,,,
Europe,FRO,Faeroe Islands,2021,2,0,2021-02-15,48865.0,35.308,,,
Europe,FRO,Faeroe Islands,2021,2,1,2021-02-16,48865.0,35.308,,,
Europe,FRO,Faeroe Islands,2021,2,2,2021-02-17,48865.0,35.308,,,
Europe,FRO,Faeroe Islands,2021,2,3,2021-02-18,48865.0,35.308,,,
Europe,FRO,Faeroe Islands,2021,2,4,2021-02-19,48865.0,35.308,,,
Europe,FRO,Faeroe Islands,2021,2,5,2021-02-20,48865.0,35.308,,,
Europe,FRO,Faeroe Islands,2021,2,6,2021-02-21,48865.0,35.308,,,
Europe,FRO,Faeroe Islands,2021,2,0,2021-02-22,48865.0,35.308,,,
Europe,FRO,Faeroe Islands,2021,2,1,2021-02-23,48865.0,35.308,,,
