continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
Europe,GGY,Guernsey,2021,1,6,2021-01-24,67052.0,,,,
Europe,GGY,Guernsey,2021,1,0,2021-01-25,67052.0,,,,
Europe,GGY,Guernsey,2021,1,1,2021-01-26,67052.0,,,,
Europe,GGY,Guernsey,2021,1,2,2021-01-27,67052.0,,,,
Europe,GGY,Guernsey,2021,1,3,2021-01-28,67052.0,,,,
Europe,GGY,Guernsey,2021,1,4,2021-01-29,67052.0,,,,
Europe,GGY,Guernsey,2021,1,5,2021-01-30,67052.0,,,,
Europe,GGY,Guernsey,2021,1,6,2021-01-31,67052.0,,,,
Europe,GGY,Guernsey,2021,2,0,2021-02-01,67052.0,,,,
Europe,GGY,Guernsey,2021,2,1,2021-02-02,67052.0,,,,
Europe,GGY,Guernsey,2021,2,2,2021-02-03,67052.0,,,,
Europe,GGY,Guernsey,2021,2,3,2021-02-04,67052.0,,,,
Europe,GGY,Guernsey,2021,2,4,2021-02-05,67052.0,,,,
Europe,GGY,Guernsey,2021,2,5,2021-02-06,67052.0,,,,
Europe,GGY,Guernsey,2021,2,6,2021-02-07,67052.0,,,,
Europe,GGY,Guernsey,2021,2,0,2021-02-08,67052.0,,,,
Europe,GGY,Guernsey,2021,2,1,2021-02-09,67052.0,,,,
Europe,GGY,Guernsey,2021,2,2,2021-02-10,67052.0,,,,
Europe,GGY,Guernsey,2021,2,3,2021-02-11,67052.0,,,,
Europe,GGY,Guernsey,2021,2,4,2021-02-12,67052.0,,,,
Europe,GGY,Guernsey,2021,2,5,2021-02-13,67052.0,,,,
Europe,GGY,Guernsey,2021,2,6,2021-02-14,67052.0,,,,
