continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
North America,GTM,Guatemala,2020,2,0,2020-02-17,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,2,1,2020-02-18,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,2,2,2020-02-19,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,2,3,2020-02-20,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,2,4,2020-02-21,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,2,5,2020-02-22,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,2,6,2020-02-23,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,2,0,2020-02-24,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,2,1,2020-02-25,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,2,2,2020-02-26,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,2,3,2020-02-27,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,2,4,2020-02-28,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,2,5,2020-02-29,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,6,2020-03-01,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,0,2020-03-02,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,1,2020-03-03,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,2,2020-03-04,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,3,2020-03-05,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,4,2020-03-06,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,5,2020-03-07,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,6,2020-03-08,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,0,2020-03-09,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,1,2020-03-10,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,2,2020-03-11,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,3,2020-03-12,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,4,2020-03-13,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,5,2020-03-14,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,6,2020-03-15,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,0,2020-03-16,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,1,2020-03-17,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,2,2020-03-18,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,3,2020-03-19,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,4,2020-03-20,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,5,2020-03-21,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,6,2020-03-22,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,0,2020-03-23,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,1,2020-03-24,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,2,2020-03-25,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,3,2020-03-26,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,4,2020-03-27,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,5,2020-03-28,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,6,2020-03-29,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,0,2020-03-30,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,3,1,2020-03-31,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,4,2,2020-04-01,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,4,3,2020-04-02,17915567.0,157.834,22.9,4.694,3.016
North America,GTM,Guatemala,2020,4,4,2020-04-03,17915567.0,157.834,22.9,4.694,3.016
