continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
Europe,IMN,Isle of Man,2021,1,3,2021-01-21,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,1,4,2021-01-22,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,1,5,2021-01-23,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,1,6,2021-01-24,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,1,0,2021-01-25,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,1,1,2021-01-26,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,1,2,2021-01-27,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,1,3,2021-01-28,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,1,4,2021-01-29,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,1,5,2021-01-30,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,1,6,2021-01-31,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,2,0,2021-02-01,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,2,1,2021-02-02,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,2,2,2021-02-03,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,2,3,2021-02-04,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,2,4,2021-02-05,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,2,5,2021-02-06,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,2,6,2021-02-07,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,2,0,2021-02-08,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,2,1,2021-02-09,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,2,2,2021-02-10,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,2,3,2021-02-11,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,2,4,2021-02-12,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,2,5,2021-02-13,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,2,6,2021-02-14,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,2,0,2021-02-15,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,2,1,2021-02-16,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,2,2,2021-02-17,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,2,3,2021-02-18,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,2,4,2021-02-19,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,2,5,2021-02-20,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,2,6,2021-02-21,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,2,0,2021-02-22,85032.0,147.872,,,
Europe,IMN,Isle of Man,2021,2,1,2021-02-23,85032.0,147.872,,,
