continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
Europe,ISL,Iceland,2020,2,6,2020-02-09,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,2,3,2020-02-27,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,2,4,2020-02-28,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,2,5,2020-02-29,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,6,2020-03-01,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,0,2020-03-02,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,1,2020-03-03,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,2,2020-03-04,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,3,2020-03-05,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,4,2020-03-06,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,5,2020-03-07,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,6,2020-03-08,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,0,2020-03-09,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,1,2020-03-10,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,2,2020-03-11,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,3,2020-03-12,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,4,2020-03-13,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,5,2020-03-14,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,6,2020-03-15,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,0,2020-03-16,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,1,2020-03-17,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,2,2020-03-18,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,3,2020-03-19,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,4,2020-03-20,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,5,2020-03-21,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,6,2020-03-22,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,0,2020-03-23,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,1,2020-03-24,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,2,2020-03-25,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,3,2020-03-26,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,4,2020-03-27,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,5,2020-03-28,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,6,2020-03-29,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,0,2020-03-30,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,3,1,2020-03-31,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,4,2,2020-04-01,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,4,3,2020-04-02,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,4,4,2020-04-03,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,4,5,2020-04-04,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,4,6,2020-04-05,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,4,0,2020-04-06,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,4,1,2020-04-07,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,4,2,2020-04-08,341250.0,3.404,37.3,14.431,9.207
Europe,ISL,Iceland,2020,4,3,2020-04-09,341250.0,3.404,37.3,14.431,9.207
