continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
Europe,JEY,Jersey,2021,1,6,2021-01-24,101073.0,,,,
Europe,JEY,Jersey,2021,1,0,2021-01-25,101073.0,,,,
Europe,JEY,Jersey,2021,1,1,2021-01-26,101073.0,,,,
Europe,JEY,Jersey,2021,1,2,2021-01-27,101073.0,,,,
Europe,JEY,Jersey,2021,1,3,2021-01-28,101073.0,,,,
Europe,JEY,Jersey,2021,1,4,2021-01-29,101073.0,,,,
Europe,JEY,Jersey,2021,1,5,2021-01-30,101073.0,,,,
Europe,JEY,Jersey,2021,1,6,2021-01-31,101073.0,,,,
Europe,JEY,Jersey,2021,2,0,2021-02-01,101073.0,,,,
Europe,JEY,Jersey,2021,2,1,2021-02-02,101073.0,,,,
Europe,JEY,Jersey,2021,2,2,2021-02-03,101073.0,,,,
Europe,JEY,Jersey,2021,2,3,2021-02-04,101073.0,,,,
Europe,JEY,Jersey,2021,2,4,2021-02-05,101073.0,,,,
Europe,JEY,Jersey,2021,2,5,2021-02-06,101073.0,,,,
Europe,JEY,Jersey,2021,2,6,2021-02-07,101073.0,,,,
Europe,JEY,Jersey,2021,2,0,2021-02-08,101073.0,,,,
Europe,JEY,Jersey,2021,2,1,2021-02-09,101073.0,,,,
Europe,JEY,Jersey,2021,2,2,2021-02-10,101073.0,,,,
Europe,JEY,Jersey,2021,2,3,2021-02-11,101073.0,,,,
Europe,JEY,Jersey,2021,2,4,2021-02-12,101073.0,,,,
Europe,JEY,Jersey,2021,2,5,2021-02-13,101073.0,,,,
Europe,JEY,Jersey,2021,2,6,2021-02-14,101073.0,,,,
