continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
Asia,JPN,Japan,2020,1,2,2020-01-22,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,1,3,2020-01-23,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,1,4,2020-01-24,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,1,5,2020-01-25,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,1,6,2020-01-26,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,1,0,2020-01-27,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,1,1,2020-01-28,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,1,2,2020-01-29,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,1,3,2020-01-30,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,1,4,2020-01-31,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,5,2020-02-01,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,6,2020-02-02,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,0,2020-02-03,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,1,2020-02-04,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,2,2020-02-05,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,3,2020-02-06,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,4,2020-02-07,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,5,2020-02-08,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,6,2020-02-09,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,0,2020-02-10,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,1,2020-02-11,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,2,2020-02-12,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,3,2020-02-13,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,4,2020-02-14,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,5,2020-02-15,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,6,2020-02-16,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,0,2020-02-17,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,1,2020-02-18,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,2,2020-02-19,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,3,2020-02-20,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,4,2020-02-21,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,5,2020-02-22,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,6,2020-02-23,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,0,2020-02-24,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,1,2020-02-25,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,2,2020-02-26,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,3,2020-02-27,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,4,2020-02-28,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,2,5,2020-02-29,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,3,6,2020-03-01,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,3,0,2020-03-02,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,3,1,2020-03-03,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,3,2,2020-03-04,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,3,3,2020-03-05,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,3,4,2020-03-06,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,3,5,2020-03-07,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,3,6,2020-03-08,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,3,0,2020-03-09,126476458.0,347.778,48.2,27.049,18.493
Asia,JPN,Japan,2020,3,1,2020-03-10,126476458.0,347.778,48.2,27.049,18.493
