continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
North America,LCA,Saint Lucia,2020,3,5,2020-03-14,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,3,6,2020-03-15,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,3,0,2020-03-16,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,3,1,2020-03-17,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,3,2,2020-03-18,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,3,3,2020-03-19,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,3,4,2020-03-20,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,3,5,2020-03-21,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,3,6,2020-03-22,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,3,0,2020-03-23,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,3,1,2020-03-24,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,3,2,2020-03-25,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,3,3,2020-03-26,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,3,4,2020-03-27,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,3,5,2020-03-28,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,3,6,2020-03-29,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,3,0,2020-03-30,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,3,1,2020-03-31,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,4,2,2020-04-01,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,4,3,2020-04-02,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,4,4,2020-04-03,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,4,5,2020-04-04,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,4,6,2020-04-05,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,4,0,2020-04-06,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,4,1,2020-04-07,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,4,2,2020-04-08,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,4,3,2020-04-09,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,4,4,2020-04-10,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,4,5,2020-04-11,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,4,6,2020-04-12,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,4,0,2020-04-13,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,4,1,2020-04-14,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,4,2,2020-04-15,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,4,3,2020-04-16,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,4,4,2020-04-17,183629.0,293.187,34.9,9.721,6.405
North America,LCA,Saint Lucia,2020,4,5,2020-04-18,183629.0,293.187,34.9,9.721,6.405
