continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
Europe,LIE,Liechtenstein,2020,3,2,2020-03-04,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,3,3,2020-03-05,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,3,4,2020-03-06,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,3,5,2020-03-07,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,3,6,2020-03-08,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,3,0,2020-03-09,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,3,1,2020-03-10,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,3,2,2020-03-11,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,3,3,2020-03-12,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,3,4,2020-03-13,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,3,5,2020-03-14,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,3,6,2020-03-15,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,3,0,2020-03-16,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,3,1,2020-03-17,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,3,2,2020-03-18,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,3,3,2020-03-19,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,3,4,2020-03-20,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,3,5,2020-03-21,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,3,6,2020-03-22,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,3,0,2020-03-23,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,3,1,2020-03-24,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,3,2,2020-03-25,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,3,3,2020-03-26,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,3,4,2020-03-27,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,3,5,2020-03-28,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,3,6,2020-03-29,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,3,0,2020-03-30,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,3,1,2020-03-31,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,4,2,2020-04-01,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,4,3,2020-04-02,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,4,4,2020-04-03,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,4,5,2020-04-04,38137.0,237.012,,,
Europe,LIE,Liechtenstein,2020,4,6,2020-04-05,38137.0,237.012,,,
