continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
Asia,MAC,Macao,2021,2,0,2021-02-08,649342.0,20546.766,39.2,9.798,4.991
Asia,MAC,Macao,2021,2,1,2021-02-09,649342.0,20546.766,39.2,9.798,4.991
Asia,MAC,Macao,2021,2,2,2021-02-10,649342.0,20546.766,39.2,9.798,4.991
Asia,MAC,Macao,2021,2,3,2021-02-11,649342.0,20546.766,39.2,9.798,4.991
Asia,MAC,Macao,2021,2,4,2021-02-12,649342.0,20546.766,39.2,9.798,4.991
Asia,MAC,Macao,2021,2,5,2021-02-13,649342.0,20546.766,39.2,9.798,4.991
Asia,MAC,Macao,2021,2,6,2021-02-14,649342.0,20546.766,39.2,9.798,4.991
Asia,MAC,Macao,2021,2,0,2021-02-15,649342.0,20546.766,39.2,9.798,4.991
Asia,MAC,Macao,2021,2,1,2021-02-16,649342.0,20546.766,39.2,9.798,4.991
Asia,MAC,Macao,2021,2,2,2021-02-17,649342.0,20546.766,39.2,9.798,4.991
Asia,MAC,Macao,2021,2,3,2021-02-18,649342.0,20546.766,39.2,9.798,4.991
