continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
North America,MEX,Mexico,2020,1,2,2020-01-01,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,3,2020-01-02,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,4,2020-01-03,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,5,2020-01-04,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,6,2020-01-05,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,0,2020-01-06,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,1,2020-01-07,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,2,2020-01-08,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,3,2020-01-09,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,4,2020-01-10,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,5,2020-01-11,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,6,2020-01-12,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,0,2020-01-13,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,1,2020-01-14,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,2,2020-01-15,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,3,2020-01-16,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,4,2020-01-17,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,5,2020-01-18,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,6,2020-01-19,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,0,2020-01-20,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,1,2020-01-21,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,2,2020-01-22,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,3,2020-01-23,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,4,2020-01-24,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,5,2020-01-25,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,6,2020-01-26,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,0,2020-01-27,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,1,2020-01-28,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,2,2020-01-29,128932753.0,66.444,29.3,6.857,4.321
North America,MEX,Mexico,2020,1,3,2020-01-30,128932753.0,66.444,29.3,6.857,4.321
