continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
Oceania,MHL,Marshall Islands,2020,10,2,2020-10-28,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,10,3,2020-10-29,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,10,4,2020-10-30,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,10,5,2020-10-31,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,6,2020-11-01,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,0,2020-11-02,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,1,2020-11-03,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,2,2020-11-04,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,3,2020-11-05,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,4,2020-11-06,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,5,2020-11-07,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,6,2020-11-08,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,0,2020-11-09,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,1,2020-11-10,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,2,2020-11-11,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,3,2020-11-12,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,4,2020-11-13,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,5,2020-11-14,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,6,2020-11-15,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,0,2020-11-16,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,1,2020-11-17,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,2,2020-11-18,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,3,2020-11-19,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,4,2020-11-20,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,5,2020-11-21,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,6,2020-11-22,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,0,2020-11-23,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,1,2020-11-24,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,2,2020-11-25,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,3,2020-11-26,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,4,2020-11-27,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,5,2020-11-28,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,6,2020-11-29,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,11,0,2020-11-30,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,12,1,2020-12-01,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,12,2,2020-12-02,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,12,3,2020-12-03,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,12,4,2020-12-04,59194.0,295.15,,,
Oceania,MHL,Marshall Islands,2020,12,5,2020-12-05,59194.0,295.15,,,
