continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
Europe,MLT,Malta,2020,2,3,2020-02-06,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,2,4,2020-02-07,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,2,5,2020-02-08,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,2,6,2020-02-09,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,2,0,2020-02-10,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,2,1,2020-02-11,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,2,2,2020-02-12,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,2,3,2020-02-13,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,2,4,2020-02-14,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,2,5,2020-02-15,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,2,6,2020-02-16,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,2,0,2020-02-17,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,2,1,2020-02-18,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,2,2,2020-02-19,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,2,3,2020-02-20,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,2,4,2020-02-21,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,2,5,2020-02-22,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,2,6,2020-02-23,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,2,0,2020-02-24,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,2,1,2020-02-25,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,2,2,2020-02-26,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,2,3,2020-02-27,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,2,4,2020-02-28,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,2,5,2020-02-29,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,6,2020-03-01,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,0,2020-03-02,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,1,2020-03-03,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,2,2020-03-04,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,3,2020-03-05,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,4,2020-03-06,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,5,2020-03-07,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,6,2020-03-08,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,0,2020-03-09,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,1,2020-03-10,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,2,2020-03-11,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,3,2020-03-12,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,4,2020-03-13,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,5,2020-03-14,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,6,2020-03-15,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,0,2020-03-16,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,1,2020-03-17,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,2,2020-03-18,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,3,2020-03-19,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,4,2020-03-20,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,5,2020-03-21,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,6,2020-03-22,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,0,2020-03-23,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,1,2020-03-24,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,2,2020-03-25,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,3,2020-03-26,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,4,2020-03-27,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,5,2020-03-28,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,6,2020-03-29,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,0,2020-03-30,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,3,1,2020-03-31,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,4,2,2020-04-01,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,4,3,2020-04-02,441539.0,1454.037,42.4,19.426,11.324
Europe,MLT,Malta,2020,4,4,2020-04-03,441539.0,1454.037,42.4,19.426,11.324
