continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
Europe,MNE,Montenegro,2020,3,1,2020-03-17,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,3,2,2020-03-18,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,3,3,2020-03-19,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,3,4,2020-03-20,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,3,5,2020-03-21,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,3,6,2020-03-22,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,3,0,2020-03-23,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,3,1,2020-03-24,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,3,2,2020-03-25,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,3,3,2020-03-26,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,3,4,2020-03-27,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,3,5,2020-03-28,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,3,6,2020-03-29,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,3,0,2020-03-30,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,3,1,2020-03-31,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,2,2020-04-01,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,3,2020-04-02,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,4,2020-04-03,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,5,2020-04-04,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,6,2020-04-05,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,0,2020-04-06,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,1,2020-04-07,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,2,2020-04-08,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,3,2020-04-09,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,4,2020-04-10,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,5,2020-04-11,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,6,2020-04-12,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,0,2020-04-13,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,1,2020-04-14,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,2,2020-04-15,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,3,2020-04-16,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,4,2020-04-17,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,5,2020-04-18,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,6,2020-04-19,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,0,2020-04-20,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,1,2020-04-21,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,2,2020-04-22,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,3,2020-04-23,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,4,2020-04-24,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,5,2020-04-25,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,6,2020-04-26,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,0,2020-04-27,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,1,2020-04-28,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,2,2020-04-29,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,4,3,2020-04-30,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,4,2020-05-01,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,5,2020-05-02,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,6,2020-05-03,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,0,2020-05-04,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,1,2020-05-05,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,2,2020-05-06,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,3,2020-05-07,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,4,2020-05-08,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,5,2020-05-09,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,6,2020-05-10,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,0,2020-05-11,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,1,2020-05-12,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,2,2020-05-13,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,3,2020-05-14,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,4,2020-05-15,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,5,2020-05-16,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,6,2020-05-17,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,0,2020-05-18,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,1,2020-05-19,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,2,2020-05-20,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,3,2020-05-21,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,4,2020-05-22,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,5,2020-05-23,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,6,2020-05-24,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,0,2020-05-25,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,1,2020-05-26,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,2,2020-05-27,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,3,2020-05-28,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,4,2020-05-29,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,5,2020-05-30,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,5,6,2020-05-31,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,6,0,2020-06-01,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,6,1,2020-06-02,628062.0,46.28,39.1,14.762,9.395
Europe,MNE,Montenegro,2020,6,2,2020-06-03,628062.0,46.28,39.1,14.762,9.395
