continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
Africa,NGA,Nigeria,2020,2,4,2020-02-28,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,2,5,2020-02-29,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,6,2020-03-01,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,0,2020-03-02,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,1,2020-03-03,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,2,2020-03-04,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,3,2020-03-05,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,4,2020-03-06,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,5,2020-03-07,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,6,2020-03-08,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,0,2020-03-09,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,1,2020-03-10,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,2,2020-03-11,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,3,2020-03-12,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,4,2020-03-13,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,5,2020-03-14,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,6,2020-03-15,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,0,2020-03-16,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,1,2020-03-17,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,2,2020-03-18,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,3,2020-03-19,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,4,2020-03-20,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,5,2020-03-21,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,6,2020-03-22,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,0,2020-03-23,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,1,2020-03-24,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,2,2020-03-25,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,3,2020-03-26,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,4,2020-03-27,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,5,2020-03-28,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,6,2020-03-29,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,0,2020-03-30,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,3,1,2020-03-31,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,4,2,2020-04-01,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,4,3,2020-04-02,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,4,4,2020-04-03,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,4,5,2020-04-04,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,4,6,2020-04-05,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,4,0,2020-04-06,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,4,1,2020-04-07,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,4,2,2020-04-08,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,4,3,2020-04-09,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,4,4,2020-04-10,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,4,5,2020-04-11,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,4,6,2020-04-12,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,4,0,2020-04-13,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,4,1,2020-04-14,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,4,2,2020-04-15,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,4,3,2020-04-16,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,4,4,2020-04-17,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,4,5,2020-04-18,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,4,6,2020-04-19,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,4,0,2020-04-20,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,4,1,2020-04-21,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,4,2,2020-04-22,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,4,3,2020-04-23,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,4,4,2020-04-24,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,4,5,2020-04-25,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,4,6,2020-04-26,206139587.0,209.588,18.1,2.751,1.447
Africa,NGA,Nigeria,2020,4,0,2020-04-27,206139587.0,209.588,18.1,2.751,1.447
