continent,iso_code,location,year,month,weekday,date,population,population_density,median_age,aged_65_older,aged_70_older
Europe,NOR,Norway,2020,2,6,2020-02-23,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,2,0,2020-02-24,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,2,1,2020-02-25,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,2,2,2020-02-26,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,2,3,2020-02-27,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,2,4,2020-02-28,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,2,5,2020-02-29,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,6,2020-03-01,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,0,2020-03-02,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,1,2020-03-03,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,2,2020-03-04,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,3,2020-03-05,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,4,2020-03-06,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,5,2020-03-07,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,6,2020-03-08,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,0,2020-03-09,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,1,2020-03-10,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,2,2020-03-11,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,3,2020-03-12,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,4,2020-03-13,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,5,2020-03-14,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,6,2020-03-15,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,0,2020-03-16,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,1,2020-03-17,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,2,2020-03-18,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,3,2020-03-19,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,4,2020-03-20,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,5,2020-03-21,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,6,2020-03-22,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,0,2020-03-23,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,1,2020-03-24,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,2,2020-03-25,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,3,2020-03-26,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,4,2020-03-27,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,5,2020-03-28,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,6,2020-03-29,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,0,2020-03-30,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,3,1,2020-03-31,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,4,2,2020-04-01,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,4,3,2020-04-02,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,4,4,2020-04-03,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,4,5,2020-04-04,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,4,6,2020-04-05,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,4,0,2020-04-06,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,4,1,2020-04-07,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,4,2,2020-04-08,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,4,3,2020-04-09,5421242.0,14.462,39.7,16.821,10.813
Europe,NOR,Norway,2020,4,4,2020-04-10,5421242.0,14.462,39.7,16.821,10.813
